<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	66.023	66.386	65.515	65.988	30735	61390000	36
2020.01.03	66.135	69.250	66.115	68.276	73073	146066800	30
2020.01.06	69.380	70.421	67.956	68.151	97952	195843600	30
2020.01.07	68.395	68.450	67.376	68.024	106837	213506800	30
2020.01.08	70.709	70.713	64.662	65.547	172825	345558000	30
2020.01.09	65.690	65.786	64.250	65.075	237055	473703200	30
2020.01.10	64.955	65.278	64.484	64.677	309336	617968800	30
2020.01.13	64.484	64.856	63.535	63.816	87716	175173200	30
2020.01.14	63.910	64.566	63.484	63.956	91308	182374800	30
2020.01.15	63.904	64.112	63.079	63.812	83705	167117992	30
2020.01.16	63.732	64.384	63.379	64.170	81944	163616200	30
2020.01.17	64.109	64.532	63.903	64.481	77580	154884240	30
2020.01.20	65.013	65.039	64.292	64.485	41629	83076400	30
2020.01.21	64.571	64.646	63.406	63.858	77912	155631760	30
2020.01.22	63.896	63.915	61.940	61.973	85830	171488000	30
2020.01.23	61.932	61.976	60.613	61.440	100023	199812800	30
2020.01.24	61.336	61.728	59.525	59.961	92601	185028800	30
2020.01.27	58.780	59.072	57.748	58.217	121699	243215200	30
2020.01.28	58.293	59.352	57.879	59.245	203625	406831392	30
2020.01.29	59.020	59.780	58.332	58.609	325355	649862000	30
2020.01.30	58.560	58.667	56.687	58.159	547293	1093706800	30
2020.01.31	58.202	58.470	55.880	56.592	403892	803389552	30
2020.02.03	55.934	56.706	54.075	54.128	164605	329034000	30
2020.02.04	54.367	55.656	53.703	53.806	318069	635769600	30
2020.02.05	54.106	56.465	54.072	55.655	493783	986244080	30
2020.02.06	55.615	56.601	54.328	55.242	565876	1130812800	30
2020.02.07	55.304	55.506	54.329	54.562	645026	1288342800	30
2020.02.10	54.123	54.832	53.217	53.512	119599	238911144	30
2020.02.11	53.849	54.747	53.809	54.214	110291	220255088	30
2020.02.12	54.466	56.343	54.423	56.309	115062	229813872	30
2020.02.13	55.798	56.799	55.051	56.410	119724	239130000	30
2020.02.14	56.371	57.433	56.130	57.263	202675	404648000	30
2020.02.17	57.035	57.551	56.743	57.417	42724	84934400	30
2020.02.18	57.115	57.618	56.167	57.468	93583	186703096	30
2020.02.19	57.465	59.082	57.269	58.942	92922	185439200	30
2020.02.20	58.871	59.596	58.538	58.580	109344	218292800	30
2020.02.21	58.567	58.755	57.254	57.903	122147	243941200	30
2020.02.24	56.064	56.674	54.597	55.633	137743	275202000	30
2020.02.25	55.902	56.356	53.933	54.294	155814	311356392	30
2020.02.26	54.382	54.755	52.358	52.711	232351	464548000	30
2020.02.27	52.512	52.616	50.372	50.957	252071	504002800	30
2020.02.28	50.974	51.091	48.900	50.072	333121	666183600	30
2020.03.02	49.331	52.720	49.327	52.713	301086	602081600	30
2020.03.03	53.618	53.806	51.172	51.794	291074	582025600	30
2020.03.04	52.211	52.987	51.047	51.605	182649	365125200	30
2020.03.05	51.734	52.032	49.733	50.062	189070	377931192	30
2020.03.06	50.290	50.488	45.235	45.568	261545	522976000	30
2020.03.09	35.911	37.611	31.410	33.694	253096	506150000	50
2020.03.10	36.620	38.542	35.336	38.234	251789	503498800	30
2020.03.11	37.840	40.011	36.045	36.640	266992	533925200	30
2020.03.12	36.900	37.164	33.454	33.499	264801	529549200	30
2020.03.13	33.740	36.743	33.547	35.548	237779	475492000	30
2020.03.16	33.272	34.200	30.520	30.628	180105	360090224	30
2020.03.17	31.145	32.339	29.590	29.709	200227	400371528	30
2020.03.18	29.719	30.401	25.794	27.671	185440	370733040	30
2020.03.19	27.830	30.779	26.317	29.563	223831	447623600	30
2020.03.20	30.150	32.471	28.398	29.003	228680	457274707	30
2020.03.23	27.169	29.400	27.130	29.330	198855	397662800	30
2020.03.24	29.879	30.709	28.959	29.855	132569	265020320	39
2020.03.25	30.017	30.702	28.234	29.746	156787	313470984	32
2020.03.26	29.873	30.163	28.285	29.081	137129	274123472	30
2020.03.27	29.110	29.370	27.310	28.184	132101	264052576	30
2020.03.30	27.108	27.461	25.598	26.630	125696	251280504	30
2020.03.31	27.040	28.330	26.132	26.141	138870	277565840	30
2020.04.01	26.530	26.895	25.175	26.126	127923	255673072	30
2020.04.02	26.350	36.421	26.149	29.689	129396	258674776	30
2020.04.03	30.159	35.177	28.920	34.905	85520	170981200	70
2020.04.06	32.474	34.643	32.267	33.567	53946	107737600	75
2020.04.07	34.450	34.802	32.478	33.029	44451	88724000	50
2020.04.08	33.584	34.602	32.638	34.211	56549	112916000	50
2020.04.09	34.678	37.050	32.480	32.566	91982	183809600	77
2020.04.13	33.426	34.636	32.069	33.167	63391	126697200	82
2020.04.14	33.967	34.123	31.585	31.978	51779	103444400	72
2020.04.15	32.608	32.705	29.505	29.964	47015	93930400	73
2020.04.16	30.489	31.306	29.546	30.383	36490	72834400	104
2020.04.17	31.266	31.370	30.143	30.472	45887	91660000	60
2020.04.20	30.486	30.900	28.181	28.493	127706	255221600	30
2020.04.21	29.155	29.462	21.118	22.911	298566	596980800	49
2020.04.22	23.729	25.436	19.393	23.835	214558	429019920	58
2020.04.23	24.166	26.588	23.423	24.753	157873	315606800	67
2020.04.24	25.233	25.927	23.740	25.023	117600	234905568	53
2020.04.27	25.046	25.070	22.469	22.924	110503	220685480	51
2020.04.28	22.794	23.859	22.020	23.084	155745	311232000	51
2020.04.29	22.984	25.342	22.917	24.331	168478	336832400	57
2020.04.30	24.905	27.183	24.665	26.831	170351	340558000	60
2020.05.01	27.271	28.162	26.049	26.785	144758	289328800	51
2020.05.04	26.200	28.375	25.851	28.122	142909	285692000	54
2020.05.05	28.438	31.930	28.126	31.769	154025	307886800	57
2020.05.06	32.374	32.397	28.917	30.039	185038	369966800	57
2020.05.07	30.085	32.085	29.398	29.629	175543	350949176	57
2020.05.08	29.971	31.562	29.784	31.230	144298	288456800	55
2020.05.11	31.067	31.845	29.817	30.318	114573	228792000	55
2020.05.12	30.520	31.059	29.776	29.777	104293	208092752	53
2020.05.13	29.853	30.921	29.284	29.731	112000	223508400	59
2020.05.14	29.895	31.743	29.318	31.585	111269	222115600	55
2020.05.15	31.736	33.053	31.235	32.962	117240	234098400	30
2020.05.18	33.621	35.838	33.499	35.607	118578	236744303	58
2020.05.19	35.783	35.902	34.374	34.679	133921	267545592	54
2020.05.20	34.636	36.567	34.608	35.926	112129	223820000	58
2020.05.21	36.033	37.081	35.963	36.268	114084	227790800	54
2020.05.22	36.458	36.543	33.850	35.521	143535	286862400	52
2020.05.25	35.100	36.398	34.900	36.273	49476	98662800	60
2020.05.26	36.172	37.177	35.765	36.557	95105	189929160	51
2020.05.27	36.533	36.675	34.660	34.844	123294	246312000	58
