<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	2.157	2.172	2.102	2.108	15442	507034800	4
2020.01.03	2.112	2.145	2.072	2.102	21612	718418800	4
2020.01.06	2.092	2.160	2.087	2.137	18128	602190800	4
2020.01.07	2.131	2.166	2.099	2.152	16354	533152400	5
2020.01.08	2.145	2.167	2.104	2.140	20862	697121200	5
2020.01.09	2.139	2.154	2.095	2.149	39016	1298035600	6
2020.01.10	2.149	2.194	2.120	2.181	59567	1947610400	6
2020.01.13	2.176	2.184	2.132	2.160	17223	582909200	5
2020.01.14	2.162	2.212	2.141	2.147	18759	631725200	6
2020.01.15	2.147	2.153	2.080	2.093	17362	584044000	6
2020.01.16	2.094	2.125	2.038	2.043	18131	602380400	5
2020.01.17	2.042	2.044	1.976	1.982	18604	619256800	4
2020.01.20	1.939	1.944	1.826	1.918	16937	530706400	5
2020.01.21	1.916	1.938	1.858	1.893	16050	528434400	6
2020.01.22	1.897	1.923	1.883	1.901	15165	506205600	5
2020.01.23	1.905	1.949	1.895	1.911	16400	540698400	5
2020.01.24	1.912	1.916	1.854	1.865	16495	547094800	5
2020.01.27	1.910	1.951	1.867	1.882	17458	578697200	5
2020.01.28	1.881	1.929	1.863	1.913	31456	1068914400	6
2020.01.29	1.914	1.923	1.865	1.888	42269	1418794000	5
2020.01.30	1.886	1.892	1.826	1.844	60843	2105714400	6
2020.01.31	1.841	1.866	1.823	1.851	38273	1513842400	5
2020.02.03	1.872	1.891	1.828	1.840	14875	565946000	5
2020.02.04	1.837	1.896	1.823	1.882	29878	1092064000	5
2020.02.05	1.882	1.891	1.837	1.877	51068	1886800000	6
2020.02.06	1.879	1.913	1.843	1.874	73784	2616607200	6
2020.02.07	1.877	1.905	1.854	1.864	75888	2899570000	5
2020.02.10	1.822	1.828	1.779	1.788	14222	522725200	5
2020.02.11	1.793	1.819	1.776	1.807	12263	488001200	5
2020.02.12	1.811	1.874	1.807	1.866	13992	522838400	5
2020.02.13	1.866	1.886	1.843	1.846	14023	481535600	5
2020.02.14	1.848	1.866	1.823	1.847	24369	783062800	6
2020.02.17	1.885	1.938	1.883	1.930	9068	313511200	6
2020.02.18	1.924	1.969	1.913	1.955	16093	583566000	5
2020.02.19	1.952	1.981	1.934	1.968	12554	478209600	5
2020.02.20	1.969	2.020	1.917	1.927	20084	695693600	6
2020.02.21	1.927	1.931	1.870	1.911	15157	568883600	5
2020.02.24	1.891	1.891	1.842	1.854	15838	617606800	5
2020.02.25	1.856	1.882	1.837	1.845	11001	456607600	5
2020.02.26	1.862	1.891	1.825	1.831	14263	549818000	6
2020.02.27	1.833	1.837	1.728	1.745	19548	722123600	5
2020.02.28	1.755	1.759	1.657	1.707	22016	812366800	3
2020.03.02	1.693	1.774	1.682	1.763	21508	817190800	4
2020.03.03	1.779	1.848	1.765	1.816	21617	797336400	5
2020.03.04	1.815	1.856	1.792	1.849	17570	666461600	6
2020.03.05	1.846	1.859	1.770	1.770	18016	681111600	6
2020.03.06	1.780	1.781	1.722	1.745	19948	764916400	6
2020.03.09	1.690	1.850	1.613	1.839	34361	1205822000	4
