<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	61.065	61.281	60.500	60.980	58375	176003000	30
2020.01.03	61.000	63.890	60.950	62.820	133595	401544384	30
2020.01.06	63.570	64.520	62.460	62.620	106827	320939192	30
2020.01.07	62.700	62.960	61.981	62.480	96974	291684864	33
2020.01.08	62.600	65.420	58.990	59.790	188950	567151280	33
2020.01.09	59.790	60.148	58.547	59.440	237928	715155200	33
2020.01.10	59.490	59.659	58.770	59.020	285805	860339728	33
2020.01.13	58.790	59.189	57.900	58.030	86230	259493032	33
2020.01.14	58.070	58.700	57.718	58.110	89102	268406104	33
2020.01.15	58.170	58.377	57.390	58.040	79022	238307000	33
2020.01.16	58.080	58.840	57.578	58.540	57401	173405096	33
2020.01.17	58.570	58.959	58.285	58.770	53404	161460456	33
2020.01.20	59.470	59.610	58.540	58.850	29257	88648656	33
2020.01.21	58.790	58.810	57.680	58.170	54180	163614016	33
2020.01.22	58.221	58.340	56.040	56.040	62513	188414048	33
2020.01.23	56.120	56.240	54.770	55.630	82561	248643192	33
2020.01.24	55.660	55.933	53.838	54.140	73769	222096912	33
2020.01.27	53.200	53.534	52.131	52.760	112934	339408608	33
2020.01.28	52.760	54.020	52.670	53.920	178333	536882688	33
2020.01.29	53.960	54.348	52.831	53.040	284180	856152488	33
2020.01.30	53.080	53.200	51.679	52.910	491192	1477089744	33
2020.01.31	52.940	53.360	51.031	51.620	400302	1209962648	33
2020.02.03	51.190	51.988	49.850	49.935	160523	482307256	30
2020.02.04	49.950	51.616	49.409	49.521	352911	1059884096	30
2020.02.05	49.550	51.941	49.550	51.248	621476	1864026474	30
2020.02.06	51.300	52.267	50.340	51.185	712377	2136506232	30
2020.02.07	51.240	51.591	50.236	50.483	839114	2517717680	30
2020.02.10	50.190	50.650	49.564	49.782	164793	494111306	30
2020.02.11	49.770	50.811	49.760	50.104	136737	410261496	30
2020.02.12	50.190	51.879	50.190	51.851	137763	413372192	30
2020.02.13	51.890	52.149	50.789	51.722	165257	495860896	30
2020.02.14	51.760	52.532	51.533	52.463	246067	737685288	25
2020.02.17	52.480	52.485	52.033	52.401	52439	157095200	30
2020.02.18	52.320	52.435	51.158	52.330	70021	209772444	30
2020.02.19	52.350	53.804	52.166	53.704	73945	221466200	30
2020.02.20	53.650	54.630	53.452	53.711	95962	287593268	30
2020.02.21	53.720	53.856	52.564	53.441	112523	337224160	30
2020.02.24	52.500	52.624	50.461	51.332	149285	447772080	30
2020.02.25	51.270	52.034	49.728	50.123	172681	517646728	30
2020.02.26	50.120	50.461	48.326	48.661	247888	743519000	30
2020.02.27	48.690	48.784	45.942	46.375	295055	884958720	30
2020.02.28	46.420	47.080	43.926	45.321	404442	1213255600	30
2020.03.02	43.650	47.573	43.583	47.559	381164	1143425792	30
2020.03.03	47.770	48.718	46.548	47.144	370084	1110089200	30
2020.03.04	47.020	48.475	46.727	47.258	271463	814160200	30
2020.03.05	47.230	47.644	45.732	46.061	249735	748821800	30
2020.03.06	46.170	46.455	41.190	41.696	342135	1026170160	30
2020.03.09	33.371	35.042	27.625	30.480	326127	978310656	45
2020.03.10	30.660	35.242	30.432	35.032	344676	1033935600	36
2020.03.11	34.927	36.593	32.869	33.353	384880	1154591408	30
2020.03.12	33.350	33.957	30.408	31.172	390335	1170950000	30
2020.03.13	31.170	34.208	30.740	33.180	379809	1139389600	30
2020.03.16	33.132	33.132	28.449	29.095	291336	873896760	30
2020.03.17	28.990	30.576	27.033	27.120	287187	861415016	30
2020.03.18	27.290	27.596	20.440	22.750	183370	549947104	30
2020.03.19	22.820	28.180	21.790	25.540	156418	469667496	45
2020.03.20	25.560	28.480	22.530	23.700	149380	449196720	30
2020.03.23	22.570	24.380	21.010	24.020	180745	542466776	30
2020.03.24	24.380	25.610	23.600	24.690	108006	324686360	40
2020.03.25	24.977	25.780	23.667	24.880	112157	337094592	40
2020.03.26	25.020	25.520	23.330	24.000	104861	315232712	30
2020.03.27	24.350	24.490	22.300	23.070	87607	263482200	30
2020.03.30	22.340	22.490	21.000	21.906	125702	377450960	30
2020.03.31	22.000	23.672	21.900	22.050	169048	506834888	30
2020.04.01	21.990	23.055	21.837	22.687	148558	445282664	30
2020.04.02	22.910	28.741	22.540	25.996	164813	494173536	30
2020.04.03	26.347	30.567	25.333	30.335	147036	441058000	40
2020.04.06	27.842	30.211	26.965	28.711	94547	283474200	50
2020.04.07	29.096	30.069	26.953	27.529	62054	185882800	40
2020.04.08	27.927	29.811	27.772	29.455	103142	309248800	57
2020.04.09	30.025	32.141	27.434	27.779	153148	459215200	40
2020.04.13	28.995	29.676	27.138	28.137	112139	336315800	63
2020.04.14	28.610	29.220	26.514	26.994	86219	258542000	51
2020.04.15	27.465	27.729	25.487	25.837	73994	221834400	51
2020.04.16	26.244	26.931	24.882	25.915	69697	208901520	40
2020.04.17	26.617	26.950	24.681	25.271	122219	366175168	30
2020.04.20	25.310	25.310	20.690	21.701	151735	454652704	30
2020.04.21	22.091	23.371	7.867	14.041	369362	1107819768	30
2020.04.22	14.332	17.124	11.731	15.434	297076	891096200	66
2020.04.23	16.373	19.463	15.044	17.995	216357	648725720	77
2020.04.24	18.185	19.396	17.168	18.293	185633	556529224	30
2020.04.27	18.396	18.400	13.993	14.667	165714	496699800	58
