<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	0.74580	0.74894	0.74577	0.74791	236581	35487150000	27
2020.01.03	0.74792	0.75032	0.74560	0.74741	318218	47732700000	27
2020.01.06	0.74698	0.74853	0.74620	0.74634	274072	41110800000	27
2020.01.07	0.74634	0.74866	0.74487	0.74576	289913	43486950000	27
2020.01.08	0.74570	0.74803	0.74331	0.74671	439676	65951400000	27
2020.01.09	0.74671	0.74749	0.74217	0.74526	596953	89542950000	27
2020.01.10	0.74526	0.74844	0.74436	0.74521	787507	118126050000	27
2020.01.13	0.74486	0.74577	0.74279	0.74326	240959	36143850000	27
2020.01.14	0.74326	0.74387	0.73946	0.74026	284652	42697800000	27
2020.01.15	0.74026	0.74115	0.73668	0.73904	268696	40304400000	27
2020.01.16	0.73904	0.74008	0.73699	0.73930	245463	36819450000	27
2020.01.17	0.73930	0.74238	0.73912	0.74055	253435	38015250000	27
2020.01.20	0.74067	0.74271	0.74022	0.74186	180051	27007650000	27
2020.01.21	0.74186	0.74230	0.73967	0.74091	270535	40580250000	27
2020.01.22	0.74091	0.74393	0.73640	0.73661	282318	42347700000	27
2020.01.23	0.73661	0.73876	0.73446	0.73806	300639	45095850000	27
2020.01.24	0.73791	0.73935	0.73758	0.73865	270043	40506450000	27
2020.01.27	0.73767	0.73799	0.73359	0.73461	312487	46873050000	27
2020.01.28	0.73461	0.73956	0.73296	0.73950	517527	77629050000	27
2020.01.29	0.73950	0.74057	0.73694	0.73711	755037	113255550000	27
2020.01.30	0.73711	0.73755	0.73182	0.73376	1267290	190093500000	27
2020.01.31	0.73406	0.73510	0.72710	0.72746	1193117	178967550000	27
2020.02.03	0.72744	0.73035	0.72514	0.72686	348951	52342650000	27
2020.02.04	0.72686	0.73126	0.72589	0.72981	618410	92761500000	27
2020.02.05	0.72971	0.73313	0.72787	0.73276	966426	144963900000	27
2020.02.06	0.73266	0.73426	0.73223	0.73355	1126216	168932400000	27
2020.02.07	0.73355	0.73513	0.73138	0.73446	1629847	244477050000	27
2020.02.10	0.73391	0.73596	0.73293	0.73371	304605	45690750000	27
2020.02.11	0.73371	0.73621	0.73334	0.73431	283315	42497250000	27
2020.02.12	0.73431	0.73830	0.73361	0.73806	287777	43166550000	27
2020.02.13	0.73801	0.73912	0.73565	0.73807	315477	47321550000	27
2020.02.14	0.73807	0.74114	0.73741	0.74096	473420	71013000000	27
2020.02.17	0.74041	0.74234	0.74011	0.74096	169500	25425000000	27
2020.02.18	0.74091	0.74185	0.73861	0.74131	253782	38067300000	27
2020.02.19	0.74131	0.74430	0.74101	0.74411	255104	38265600000	27
2020.02.20	0.74411	0.74419	0.74034	0.74212	324937	48740550000	27
2020.02.21	0.74212	0.74258	0.73786	0.73955	314563	47184450000	27
2020.02.24	0.73876	0.73949	0.73556	0.73612	409889	61483350000	27
2020.02.25	0.73612	0.73762	0.73358	0.73481	430486	64572900000	27
2020.02.26	0.73486	0.73632	0.73096	0.73236	464882	69732300000	27
2020.02.27	0.73232	0.73279	0.72207	0.72233	507584	76137600000	27
2020.02.28	0.72233	0.72390	0.71453	0.71995	644591	96688650000	27
2020.03.02	0.71645	0.72484	0.71356	0.71973	581343	87201450000	27
2020.03.03	0.71973	0.72049	0.71206	0.71392	555658	83348700000	27
2020.03.04	0.71392	0.71834	0.71114	0.71449	436704	65505600000	27
2020.03.05	0.71455	0.71485	0.70467	0.70475	402218	60332700000	27
