<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	83.681	83.895	83.310	83.608	258429	38764350000	26
2020.01.03	83.608	83.649	82.958	83.082	450330	67549500000	26
2020.01.06	83.007	83.670	82.957	83.577	392218	58832700000	26
2020.01.07	83.577	83.722	83.167	83.355	383509	57526350000	26
2020.01.08	83.341	83.837	82.784	83.659	603154	90473100000	26
2020.01.09	83.659	83.889	83.548	83.870	802522	120378300000	26
2020.01.10	83.870	84.131	83.762	83.854	995962	149394300000	26
2020.01.13	83.881	84.307	83.808	84.190	291621	43743150000	26
2020.01.14	84.190	84.424	84.039	84.189	358792	53818800000	26
2020.01.15	84.187	84.322	83.964	84.245	324146	48621900000	26
2020.01.16	84.245	84.474	84.180	84.438	296357	44453550000	26
2020.01.17	84.438	84.557	84.229	84.271	308403	46260450000	26
2020.01.20	84.248	84.448	84.246	84.424	220763	33114450000	26
2020.01.21	84.424	84.448	83.928	84.029	363375	54506250000	26
2020.01.22	84.029	84.339	83.524	83.600	350306	52545900000	26
2020.01.23	83.600	83.623	83.061	83.389	384514	57677100000	26
2020.01.24	83.389	83.541	82.994	83.124	351032	52654800000	26
2020.01.27	82.768	82.917	82.457	82.517	469036	70355400000	26
2020.01.28	82.517	82.964	82.353	82.951	761247	114187050000	26
2020.01.29	82.951	83.022	82.552	82.577	1067619	160142850000	26
2020.01.30	82.565	82.626	82.111	82.468	1952255	292838250000	26
2020.01.31	82.508	82.687	81.737	81.822	1684665	252699750000	26
2020.02.03	81.862	82.157	81.567	81.780	481264	72189600000	26
2020.02.04	81.779	82.494	81.589	82.476	839429	125914350000	26
2020.02.05	82.464	82.687	82.176	82.661	1311639	196745850000	26
2020.02.06	82.651	82.813	82.549	82.781	1485083	222762450000	26
2020.02.07	82.764	82.792	82.233	82.446	2057004	308550600000	26
2020.02.10	82.407	82.651	82.260	82.416	385322	57798300000	26
2020.02.11	82.409	82.775	82.374	82.619	339732	50959800000	26
2020.02.12	82.619	83.101	82.562	83.071	340614	51092100000	26
2020.02.13	83.071	83.072	82.618	82.758	431278	64691700000	26
2020.02.14	82.758	82.953	82.693	82.812	656867	98530050000	26
2020.02.17	82.842	83.099	82.791	83.012	227915	34187250000	26
2020.02.18	83.012	83.013	82.642	82.845	365531	54829650000	26
2020.02.19	82.845	84.352	82.816	84.219	365064	54759600000	26
2020.02.20	84.219	84.733	84.036	84.536	484708	72706200000	26
2020.02.21	84.536	84.653	83.995	84.326	456275	68441250000	26
2020.02.24	83.925	84.277	83.087	83.273	577527	86629050000	26
2020.02.25	83.273	83.555	82.760	82.970	684361	102654150000	26
2020.02.26	82.970	83.388	82.675	82.798	720171	108025650000	26
2020.02.27	82.796	82.826	81.789	81.803	796313	119446950000	26
2020.02.28	81.803	81.967	80.130	80.597	932775	139916250000	26
2020.03.02	79.897	81.382	79.877	81.297	828259	124238850000	26
2020.03.03	81.297	81.453	79.941	79.983	752006	112800900000	26
2020.03.04	79.983	80.637	79.815	80.316	649729	97459350000	26
2020.03.05	80.316	80.471	78.957	79.138	603526	90528900000	26
2020.03.06	79.134	79.399	78.221	78.423	850563	127584450000	26
2020.03.09	76.881	76.892	73.859	74.663	1041522	156228300000	26
2020.03.10	74.662	77.226	74.490	76.667	1076253	161437950000	26
2020.03.11	76.659	76.931	75.648	75.766	967726	145158900000	26
2020.03.12	75.766	77.259	74.635	75.309	1003953	150592950000	26
2020.03.13	75.299	78.371	74.946	77.663	1091802	163770300000	26
2020.03.16	77.800	77.860	75.267	75.542	1065223	159783450000	26
2020.03.17	75.538	76.737	75.304	75.707	1205770	180865500000	26
2020.03.18	75.715	75.789	73.791	74.407	1163842	174576300000	26
2020.03.19	74.417	76.498	74.175	76.418	1235684	185352600000	26
2020.03.20	76.418	77.779	76.228	77.095	1103659	165548850000	26
2020.03.23	77.129	77.147	75.961	76.657	1133386	170007900000	26
2020.03.24	76.657	77.105	76.219	76.916	1091940	163791000000	26
2020.03.25	76.933	78.467	76.712	78.294	1040543	156081450000	26
2020.03.26	78.295	78.376	77.308	77.859	945053	141757950000	26
2020.03.27	77.874	77.922	76.593	77.087	847169	127075350000	26
2020.03.30	76.766	76.991	75.987	76.044	759279	113891850000	26
2020.03.31	76.042	76.765	75.415	76.439	809783	121467450000	26
2020.04.01	76.405	76.520	75.144	75.493	728417	109262550000	26
2020.04.02	75.493	76.540	74.956	76.286	707566	106134900000	26
2020.04.03	76.290	76.953	76.062	76.271	655890	98383500000	26
2020.04.06	76.093	77.576	76.036	77.370	693637	104045550000	26
2020.04.07	77.374	78.170	77.069	77.707	721650	108247500000	26
2020.04.08	77.710	77.825	77.231	77.639	641367	96205050000	26
2020.04.09	77.634	77.940	77.223	77.577	661448	99217200000	26
2020.04.10	77.577	77.718	77.398	77.551	247257	37088550000	26
2020.04.13	77.785	77.844	76.989	77.472	354049	53107350000	26
2020.04.14	77.477	77.698	76.909	77.207	359800	53970000000	26
2020.04.15	77.206	77.215	76.043	76.098	405676	60851400000	26
2020.04.16	76.103	76.613	75.923	76.605	441389	66208350000	26
2020.04.17	76.605	77.077	76.304	76.756	455257	68288550000	26
2020.04.20	76.598	76.799	76.027	76.034	379723	56958450000	26
2020.04.21	76.032	76.317	75.304	75.816	552587	82888050000	26
2020.04.22	75.815	76.397	75.571	76.061	434294	65144100000	26
2020.04.23	76.061	76.883	75.864	76.413	450523	67578450000	26
2020.04.24	76.413	76.682	76.085	76.130	364815	54722250000	26
2020.04.27	76.197	76.452	76.034	76.366	339661	50949150000	26
2020.04.28	76.360	76.541	76.152	76.323	368269	55240350000	26
2020.04.29	76.323	76.814	76.247	76.791	346078	51911700000	26
2020.04.30	76.789	77.242	76.557	76.810	406628	60994200000	26
2020.05.01	76.810	76.947	75.659	75.809	350000	52500000000	26
2020.05.04	75.781	76.030	75.393	75.720	333467	50020050000	26
2020.05.05	75.720	76.118	75.649	75.726	314663	47199450000	26
2020.05.06	75.733	75.900	74.907	74.972	367858	55178700000	26
2020.05.07	74.972	76.197	74.769	76.022	350069	52510350000	26
2020.05.08	76.022	76.632	75.927	76.513	309358	46403700000	26
2020.05.11	76.378	77.049	76.356	76.807	336728	50509200000	26
2020.05.12	76.807	76.853	76.070	76.075	344517	51677550000	26
2020.05.13	76.075	76.356	75.790	75.866	388182	58227300000	26
2020.05.14	75.866	76.474	75.565	76.308	363746	54561900000	26
2020.05.15	76.308	76.514	75.787	75.833	346578	51986700000	26
2020.05.18	75.925	76.977	75.836	76.945	304756	45713400000	26
2020.05.19	76.945	77.807	76.823	77.218	356433	53464950000	26
2020.05.20	77.214	77.559	77.147	77.278	305532	45829800000	26
2020.05.21	77.201	77.509	77.058	77.083	315535	47330250000	26
2020.05.22	77.084	77.253	76.514	76.815	309717	46457550000	26
2020.05.25	76.833	77.087	76.816	76.920	232711	34906650000	26
2020.05.26	76.920	78.164	76.909	77.986	317917	47687550000	26
2020.05.27	77.964	78.514	77.775	78.301	399645	59946750000	26
2020.05.28	78.301	78.492	78.013	78.166	389955	58493250000	26
2020.05.29	78.168	78.388	77.763	78.069	524905	78735750000	26
2020.06.01	78.092	79.333	78.022	79.254	533448	80017200000	26
2020.06.02	79.256	80.519	79.142	80.362	543323	81498450000	26
2020.06.03	80.366	80.782	79.945	80.678	612509	91876350000	26
2020.06.04	80.677	80.939	80.221	80.828	588048	88207200000	26
2020.06.05	80.811	81.900	80.696	81.613	616196	92429400000	26
2020.06.08	81.660	81.862	80.816	81.009	505310	75796500000	26
2020.06.09	81.009	81.117	79.938	80.282	584453	87667950000	26
2020.06.10	80.285	80.408	79.769	79.849	605620	90843000000	26
2020.06.11	79.849	79.932	78.368	78.391	733994	110099100000	26
2020.06.12	78.388	79.469	78.013	78.736	773166	115974900000	26
2020.06.15	78.633	79.219	78.310	79.071	694187	104128050000	26
2020.06.16	79.068	79.641	78.772	79.236	676982	101547300000	26
2020.06.17	79.236	79.483	78.763	78.864	566350	84952500000	26
2020.06.18	78.867	79.129	78.421	78.650	589503	88425450000	26
2020.06.19	78.643	78.896	78.451	78.506	541068	81160200000	26
2020.06.22	78.358	79.070	78.358	79.044	488828	73324200000	26
2020.06.23	79.044	79.326	78.471	78.595	570332	85504200000	26
2020.06.24	78.589	78.847	78.362	78.477	596248	89437200000	26
2020.06.25	78.477	78.757	78.316	78.585	556959	83543850000	26
2020.06.26	78.579	78.631	78.104	78.298	493482	74022300000	26
2020.06.29	78.138	78.852	78.138	78.743	472506	70875900000	26
2020.06.30	78.743	79.550	78.603	79.487	530291	79543650000	26
2020.07.01	79.487	79.687	78.984	79.082	459181	68877150000	26
2020.07.02	79.082	79.319	78.920	79.235	441620	66243000000	26
2020.07.03	79.233	79.341	79.146	79.261	328038	49205700000	26
2020.07.06	79.116	79.631	79.116	79.252	377725	56658750000	26
2020.07.07	79.264	79.409	78.999	79.023	395091	59263650000	26
2020.07.08	79.024	79.461	78.933	79.364	411130	61669500000	26
2020.07.09	79.363	79.528	78.832	78.897	458274	68741100000	26
2020.07.10	78.892	78.957	78.375	78.642	450053	67507950000	26
2020.07.13	78.549	79.210	78.549	78.825	424591	63688650000	26
