<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	112.190	112.382	111.505	111.745	308076	46211400000	18
2020.01.03	111.740	111.808	110.922	111.117	543139	81470850000	18
2020.01.06	111.081	112.003	110.910	111.879	496934	74540100000	18
2020.01.07	111.879	111.987	111.525	111.751	499788	74968200000	18
2020.01.08	111.751	112.177	111.308	112.015	789459	118418850000	18
2020.01.09	112.015	112.698	111.983	112.505	937637	140645550000	18
2020.01.10	112.505	112.656	112.300	112.516	1166945	175041750000	18
2020.01.13	112.570	113.338	112.444	113.234	398749	59812350000	18
2020.01.14	113.234	113.778	113.096	113.691	470031	70504650000	18
2020.01.15	113.691	114.150	113.530	113.978	449311	67396650000	18
2020.01.16	113.978	114.377	113.922	114.144	417119	62567850000	18
2020.01.17	114.144	114.284	113.620	113.731	398876	59831400000	18
2020.01.20	113.695	113.860	113.572	113.749	285792	42868800000	18
2020.01.21	113.749	113.883	113.354	113.395	486690	73003500000	18
2020.01.22	113.395	113.519	113.015	113.468	440462	66069300000	18
2020.01.23	113.468	113.501	112.695	112.958	488881	73332150000	18
2020.01.24	112.958	113.075	112.473	112.476	441961	66294150000	18
2020.01.27	112.158	112.562	112.066	112.274	562092	84313800000	18
2020.01.28	112.274	112.416	111.990	112.162	918388	137758200000	18
2020.01.29	112.158	112.290	111.731	111.992	1319925	197988750000	18
2020.01.30	111.938	112.387	111.917	112.367	2414051	362107650000	18
2020.01.31	112.358	112.693	112.249	112.419	2232775	334916250000	18
2020.02.03	112.494	112.665	112.307	112.480	584074	87611100000	18
2020.02.04	112.480	112.996	112.339	112.973	1053764	158064600000	18
2020.02.05	112.962	113.090	112.633	112.789	1595030	239254500000	18
2020.02.06	112.789	112.896	112.656	112.835	1897603	284640450000	18
2020.02.07	112.801	112.852	112.219	112.222	2402536	360380400000	18
2020.02.10	112.247	112.388	112.173	112.312	448685	67302750000	18
2020.02.11	112.311	112.583	112.142	112.486	465078	69761700000	18
2020.02.12	112.485	112.901	112.472	112.532	464509	69676350000	18
2020.02.13	112.532	112.532	112.030	112.104	548666	82299900000	18
2020.02.14	112.104	112.147	111.733	111.736	859041	128856150000	18
2020.02.17	111.845	112.071	111.739	112.005	312931	46939650000	18
2020.02.18	112.005	112.009	111.619	111.716	482621	72393150000	18
2020.02.19	111.716	113.352	111.716	113.151	469450	70417500000	18
2020.02.20	113.152	114.235	113.031	113.885	566313	84946950000	18
2020.02.21	113.885	114.267	113.419	114.029	528397	79259550000	18
2020.02.24	113.536	114.062	112.858	113.080	718385	107757750000	18
2020.02.25	113.080	113.345	112.675	112.868	851272	127690800000	18
2020.02.26	112.868	113.507	112.801	113.028	888039	133205850000	18
2020.02.27	113.028	113.549	112.943	113.225	966913	145036950000	18
2020.02.28	113.223	113.245	111.316	111.647	1124839	168725850000	18
2020.03.02	111.473	112.967	111.331	112.875	989213	148381950000	18
2020.03.03	112.875	113.235	111.756	111.974	911475	136721250000	18
2020.03.04	111.974	112.774	111.836	112.351	836930	125539500000	18
2020.03.05	112.351	112.604	111.979	112.231	790398	118559700000	18
2020.03.06	112.236	112.851	111.943	112.332	1062365	159354750000	18
2020.03.09	112.010	112.252	109.541	110.340	1174163	176124450000	18
2020.03.10	110.340	112.617	110.148	111.975	1239550	185932500000	18
2020.03.11	111.975	112.461	110.979	111.138	1109465	166419750000	18
2020.03.12	111.151	111.829	110.250	110.765	1127722	169158300000	18
2020.03.13	110.762	113.721	110.578	113.220	1186986	178047900000	18
2020.03.16	113.071	113.164	111.097	111.880	1232342	184851300000	18
2020.03.17	111.879	112.855	111.105	111.995	1301052	195157800000	18
2020.03.18	112.002	112.166	110.944	111.586	1294415	194162250000	18
2020.03.19	111.593	113.018	111.531	112.217	1284357	192653550000	18
2020.03.20	112.217	113.141	111.835	112.313	1205293	180793950000	18
2020.03.23	112.434	113.559	111.502	112.865	1197306	179595900000	18
2020.03.24	112.865	113.761	112.436	113.293	1190938	178640700000	18
2020.03.25	113.305	113.988	112.875	113.779	1176139	176420850000	18
2020.03.26	113.779	113.937	112.902	113.434	1105443	165816450000	18
2020.03.27	113.442	113.686	112.419	113.410	1025004	153750600000	18
2020.03.30	112.742	113.281	112.295	112.401	889941	133491150000	18
2020.03.31	112.401	113.051	111.471	111.867	951132	142669800000	18
2020.04.01	111.867	112.157	110.524	110.961	847702	127155300000	18
2020.04.02	110.961	111.194	110.298	110.768	840632	126094800000	18
2020.04.03	110.769	111.223	110.637	110.908	738888	110833200000	18
2020.04.06	110.730	111.896	110.730	111.583	803471	120520650000	18
2020.04.07	111.583	112.472	111.243	112.176	795037	119255550000	18
2020.04.08	112.180	112.408	111.731	111.934	689188	103378200000	18
2020.04.09	111.934	112.514	111.872	112.229	691315	103697250000	19
2020.04.10	112.229	112.393	111.835	112.099	350892	52633800000	19
2020.04.13	112.079	112.363	111.183	111.331	384969	57745350000	19
2020.04.14	111.328	111.722	111.211	111.649	449425	67413750000	19
2020.04.15	111.627	111.685	110.883	111.312	388690	58303500000	19
2020.04.16	111.271	111.641	110.863	111.141	425093	63763950000	19
2020.04.17	111.140	111.529	110.871	111.072	429485	64422750000	19
2020.04.20	110.831	111.488	110.828	111.167	433879	65081850000	19
2020.04.21	111.158	111.334	110.512	111.096	566138	84920700000	19
2020.04.22	111.034	111.382	110.710	110.889	441194	66179100000	19
2020.04.23	110.889	111.064	109.946	110.189	542752	81412800000	19
2020.04.24	110.186	110.493	109.867	110.312	469959	70493850000	19
2020.04.27	110.460	110.567	109.741	109.884	425427	63814050000	19
2020.04.28	109.884	110.063	109.357	109.600	454886	68232900000	19
2020.04.29	109.576	109.759	109.192	109.473	427359	64103850000	19
2020.04.30	109.473	111.316	109.167	110.938	519961	77994150000	19
2020.05.01	110.952	111.511	110.759	111.106	425582	63837300000	19
2020.05.04	110.903	111.104	110.443	110.484	385452	57817800000	19
2020.05.05	110.481	110.589	109.417	109.434	385120	57768000000	19
2020.05.06	109.442	109.577	108.691	108.761	402693	60403950000	19
2020.05.07	108.744	109.255	108.682	109.125	332156	49823400000	19
2020.05.08	109.163	109.929	109.132	109.704	298068	44710200000	19
2020.05.11	109.536	110.773	109.445	110.581	397828	59674200000	19
2020.05.12	110.571	111.048	110.243	110.465	413363	62004450000	19
2020.05.13	110.466	110.652	110.005	110.061	426753	64012950000	19
2020.05.14	110.061	110.251	109.674	110.184	431298	64694700000	19
2020.05.15	110.184	110.407	109.822	110.088	395122	59268300000	19
2020.05.18	110.006	110.941	109.892	110.423	369369	55405350000	19
2020.05.19	110.423	111.285	110.237	110.842	377513	56626950000	19
2020.05.20	110.842	111.485	110.785	111.351	326566	48984900000	19
2020.05.21	111.299	111.645	110.760	110.854	348319	52247850000	19
2020.05.22	110.854	110.967	110.433	110.701	326473	48970950000	19
2020.05.25	110.578	110.958	110.564	110.780	244555	36683250000	19
2020.05.26	110.792	111.481	110.687	111.307	367549	55132350000	19
2020.05.27	111.303	111.435	110.662	111.129	489580	73437000000	19
2020.05.28	111.068	111.764	110.853	111.589	429231	64384650000	19
