<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.45596	1.45623	1.44976	1.44998	407783	61167450000	21
2020.01.03	1.44998	1.45208	1.44494	1.45102	537164	80574600000	21
2020.01.06	1.44959	1.45374	1.44780	1.45143	464677	69701550000	21
2020.01.07	1.45140	1.45262	1.44879	1.45016	484172	72625800000	21
2020.01.08	1.45017	1.45190	1.44618	1.44796	628168	94225200000	20
2020.01.09	1.44783	1.45451	1.44748	1.44986	975716	146357400000	21
2020.01.10	1.44986	1.45273	1.44590	1.45099	1359565	203934750000	20
2020.01.13	1.45070	1.45468	1.44954	1.45361	411771	61765650000	21
2020.01.14	1.45361	1.45653	1.45162	1.45331	467560	70134000000	21
2020.01.15	1.45331	1.45805	1.45226	1.45401	432305	64845750000	21
2020.01.16	1.45395	1.45643	1.45122	1.45227	434991	65248650000	19
2020.01.17	1.45227	1.45365	1.44770	1.44872	438123	65718450000	21
2020.01.20	1.44847	1.45014	1.44569	1.44748	334287	50143050000	21
2020.01.21	1.44744	1.45230	1.44706	1.44836	440828	66124200000	21
2020.01.22	1.44836	1.45827	1.44545	1.45702	459208	68881200000	20
2020.01.23	1.45702	1.46124	1.45069	1.45095	491124	73668600000	19
2020.01.24	1.45095	1.45183	1.44754	1.44852	451622	67743300000	21
2020.01.27	1.45082	1.45513	1.44962	1.45371	500350	75052500000	21
2020.01.28	1.45371	1.45512	1.44909	1.44989	906895	136034250000	21
2020.01.29	1.44989	1.45388	1.44791	1.45311	1301279	195191850000	21
2020.01.30	1.45275	1.45950	1.45176	1.45696	2047418	307112700000	21
2020.01.31	1.45637	1.46840	1.45537	1.46788	1959676	293951400000	21
2020.02.03	1.46840	1.47190	1.46086	1.46918	535067	80260050000	21
2020.02.04	1.46918	1.47119	1.46365	1.46620	992996	148949400000	21
2020.02.05	1.46600	1.46855	1.46048	1.46071	1546306	231945900000	21
2020.02.06	1.46063	1.46254	1.45763	1.45876	1865372	279805800000	21
2020.02.07	1.45879	1.46132	1.45522	1.45618	2476144	371421600000	21
2020.02.10	1.45583	1.45832	1.45274	1.45289	454973	68245950000	21
2020.02.11	1.45288	1.45339	1.44912	1.45007	439678	65951700000	21
2020.02.12	1.45007	1.45131	1.43961	1.44056	453968	68095200000	21
2020.02.13	1.44056	1.44342	1.43539	1.43804	492367	73855050000	21
2020.02.14	1.43804	1.43936	1.43474	1.43495	822336	123350400000	21
2020.02.17	1.43617	1.43666	1.43260	1.43382	306656	45998400000	21
2020.02.18	1.43383	1.43699	1.42996	1.43081	443786	66567900000	21
2020.02.19	1.43078	1.43180	1.42630	1.42835	439195	65879250000	21
2020.02.20	1.42832	1.43397	1.42664	1.42962	512130	76819500000	21
2020.02.21	1.42961	1.43753	1.42867	1.43409	498341	74751150000	21
2020.02.24	1.43428	1.44350	1.43315	1.44256	597123	89568450000	21
2020.02.25	1.44256	1.44739	1.43803	1.44472	624026	93603900000	21
2020.02.26	1.44471	1.45165	1.44068	1.45050	665327	99799050000	21
2020.02.27	1.45050	1.47365	1.44968	1.47277	746673	112000950000	21
2020.02.28	1.47277	1.48683	1.47120	1.47762	864047	129607050000	21
2020.03.02	1.48382	1.49234	1.47263	1.48281	820818	123122700000	21
2020.03.03	1.48281	1.49770	1.48119	1.49493	761227	114184050000	21
2020.03.04	1.49493	1.49703	1.47925	1.49024	660491	99073650000	21
2020.03.05	1.49024	1.50742	1.48981	1.50705	621634	93245100000	21
2020.03.06	1.50705	1.52452	1.50152	1.51453	847590	127138500000	21
2020.03.09	1.54192	1.58154	1.54062	1.56701	1089382	163407300000	21
2020.03.10	1.56701	1.57017	1.54376	1.54978	1056143	158421450000	21
2020.03.11	1.54976	1.56056	1.54442	1.55147	949604	142440600000	21
2020.03.12	1.55147	1.56571	1.52884	1.55404	1029336	154400400000	21
2020.03.13	1.55397	1.56334	1.53117	1.53409	1128791	169318650000	21
2020.03.16	1.53787	1.56744	1.53249	1.56455	1190685	178602750000	21
2020.03.17	1.56457	1.56921	1.54465	1.56311	1106159	165923850000	21
2020.03.18	1.56311	1.58822	1.56106	1.58322	1152227	172834050000	21
2020.03.19	1.58338	1.59909	1.54185	1.54596	1167790	175168500000	21
2020.03.20	1.54596	1.55008	1.52147	1.53417	1240561	186084150000	21
