<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.08622	1.08775	1.08360	1.08508	381716	57257400000	18
2020.01.03	1.08508	1.08575	1.08231	1.08544	500011	75001650000	18
2020.01.06	1.08419	1.08589	1.08302	1.08355	452275	67841250000	18
2020.01.07	1.08360	1.08598	1.08075	1.08183	481980	72297000000	18
2020.01.08	1.08180	1.08279	1.07817	1.08141	645570	96835500000	18
2020.01.09	1.08085	1.08322	1.07942	1.08059	910273	136540950000	18
2020.01.10	1.08059	1.08287	1.07995	1.08169	1212145	181821750000	18
2020.01.13	1.08052	1.08325	1.07966	1.08057	389398	58409700000	18
2020.01.14	1.08057	1.08200	1.07588	1.07591	480627	72094050000	18
2020.01.15	1.07591	1.07759	1.07415	1.07478	482764	72414600000	18
2020.01.16	1.07478	1.07584	1.07314	1.07395	455247	68287050000	18
2020.01.17	1.07395	1.07563	1.07307	1.07339	439157	65873550000	18
2020.01.20	1.07312	1.07493	1.07240	1.07414	322432	48364800000	18
2020.01.21	1.07414	1.07502	1.07302	1.07345	482121	72318150000	18
2020.01.22	1.07345	1.07871	1.07317	1.07351	445843	66876450000	18
2020.01.23	1.07351	1.07464	1.07013	1.07100	480725	72108750000	18
2020.01.24	1.07090	1.07219	1.06999	1.07060	448276	67241400000	18
2020.01.27	1.07045	1.07162	1.06760	1.06818	486254	72938100000	18
2020.01.28	1.06818	1.07258	1.06644	1.07232	869244	130386600000	18
2020.01.29	1.07232	1.07367	1.07092	1.07144	1267762	190164300000	23
2020.01.30	1.07145	1.07219	1.06803	1.06922	2068311	310246650000	23
2020.01.31	1.06922	1.07052	1.06757	1.06874	2021045	303156750000	23
2020.02.03	1.06812	1.06923	1.06626	1.06780	515032	77254800000	23
2020.02.04	1.06778	1.07163	1.06768	1.07010	969424	145413600000	23
2020.02.05	1.07010	1.07270	1.06894	1.07058	1448636	217295400000	22
2020.02.06	1.07058	1.07233	1.06947	1.07028	1763202	264480300000	22
2020.02.07	1.07008	1.07093	1.06785	1.07010	2361645	354246750000	22
2020.02.10	1.06966	1.07124	1.06594	1.06605	459700	68955000000	23
2020.02.11	1.06604	1.06785	1.06476	1.06506	483143	72471450000	23
2020.02.12	1.06506	1.06612	1.06297	1.06343	477632	71644800000	23
2020.02.13	1.06342	1.06381	1.06084	1.06157	523114	78467100000	22
2020.02.14	1.06158	1.06495	1.06077	1.06373	823511	123526650000	23
2020.02.17	1.06392	1.06495	1.06247	1.06248	316807	47521050000	23
2020.02.18	1.06248	1.06283	1.06079	1.06083	454056	68108400000	23
2020.02.19	1.06082	1.06337	1.06060	1.06312	465791	69868650000	23
2020.02.20	1.06312	1.06335	1.06053	1.06130	596445	89466750000	23
2020.02.21	1.06130	1.06232	1.06049	1.06104	534835	80225250000	23
2020.02.24	1.06067	1.06250	1.05888	1.06225	677351	101602650000	23
2020.02.25	1.06225	1.06342	1.05924	1.06192	725771	108865650000	23
2020.02.26	1.06192	1.06358	1.05984	1.06279	740551	111082650000	23
2020.02.27	1.06275	1.06707	1.06154	1.06401	811845	121776750000	23
2020.02.28	1.06401	1.06582	1.05842	1.06421	941491	141223650000	23
2020.03.02	1.06358	1.07052	1.06293	1.06744	846409	126961350000	23
2020.03.03	1.06744	1.07087	1.06289	1.06810	795659	119348850000	23
2020.03.04	1.06811	1.07029	1.06195	1.06475	672207	100831050000	23
2020.03.05	1.06475	1.06746	1.06154	1.06268	647460	97119000000	23
2020.03.06	1.06238	1.06258	1.05741	1.05796	913051	136957650000	23
2020.03.09	1.05799	1.06378	1.05414	1.05934	1025137	153770550000	23
2020.03.10	1.05934	1.06455	1.05744	1.06044	1030413	154561950000	23
2020.03.11	1.06044	1.06093	1.05649	1.05728	883384	132507600000	23
2020.03.12	1.05728	1.05916	1.05400	1.05551	1015203	152280450000	23
2020.03.13	1.05563	1.06179	1.05492	1.05663	1140111	171016650000	23
2020.03.16	1.05718	1.05892	1.05365	1.05693	1260192	189028800000	23
2020.03.17	1.05693	1.06043	1.05440	1.05743	1124532	168679800000	23
2020.03.18	1.05743	1.05843	1.05305	1.05516	1183118	177467700000	23
2020.03.19	1.05516	1.06005	1.05237	1.05257	1176710	176506500000	23
2020.03.20	1.05257	1.05563	1.05244	1.05321	1254796	188219400000	23
2020.03.23	1.05338	1.05991	1.05274	1.05614	1241635	186245250000	23
2020.03.24	1.05614	1.05996	1.05614	1.05863	1107470	166120500000	23
2020.03.25	1.05863	1.06361	1.05810	1.06110	1063654	159548100000	23
2020.03.26	1.06110	1.06528	1.06110	1.06296	970157	145523550000	23
2020.03.27	1.06296	1.06349	1.05627	1.05921	944655	141698250000	23
2020.03.30	1.05893	1.06008	1.05502	1.05816	764831	114724650000	23
2020.03.31	1.05816	1.06212	1.05613	1.05977	844483	126672450000	23
2020.04.01	1.05977	1.06044	1.05568	1.05841	727787	109168050000	23
2020.04.02	1.05841	1.05931	1.05452	1.05704	721666	108249900000	23
2020.04.03	1.05704	1.05763	1.05421	1.05579	636029	95404350000	23
2020.04.06	1.05494	1.05804	1.05484	1.05607	698182	104727300000	23
2020.04.07	1.05607	1.05934	1.05553	1.05616	696516	104477400000	23
2020.04.08	1.05615	1.05671	1.05472	1.05482	632020	94803000000	23
2020.04.09	1.05482	1.05814	1.05476	1.05594	655162	98274300000	23
2020.04.10	1.05594	1.05711	1.05472	1.05669	498608	74791200000	23
2020.04.13	1.05543	1.05702	1.05488	1.05548	433932	65089800000	23
2020.04.14	1.05548	1.05586	1.05320	1.05439	547763	82164450000	23
2020.04.15	1.05445	1.05503	1.05215	1.05215	538120	80718000000	23
2020.04.16	1.05223	1.05271	1.05072	1.05160	560489	84073350000	23
2020.04.17	1.05139	1.05268	1.05078	1.05167	566471	84970650000	23
2020.04.20	1.05142	1.05227	1.05111	1.05121	464589	69688350000	23
2020.04.21	1.05121	1.05306	1.05088	1.05258	572239	85835850000	23
2020.04.22	1.05234	1.05313	1.05117	1.05146	476921	71538150000	23
2020.04.23	1.05146	1.05296	1.05037	1.05166	602542	90381300000	23
