<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	0.84879	0.85137	0.84684	0.85010	459395	68909250000	14
2020.01.03	0.85010	0.85426	0.84903	0.85322	588267	88240050000	13
2020.01.06	0.85276	0.85443	0.84920	0.85022	513332	76999800000	14
2020.01.07	0.85014	0.85268	0.84651	0.84965	546124	81918600000	14
2020.01.08	0.84965	0.85159	0.84542	0.84760	667874	100181100000	14
2020.01.09	0.84760	0.85329	0.84711	0.84967	1045683	156852450000	14
2020.01.10	0.84965	0.85193	0.84787	0.85153	1484833	222724950000	13
2020.01.13	0.85244	0.85813	0.85210	0.85706	488392	73258800000	14
2020.01.14	0.85708	0.85953	0.85393	0.85424	559945	83991750000	14
2020.01.15	0.85424	0.85769	0.85367	0.85500	528739	79310850000	14
2020.01.16	0.85500	0.85608	0.85087	0.85142	547428	82114200000	14
2020.01.17	0.85127	0.85325	0.84870	0.85266	529736	79460400000	13
2020.01.20	0.85307	0.85529	0.85198	0.85273	404882	60732300000	14
2020.01.21	0.85273	0.85345	0.84908	0.84938	537973	80695950000	14
2020.01.22	0.84938	0.85005	0.84229	0.84408	552858	82928700000	14
2020.01.23	0.84408	0.84568	0.84164	0.84193	515825	77373750000	14
2020.01.24	0.84193	0.84436	0.83859	0.84330	523059	78458850000	13
2020.01.27	0.84338	0.84486	0.84080	0.84373	494662	74199300000	14
2020.01.28	0.84373	0.84781	0.84323	0.84592	1000795	150119250000	14
2020.01.29	0.84592	0.84671	0.84463	0.84515	1342792	201418800000	14
2020.01.30	0.84556	0.84868	0.84115	0.84229	2250104	337515600000	14
2020.01.31	0.84226	0.84310	0.83866	0.84060	2145908	321886200000	13
2020.02.03	0.84180	0.85176	0.84061	0.85075	560919	84137850000	14
2020.02.04	0.85075	0.85371	0.84638	0.84736	1096956	164543400000	14
2020.02.05	0.84736	0.84904	0.84335	0.84576	1616499	242474850000	14
2020.02.06	0.84576	0.84968	0.84576	0.84937	1926586	288987900000	14
2020.02.07	0.84937	0.84976	0.84610	0.84976	2604735	390710250000	13
2020.02.10	0.84834	0.85037	0.84419	0.84472	506161	75924150000	14
2020.02.11	0.84472	0.84582	0.84196	0.84262	539716	80957400000	14
2020.02.12	0.84262	0.84284	0.83809	0.83879	517937	77690550000	14
2020.02.13	0.83888	0.83995	0.82950	0.83080	574676	86201400000	14
2020.02.14	0.83080	0.83435	0.82987	0.83008	997940	149691000000	13
2020.02.17	0.83080	0.83344	0.83029	0.83299	388230	58234500000	14
2020.02.18	0.83299	0.83475	0.82815	0.83005	523442	78516300000	14
2020.02.19	0.83005	0.83673	0.82943	0.83564	537787	80668050000	14
2020.02.20	0.83563	0.84152	0.83556	0.83701	588556	88283400000	14
