<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	121.895	122.010	120.973	121.288	564094	84614100000	18
2020.01.03	121.288	121.371	120.160	120.704	817225	122583750000	18
2020.01.06	120.564	121.389	120.274	121.334	774960	116244000000	18
2020.01.07	121.334	121.439	120.776	120.929	738276	110741400000	18
2020.01.08	120.929	121.373	120.161	121.169	1002121	150318150000	18
2020.01.09	121.144	121.681	121.112	121.634	1492398	223859700000	18
2020.01.10	121.634	121.830	121.515	121.714	1988053	298207950000	18
2020.01.13	121.544	122.484	121.544	122.407	644329	96649350000	18
2020.01.14	122.403	122.758	122.179	122.371	753087	112963050000	18
2020.01.15	122.371	122.712	122.191	122.529	687349	103102350000	18
2020.01.16	122.529	122.867	122.482	122.669	659921	98988150000	18
2020.01.17	122.669	122.833	122.115	122.149	638849	95827350000	18
2020.01.20	122.122	122.309	122.027	122.239	530658	79598700000	18
2020.01.21	122.239	122.364	121.709	121.736	770725	115608750000	18
2020.01.22	121.736	122.008	121.607	121.835	705413	105811950000	18
2020.01.23	121.835	121.867	120.627	121.021	746065	111909750000	18
2020.01.24	121.020	121.257	120.409	120.455	683347	102502050000	18
2020.01.27	120.122	120.393	119.898	119.977	853993	128098950000	18
2020.01.28	119.977	120.326	119.800	120.293	1480825	222123750000	18
2020.01.29	120.293	120.413	119.881	120.016	2110216	316532400000	18
2020.01.30	120.016	120.240	119.767	120.175	3524489	528673350000	18
2020.01.31	120.188	120.398	120.017	120.156	3445109	516766350000	18
2020.02.03	120.241	120.371	119.912	120.171	850742	127611300000	18
2020.02.04	120.171	120.975	120.057	120.951	1574151	236122650000	18
2020.02.05	120.952	121.144	120.650	120.772	2439917	365987550000	18
2020.02.06	120.772	121.013	120.561	120.794	2826563	423984450000	18
2020.02.07	120.739	120.797	120.084	120.114	3831924	574788600000	18
2020.02.10	120.006	120.330	119.672	119.769	750424	112563600000	18
2020.02.11	119.769	120.017	119.587	119.824	748097	112214550000	18
2020.02.12	119.823	120.296	119.602	119.692	742891	111433650000	18
2020.02.13	119.692	119.716	118.866	119.034	853375	128006250000	18
2020.02.14	119.034	119.221	118.859	118.933	1431025	214653750000	18
2020.02.17	119.054	119.187	118.897	119.036	557150	83572500000	18
2020.02.18	119.036	119.060	118.454	118.552	780328	117049200000	18
2020.02.19	118.552	120.488	118.552	120.306	797320	119598000000	18
