<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.12124	1.12136	1.11628	1.11712	450259	67538850000	15
2020.01.03	1.11712	1.11792	1.11243	1.11601	598129	89719350000	13
2020.01.06	1.11637	1.12049	1.11565	1.11958	554376	83156400000	15
2020.01.07	1.11957	1.11969	1.11329	1.11513	554991	83248650000	14
2020.01.08	1.11512	1.11675	1.11012	1.11046	739679	110951850000	15
2020.01.09	1.11046	1.11196	1.10918	1.11050	1042934	156440100000	15
2020.01.10	1.11035	1.11284	1.10843	1.11195	1469453	220417950000	13
2020.01.13	1.11158	1.11461	1.11118	1.11332	444997	66749550000	15
2020.01.14	1.11332	1.11438	1.11035	1.11266	551650	82747500000	15
2020.01.15	1.11266	1.11626	1.11178	1.11487	514889	77233350000	15
2020.01.16	1.11487	1.11719	1.11273	1.11351	519576	77936400000	15
2020.01.17	1.11351	1.11418	1.10855	1.10900	517807	77671050000	13
2020.01.20	1.10921	1.11016	1.10760	1.10940	376449	56467350000	15
2020.01.21	1.10940	1.11172	1.10803	1.10813	533838	80075700000	15
2020.01.22	1.10813	1.10977	1.10694	1.10921	543512	81526800000	15
2020.01.23	1.10921	1.11080	1.10356	1.10535	572932	85939800000	15
2020.01.24	1.10535	1.10610	1.10189	1.10245	546625	81993750000	13
2020.01.27	1.10295	1.10368	1.10089	1.10181	575847	86377050000	15
2020.01.28	1.10181	1.10245	1.09972	1.10215	1064503	159675450000	15
2020.01.29	1.10216	1.10270	1.09916	1.10094	1546097	231914550000	15
2020.01.30	1.10090	1.10386	1.10061	1.10308	2465568	369835200000	15
2020.01.31	1.10307	1.10951	1.10162	1.10911	2407993	361198950000	13
2020.02.03	1.10933	1.10934	1.10350	1.10587	604972	90745800000	14
2020.02.04	1.10587	1.10634	1.10320	1.10441	1168415	175262250000	15
2020.02.05	1.10441	1.10471	1.09930	1.09983	1758462	263769300000	15
2020.02.06	1.09983	1.10132	1.09637	1.09812	2128499	319274850000	15
2020.02.07	1.09772	1.09843	1.09412	1.09442	2964400	444660000000	13
2020.02.10	1.09460	1.09568	1.09070	1.09102	539554	80933100000	15
2020.02.11	1.09101	1.09242	1.08905	1.09145	539118	80867700000	15
2020.02.12	1.09145	1.09249	1.08644	1.08727	551570	82735500000	15
2020.02.13	1.08729	1.08881	1.08333	1.08392	596531	89479650000	15
2020.02.14	1.08392	1.08605	1.08266	1.08306	1013272	151990800000	13
2020.02.17	1.08391	1.08503	1.08284	1.08342	355753	53362950000	15
2020.02.18	1.08342	1.08373	1.07848	1.07911	564307	84646050000	15
2020.02.19	1.07911	1.08110	1.07815	1.08039	546016	81902400000	15
2020.02.20	1.08037	1.08204	1.07772	1.07841	611934	91790100000	15
2020.02.21	1.07841	1.08628	1.07828	1.08468	605890	90883500000	13
2020.02.24	1.08240	1.08714	1.08043	1.08519	747020	112053000000	15
2020.02.25	1.08519	1.08895	1.08294	1.08803	818056	122708400000	15
2020.02.26	1.08803	1.09081	1.08542	1.08805	844333	126649950000	15
2020.02.27	1.08805	1.10057	1.08773	1.09992	920536	138080400000	15
2020.02.28	1.09992	1.10523	1.09502	1.10262	1064469	159670350000	13
2020.03.02	1.10475	1.11842	1.10356	1.11327	999303	149895450000	15
2020.03.03	1.11327	1.12128	1.10947	1.11710	922222	138333300000	15
2020.03.04	1.11710	1.11869	1.10948	1.11339	827472	124120800000	15
2020.03.05	1.11339	1.12442	1.11189	1.12371	796877	119531550000	15
2020.03.06	1.12371	1.13540	1.12107	1.12846	1011533	151729950000	13
2020.03.09	1.13471	1.14951	1.13392	1.14460	1152751	172912650000	15
2020.03.10	1.14460	1.14572	1.12742	1.12906	1201475	180221250000	15
2020.03.11	1.12906	1.13660	1.12499	1.12601	1087321	163098150000	15
2020.03.12	1.12601	1.13328	1.10546	1.11671	1143386	171507900000	15
2020.03.13	1.11666	1.12206	1.10542	1.11124	1204774	180716100000	13
2020.03.16	1.11879	1.12361	1.10843	1.11773	1247777	187166550000	15
2020.03.17	1.11773	1.11885	1.09544	1.10043	1242973	186445950000	15
2020.03.18	1.10043	1.10445	1.08008	1.09110	1248872	187330800000	15
2020.03.19	1.09110	1.09811	1.06538	1.06619	1255255	188288250000	15
2020.03.20	1.06619	1.08305	1.06367	1.06906	1286111	192916650000	13
2020.03.23	1.06957	1.08275	1.06354	1.07265	1269263	190389450000	15
2020.03.24	1.07265	1.08874	1.07253	1.07837	1183150	177472500000	15
2020.03.25	1.07837	1.08933	1.07597	1.08793	1173011	175951650000	15
2020.03.26	1.08793	1.10581	1.08697	1.10283	1011792	151768800000	15
2020.03.27	1.10283	1.11467	1.09526	1.11396	981553	147232950000	13
2020.03.30	1.11152	1.11435	1.10093	1.10434	839131	125869650000	15
2020.03.31	1.10390	1.10528	1.09260	1.10261	903982	135597300000	15
2020.04.01	1.10272	1.10385	1.09019	1.09616	844599	126689850000	15
2020.04.02	1.09616	1.09670	1.08200	1.08555	884498	132674700000	16
2020.04.03	1.08555	1.08642	1.07720	1.08001	828205	124230750000	13
2020.04.06	1.08067	1.08348	1.07676	1.07916	863731	129559650000	16
2020.04.07	1.07915	1.09254	1.07831	1.08907	855996	128399400000	16
2020.04.08	1.08903	1.09013	1.08293	1.08558	792090	118813500000	15
2020.04.09	1.08558	1.09510	1.08402	1.09282	813187	121978050000	16
2020.04.10	1.09282	1.09517	1.09183	1.09358	420755	63113250000	13
2020.04.13	1.09470	1.09671	1.08919	1.09098	539327	80899050000	16
2020.04.14	1.09098	1.09864	1.08997	1.09795	721383	108207450000	16
2020.04.15	1.09795	1.09901	1.08557	1.09084	753250	112987500000	16
2020.04.16	1.09061	1.09107	1.08159	1.08382	805074	120761100000	16
2020.04.17	1.08382	1.08918	1.08113	1.08748	802198	120329700000	13
2020.04.20	1.08663	1.08959	1.08405	1.08595	687199	103079850000	16
2020.04.21	1.08595	1.08795	1.08159	1.08564	783195	117479250000	16
2020.04.22	1.08557	1.08846	1.08025	1.08222	657381	98607150000	16
2020.04.23	1.08222	1.08460	1.07552	1.07758	764920	114738000000	16
2020.04.24	1.07758	1.08290	1.07262	1.08220	702449	105367350000	13
2020.04.27	1.08201	1.08594	1.08107	1.08280	693425	104013750000	16
2020.04.28	1.08280	1.08877	1.08088	1.08182	697107	104566050000	16
2020.04.29	1.08182	1.08848	1.08177	1.08743	708059	106208850000	16
2020.04.30	1.08743	1.09720	1.08322	1.09507	771804	115770600000	16
2020.05.01	1.09507	1.10179	1.09337	1.09806	597806	89670900000	13
2020.05.04	1.09627	1.09767	1.08949	1.09065	688018	103202700000	16
2020.05.05	1.09065	1.09252	1.08251	1.08390	669673	100450950000	16
2020.05.06	1.08390	1.08453	1.07812	1.07929	664106	99615900000	16
2020.05.07	1.07925	1.08334	1.07658	1.08319	715364	107304600000	16
2020.05.08	1.08319	1.08749	1.08144	1.08352	561449	84217350000	13
2020.05.11	1.08249	1.08497	1.07999	1.08060	581547	87232050000	16
2020.05.12	1.08060	1.08845	1.07836	1.08469	613816	92072400000	16
2020.05.13	1.08464	1.08957	1.08109	1.08173	646663	96999450000	16
2020.05.14	1.08167	1.08231	1.07740	1.08031	619432	92914800000	16
2020.05.15	1.08032	1.08503	1.07882	1.08190	603671	90550650000	13
2020.05.18	1.08059	1.09263	1.07980	1.09139	586130	87919500000	16
2020.05.19	1.09143	1.09753	1.09015	1.09217	612516	91877400000	16
2020.05.20	1.09217	1.09984	1.09165	1.09767	568193	85228950000	16
2020.05.21	1.09761	1.10076	1.09364	1.09476	549767	82465050000	16
2020.05.22	1.09458	1.09529	1.08846	1.09010	545185	81777750000	13
2020.05.25	1.08921	1.09138	1.08698	1.08950	338328	50749200000	16
2020.05.26	1.08950	1.09950	1.08915	1.09814	579475	86921250000	16
2020.05.27	1.09807	1.10301	1.09331	1.10026	725287	108793050000	16
2020.05.28	1.10026	1.10926	1.09910	1.10757	702293	105343950000	16
2020.05.29	1.10756	1.11443	1.10667	1.10975	750583	112587450000	13
2020.06.01	1.11117	1.11532	1.10997	1.11343	649609	97441350000	16
2020.06.02	1.11342	1.11952	1.11144	1.11685	559024	83853600000	16
2020.06.03	1.11685	1.12571	1.11660	1.12324	597850	89677500000	16
2020.06.04	1.12322	1.13615	1.11939	1.13365	587499	88124850000	16
2020.06.05	1.13367	1.13830	1.12777	1.12915	658732	98809800000	13
2020.06.08	1.12928	1.13190	1.12674	1.12932	655771	98365650000	16
2020.06.09	1.12932	1.13630	1.12402	1.13389	704697	105704550000	16
2020.06.10	1.13389	1.14217	1.13205	1.13723	726967	109045050000	16
2020.06.11	1.13723	1.14029	1.12879	1.12981	865388	129808200000	16
2020.06.12	1.12981	1.13398	1.12118	1.12548	868392	130258800000	13
2020.06.15	1.12323	1.13316	1.12258	1.13222	879243	131886450000	16
2020.06.16	1.13222	1.13526	1.12271	1.12625	777916	116687400000	14
2020.06.17	1.12625	1.12933	1.12063	1.12426	766289	114943350000	14
2020.06.18	1.12426	1.12607	1.11848	1.12049	713300	106995000000	14
2020.06.19	1.12047	1.12538	1.11675	1.11763	681774	102266100000	13
2020.06.22	1.11822	1.12692	1.11678	1.12593	672661	100899150000	14
2020.06.23	1.12593	1.13479	1.12325	1.13070	820413	123039450000	14
2020.06.24	1.13070	1.13252	1.12478	1.12496	765888	114883200000	14
2020.06.25	1.12501	1.12590	1.11898	1.12166	799301	119895150000	14
2020.06.26	1.12166	1.12387	1.11946	1.12185	648976	97346400000	13
2020.06.29	1.12140	1.12872	1.12140	1.12404	686709	103006350000	14
2020.06.30	1.12404	1.12613	1.11903	1.12333	699043	104856450000	14
2020.07.01	1.12333	1.12745	1.11844	1.12499	719448	107917200000	14
2020.07.02	1.12499	1.13020	1.12227	1.12384	682755	102413250000	14
2020.07.03	1.12384	1.12519	1.12186	1.12475	553378	83006700000	13
2020.07.06	1.12427	1.13449	1.12377	1.13085	668432	100264800000	14
2020.07.07	1.13083	1.13318	1.12582	1.12723	673846	101076900000	14
2020.07.08	1.12723	1.13511	1.12615	1.13289	629058	94358700000	14
2020.07.09	1.13289	1.13701	1.12794	1.12838	670905	100635750000	14
2020.07.10	1.12838	1.13241	1.12542	1.13002	612772	91915800000	13
2020.07.13	1.13005	1.13742	1.13002	1.13432	658472	98770800000	14
2020.07.14	1.13432	1.14080	1.13245	1.13989	748152	112222800000	14
2020.07.15	1.13989	1.14513	1.13904	1.14109	728799	109319850000	14
2020.07.16	1.14109	1.14411	1.13698	1.13829	717160	107574000000	14
2020.07.17	1.13829	1.14430	1.13745	1.14272	608780	91317000000	13
2020.07.20	1.14027	1.14671	1.14018	1.14466	689715	103457250000	14
2020.07.21	1.14467	1.15391	1.14222	1.15260	740041	111006150000	14
2020.07.22	1.15258	1.16008	1.15061	1.15688	761231	114184650000	14
2020.07.23	1.15688	1.16262	1.15398	1.15954	784238	117635700000	14
2020.07.24	1.15953	1.16574	1.15807	1.16554	733734	110060100000	13
2020.07.27	1.16399	1.17807	1.16392	1.17510	811815	121772250000	14
2020.07.28	1.17510	1.17730	1.16981	1.17146	827959	124193850000	14
2020.07.29	1.17144	1.18055	1.17114	1.17907	746283	111942450000	14
2020.07.30	1.17907	1.18476	1.17301	1.18464	817384	122607600000	15
2020.07.31	1.18462	1.19080	1.17609	1.17794	912690	136903500000	13
2020.08.03	1.17673	1.17962	1.16952	1.17615	769377	115406550000	15
2020.08.04	1.17615	1.18055	1.17206	1.18017	735885	110382750000	15
2020.08.05	1.18017	1.19041	1.17922	1.18625	729478	109421700000	15
2020.08.06	1.18623	1.19153	1.18172	1.18761	789624	118443600000	15
2020.08.07	1.18756	1.18823	1.17545	1.17860	788143	118221450000	13
2020.08.10	1.17861	1.18000	1.17353	1.17368	631904	94785600000	15
2020.08.11	1.17368	1.18072	1.17215	1.17392	777039	116555850000	15
2020.08.12	1.17392	1.18163	1.17103	1.17834	791939	118790850000	15
2020.08.13	1.17834	1.18634	1.17785	1.18124	839668	125950200000	15
2020.08.14	1.18124	1.18497	1.17810	1.18416	650486	97572900000	13
2020.08.17	1.18360	1.18802	1.18280	1.18691	627326	94098900000	15
2020.08.18	1.18691	1.19650	1.18646	1.19306	697468	104620200000	15
2020.08.19	1.19306	1.19521	1.18294	1.18359	734777	110216550000	15
2020.08.20	1.18359	1.18679	1.18014	1.18594	753363	113004450000	15
2020.08.21	1.18594	1.18821	1.17534	1.17961	713551	107032650000	13
2020.08.24	1.17860	1.18490	1.17836	1.17869	638898	95834700000	15
2020.08.25	1.17867	1.18430	1.17835	1.18336	710433	106564950000	15
2020.08.26	1.18336	1.18386	1.17716	1.18291	692820	103923000000	15
2020.08.27	1.18291	1.19011	1.17616	1.18210	792235	118835250000	15
2020.08.28	1.18211	1.19191	1.18104	1.19035	789426	118413900000	13
2020.08.31	1.18897	1.19654	1.18834	1.19354	753403	113010450000	15
2020.09.01	1.19354	1.20107	1.19006	1.19111	860345	129051750000	15
2020.09.02	1.19108	1.19281	1.18214	1.18539	797274	119591100000	15
2020.09.03	1.18539	1.18639	1.17882	1.18505	848989	127348350000	15
2020.09.04	1.18505	1.18647	1.17801	1.18376	840810	126121500000	13
2020.09.07	1.18442	1.18479	1.18106	1.18141	542990	81448500000	15
2020.09.08	1.18141	1.18267	1.17648	1.17738	843756	126563400000	15
2020.09.09	1.17738	1.18332	1.17521	1.18021	776213	116431950000	15
2020.09.10	1.18021	1.19167	1.17984	1.18142	825708	123856200000	15
2020.09.11	1.18142	1.18733	1.18076	1.18461	695757	104363550000	13
2020.09.14	1.18350	1.18873	1.18313	1.18643	653706	98055900000	15
2020.09.15	1.18638	1.18998	1.18388	1.18459	670550	100582500000	15
