<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.71523	1.71811	1.70444	1.70491	474973	71245950000	35
2020.01.03	1.70491	1.70816	1.69620	1.70128	595156	89273400000	35
2020.01.06	1.69923	1.70856	1.69609	1.70703	523575	78536250000	35
2020.01.07	1.70694	1.71252	1.70156	1.70580	567381	85107150000	35
2020.01.08	1.70572	1.71191	1.70265	1.70722	664935	99740250000	35
2020.01.09	1.70722	1.71110	1.69827	1.70573	1129119	169367850000	35
2020.01.10	1.70573	1.71044	1.70135	1.70371	1566366	234954900000	35
2020.01.13	1.70087	1.70432	1.69172	1.69574	505811	75871650000	35
2020.01.14	1.69573	1.70147	1.69303	1.70034	552621	82893150000	35
2020.01.15	1.70025	1.70315	1.69785	1.70017	495382	74307300000	35
2020.01.16	1.70012	1.70610	1.69922	1.70539	481712	72256800000	35
2020.01.17	1.70540	1.71058	1.69867	1.69887	513765	77064750000	35
2020.01.20	1.69626	1.69952	1.69391	1.69694	407740	61161000000	35
2020.01.21	1.69693	1.70832	1.69574	1.70503	516481	77472150000	35
2020.01.22	1.70502	1.72757	1.70441	1.72558	582622	87393300000	35
2020.01.23	1.72558	1.73045	1.72040	1.72268	555349	83302350000	35
2020.01.24	1.72266	1.72827	1.71558	1.71723	535844	80376600000	35
2020.01.27	1.71992	1.72737	1.71731	1.72269	525736	78860400000	35
2020.01.28	1.72269	1.72298	1.71005	1.71363	1038438	155765700000	35
2020.01.29	1.71361	1.71887	1.71217	1.71804	1386673	208000950000	35
2020.01.30	1.71748	1.73329	1.71496	1.72948	2236300	335445000000	35
2020.01.31	1.72829	1.74793	1.72716	1.74663	2191494	328724100000	35
2020.02.03	1.74390	1.74577	1.72317	1.72608	588120	88218000000	35
2020.02.04	1.72611	1.73221	1.71937	1.72974	1148736	172310400000	35
2020.02.05	1.72974	1.73546	1.72227	1.72651	1683301	252495150000	35
2020.02.06	1.72641	1.72675	1.71661	1.71734	1993417	299012550000	35
2020.02.07	1.71695	1.72524	1.71342	1.71349	2805035	420755250000	35
2020.02.10	1.71393	1.72464	1.71112	1.71969	528746	79311900000	35
2020.02.11	1.71967	1.72338	1.71453	1.72060	514995	77249250000	35
