<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.27949	1.28371	1.27471	1.27533	486991	73048650000	25
2020.01.03	1.27533	1.27781	1.26815	1.27169	606636	90995400000	25
2020.01.06	1.26977	1.27625	1.26783	1.27423	545398	81809700000	25
2020.01.07	1.27423	1.28001	1.27202	1.27256	582520	87378000000	25
2020.01.08	1.27256	1.27838	1.26688	1.27504	772871	115930650000	25
2020.01.09	1.27504	1.27839	1.26677	1.27142	1140965	171144750000	25
2020.01.10	1.27142	1.27649	1.26940	1.27064	1541797	231269550000	25
2020.01.13	1.26720	1.26970	1.25848	1.26044	522055	78308250000	25
2020.01.14	1.26044	1.26237	1.25493	1.25888	564628	84694200000	25
2020.01.15	1.25888	1.26142	1.25281	1.25684	529571	79435650000	25
2020.01.16	1.25684	1.26249	1.25464	1.26125	513462	77019300000	25
2020.01.17	1.26125	1.26606	1.25850	1.25864	502659	75398850000	25
2020.01.20	1.25669	1.26026	1.25541	1.25892	378643	56796450000	25
2020.01.21	1.25892	1.26460	1.25713	1.26372	506674	76001100000	25
2020.01.22	1.26372	1.27558	1.26285	1.27139	531789	79768350000	25
2020.01.23	1.27139	1.27345	1.26791	1.27151	502142	75321300000	25
2020.01.24	1.27122	1.27741	1.26737	1.26925	507847	76177050000	25
2020.01.27	1.26915	1.27230	1.26443	1.26552	490840	73626000000	25
2020.01.28	1.26552	1.26765	1.25932	1.26755	967632	145144800000	25
2020.01.29	1.26755	1.26965	1.26564	1.26691	1301455	195218250000	25
2020.01.30	1.26687	1.27108	1.25946	1.26900	2206890	331033500000	25
2020.01.31	1.26902	1.27564	1.26755	1.27212	2185893	327883950000	25
2020.02.03	1.26904	1.27134	1.25430	1.25472	571783	85767450000	25
2020.02.04	1.25472	1.26470	1.25308	1.26238	1102963	165444450000	25
2020.02.05	1.26262	1.27082	1.26021	1.26548	1600880	240132000000	25
2020.02.06	1.26540	1.26622	1.25962	1.25974	1966631	294994650000	25
2020.02.07	1.25993	1.26428	1.25900	1.25948	2673841	401076150000	25
2020.02.10	1.25830	1.26501	1.25776	1.26194	536968	80545200000	25
2020.02.11	1.26193	1.26783	1.26058	1.26379	536483	80472450000	25
2020.02.12	1.26366	1.26852	1.26331	1.26738	521943	78291450000	25
2020.02.13	1.26739	1.27914	1.26497	1.27683	566688	85003200000	25
2020.02.14	1.27686	1.28161	1.27514	1.28112	953511	143026650000	25
2020.02.17	1.27893	1.28187	1.27483	1.27532	378635	56795250000	25
2020.02.18	1.27532	1.28189	1.27169	1.27772	495546	74331900000	25
2020.02.19	1.27772	1.28090	1.27024	1.27119	499969	74995350000	25
2020.02.20	1.27110	1.27165	1.26245	1.26769	581505	87225750000	25
2020.02.21	1.26769	1.27117	1.26530	1.26725	564181	84627150000	25
2020.02.24	1.26772	1.27102	1.26181	1.26540	650521	97578150000	25
2020.02.25	1.26540	1.27133	1.26424	1.26916	700868	105130200000	25
2020.02.26	1.26916	1.27068	1.25879	1.25981	709153	106372950000	25
2020.02.27	1.25981	1.26066	1.24603	1.24662	781494	117224100000	25
2020.02.28	1.24662	1.24934	1.23270	1.23718	873118	130967700000	25
2020.03.02	1.22988	1.23943	1.21923	1.22262	828958	124343700000	25
2020.03.03	1.22262	1.22913	1.22013	1.22411	789796	118469400000	25
2020.03.04	1.22411	1.23240	1.21813	1.23059	622306	93345900000	25
2020.03.05	1.23059	1.23357	1.22344	1.22366	586140	87921000000	25
2020.03.06	1.22334	1.22590	1.21317	1.22315	884416	132662400000	25
2020.03.09	1.21871	1.22314	1.20325	1.21141	932133	139819950000	25
2020.03.10	1.21141	1.22307	1.20599	1.20963	992083	148812450000	25
2020.03.11	1.20963	1.21583	1.19774	1.20333	856876	128531400000	25
2020.03.12	1.20333	1.20476	1.18294	1.18852	955831	143374650000	25
2020.03.13	1.18872	1.19336	1.16513	1.16744	1043688	156553200000	25
2020.03.16	1.17275	1.17619	1.15425	1.16005	1159518	173927700000	25
2020.03.17	1.16004	1.16503	1.15653	1.15859	1137931	170689650000	25
2020.03.18	1.15859	1.16463	1.10972	1.11969	1130072	169510800000	25
2020.03.19	1.11969	1.15397	1.11146	1.13216	1165072	174760800000	25
2020.03.20	1.13216	1.17144	1.12704	1.14799	1171337	175700550000	25
2020.03.23	1.14897	1.15186	1.12430	1.13572	1140366	171054900000	25
2020.03.24	1.13572	1.15799	1.12943	1.15312	1089728	163459200000	25
2020.03.25	1.15312	1.17170	1.14183	1.15945	992768	148915200000	25
2020.03.26	1.15875	1.17606	1.15022	1.17151	1004362	150654300000	25
2020.03.27	1.17151	1.18989	1.16694	1.18505	955290	143293500000	25
2020.03.30	1.18321	1.19299	1.17747	1.18844	706380	105957000000	25
2020.03.31	1.18844	1.20299	1.17745	1.19217	798336	119750400000	25
2020.04.01	1.19351	1.20370	1.18726	1.19473	673765	101064750000	25
2020.04.02	1.19473	1.20862	1.19303	1.20632	672827	100924050000	25
2020.04.03	1.20632	1.20779	1.19438	1.19860	635755	95363250000	25
2020.04.06	1.19429	1.20478	1.19244	1.19684	655169	98275350000	25
2020.04.07	1.19684	1.20176	1.19088	1.19582	681819	102272850000	25
2020.04.08	1.19582	1.20621	1.19339	1.20253	574247	86137050000	25
2020.04.09	1.20248	1.20913	1.20169	1.20273	652765	97914750000	29
2020.04.10	1.20273	1.20575	1.20065	1.20065	319753	47962950000	29
2020.04.13	1.20232	1.21174	1.20063	1.20911	399147	59872050000	29
2020.04.14	1.20845	1.21420	1.20659	1.21247	540107	81016050000	29
2020.04.15	1.21257	1.21257	1.20430	1.20651	553458	83018700000	29
2020.04.16	1.20639	1.20889	1.20380	1.20828	580053	87007950000	29
2020.04.17	1.20828	1.21171	1.20584	1.20884	569547	85432050000	29
2020.04.20	1.20842	1.20924	1.20275	1.20329	491072	73660800000	29
2020.04.21	1.20329	1.20504	1.18683	1.19035	614829	92224350000	29
2020.04.22	1.18996	1.19851	1.18996	1.19805	499316	74897400000	29
2020.04.23	1.19805	1.20677	1.19628	1.20443	591068	88660200000	29
2020.04.24	1.20431	1.20710	1.20056	1.20296	527400	79110000000	29
2020.04.27	1.20155	1.21258	1.20155	1.21202	500637	75095550000	0
2020.04.28	1.21188	1.22035	1.21020	1.21115	531258	79688700000	29
2020.04.29	1.21102	1.21539	1.20697	1.21339	520141	78021150000	29
2020.04.30	1.21318	1.22012	1.21042	1.21506	580631	87094650000	29
2020.05.01	1.21506	1.21737	1.19990	1.20094	492532	73879800000	29
2020.05.04	1.19889	1.20230	1.19623	1.20005	493531	74029650000	29
