<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	143.585	143.932	142.259	142.610	609733	91459950000	25
2020.01.03	142.610	142.770	140.989	141.422	873987	131098050000	23
2020.01.06	141.119	142.775	140.821	142.686	843548	126532200000	25
2020.01.07	142.690	143.283	142.007	142.261	843614	126542100000	25
2020.01.08	142.262	143.095	141.110	142.865	1062099	159314850000	25
2020.01.09	142.844	143.443	142.411	143.095	1606591	240988650000	25
2020.01.10	143.095	143.483	142.878	142.974	2245382	336807300000	23
2020.01.13	142.764	142.957	142.352	142.792	823632	123544800000	25
2020.01.14	142.793	143.423	142.439	143.185	843318	126497700000	25
2020.01.15	143.185	143.376	142.645	143.266	757067	113560050000	25
2020.01.16	143.266	144.128	143.214	144.052	797876	119681400000	25
2020.01.17	144.054	144.518	143.250	143.282	760904	114135600000	23
2020.01.20	142.993	143.352	142.791	143.311	658333	98749950000	25
2020.01.21	143.311	143.961	142.852	143.322	843440	126516000000	25
2020.01.22	143.322	144.599	143.257	144.316	865656	129848400000	25
2020.01.23	144.316	144.405	143.197	143.682	883687	132553050000	25
2020.01.24	143.681	144.391	142.706	142.862	843396	126509400000	23
2020.01.27	142.452	142.737	142.041	142.174	876971	131545650000	25
2020.01.28	142.174	142.444	141.467	142.175	1640213	246031950000	25
2020.01.29	142.175	142.340	141.698	141.900	2299439	344915850000	25
2020.01.30	141.829	142.698	141.246	142.653	3908439	586265850000	25
2020.01.31	142.658	143.275	142.449	143.074	3781894	567284100000	23
2020.02.03	142.833	143.095	141.060	141.196	931151	139672650000	25
2020.02.04	141.196	142.832	140.912	142.690	1803285	270492750000	25
2020.02.05	142.689	143.365	142.212	142.764	2598971	389845650000	25
2020.02.06	142.764	142.810	142.082	142.192	3271095	490664250000	25
2020.02.07	142.157	142.364	141.386	141.393	4002494	600374100000	23
2020.02.10	141.326	142.080	141.226	141.762	838390	125758500000	25
2020.02.11	141.762	142.450	141.675	142.181	801477	120221550000	25
2020.02.12	142.180	142.878	142.107	142.642	796799	119519850000	25
2020.02.13	142.642	143.467	142.135	143.205	934389	140158350000	25
2020.02.14	143.205	143.394	142.755	143.214	1512893	226933950000	23
2020.02.17	143.128	143.357	142.832	142.872	759300	113895000000	25
2020.02.18	142.872	143.220	142.305	142.783	891436	133715400000	25
2020.02.19	142.783	144.157	142.765	143.843	873031	130954650000	25
2020.02.20	143.836	144.593	143.587	144.383	796271	119440650000	25
2020.02.21	144.382	144.948	143.708	144.575	839067	125860050000	23
2020.02.24	144.007	144.614	142.620	143.075	1064894	159734100000	25
2020.02.25	143.075	143.635	142.940	143.290	1169094	175364100000	25
2020.02.26	143.290	143.712	142.223	142.360	1146395	171959250000	25
2020.02.27	142.360	142.539	141.161	141.185	1114166	167124900000	25
2020.02.28	141.180	141.401	137.516	138.497	1246940	187041000000	23
2020.03.02	137.158	139.175	137.093	138.114	1134343	170151450000	25
2020.03.03	138.114	138.557	136.926	137.154	1037215	155582250000	25
2020.03.04	137.154	138.425	137.026	138.375	1012975	151946250000	25
2020.03.05	138.375	138.672	137.363	137.394	1032300	154845000000	25
