<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.32087	1.32298	1.31145	1.31377	565358	84803700000	17
2020.01.03	1.31377	1.31594	1.30526	1.30811	700681	105102150000	14
2020.01.06	1.30843	1.31738	1.30630	1.31674	568802	85320300000	17
2020.01.07	1.31678	1.32116	1.30942	1.31196	590298	88544700000	17
2020.01.08	1.31196	1.31690	1.30796	1.30943	743182	111477300000	17
2020.01.09	1.30943	1.31229	1.30123	1.30653	1107916	166187400000	17
2020.01.10	1.30653	1.30960	1.30417	1.30586	1658800	248820000000	14
2020.01.13	1.30337	1.30444	1.29602	1.29879	584385	87657750000	17
2020.01.14	1.29879	1.30325	1.29535	1.30181	636648	95497200000	17
2020.01.15	1.30181	1.30418	1.29841	1.30368	608044	91206600000	17
2020.01.16	1.30369	1.30821	1.30247	1.30774	601186	90177900000	17
2020.01.17	1.30777	1.31178	1.30057	1.30106	573865	86079750000	14
2020.01.20	1.29897	1.30131	1.29613	1.30065	470814	70622100000	17
2020.01.21	1.30065	1.30827	1.29943	1.30461	581259	87188850000	17
2020.01.22	1.30460	1.31521	1.30340	1.31392	649442	97416300000	17
2020.01.23	1.31392	1.31501	1.30962	1.31228	620558	93083700000	17
2020.01.24	1.31236	1.31741	1.30561	1.30734	594051	89107650000	14
2020.01.27	1.30792	1.31044	1.30392	1.30566	531003	79650450000	17
2020.01.28	1.30566	1.30643	1.29744	1.30265	1140397	171059550000	17
2020.01.29	1.30265	1.30279	1.29886	1.30171	1508857	226328550000	16
2020.01.30	1.30112	1.31092	1.29770	1.30944	2421835	363275250000	17
2020.01.31	1.30948	1.32090	1.30808	1.32029	2481684	372252600000	14
2020.02.03	1.31761	1.31835	1.29820	1.29922	631245	94686750000	17
2020.02.04	1.29922	1.30458	1.29403	1.30287	1287473	193120950000	17
2020.02.05	1.30287	1.30692	1.29555	1.29999	1828210	274231500000	17
2020.02.06	1.29999	1.30005	1.29203	1.29277	2302787	345418050000	17
2020.02.07	1.29250	1.29584	1.28806	1.28806	3171794	475769100000	14
2020.02.10	1.28922	1.29454	1.28713	1.29136	597414	89612100000	17
2020.02.11	1.29136	1.29672	1.28938	1.29514	644708	96706200000	17
2020.02.12	1.29514	1.29906	1.29460	1.29573	616225	92433750000	17
2020.02.13	1.29581	1.30686	1.29433	1.30408	656123	98418450000	17
2020.02.14	1.30413	1.30625	1.30003	1.30468	1116141	167421150000	14
2020.02.17	1.30338	1.30532	1.29974	1.30035	473126	70968900000	17
2020.02.18	1.30035	1.30480	1.29700	1.29956	599531	89929650000	17
2020.02.19	1.29956	1.30225	1.29068	1.29174	607410	91111500000	17
2020.02.20	1.29174	1.29279	1.28484	1.28799	632857	94928550000	17
2020.02.21	1.28795	1.29801	1.28752	1.29567	628290	94243500000	14
2020.02.24	1.29442	1.29540	1.28858	1.29235	671584	100737600000	17
2020.02.25	1.29235	1.30172	1.29134	1.30041	731829	109774350000	17
2020.02.26	1.30041	1.30074	1.28953	1.28996	741065	111159750000	17
2020.02.27	1.28996	1.29458	1.28595	1.28838	823237	123485550000	17
2020.02.28	1.28838	1.29190	1.27252	1.28157	907784	136167600000	14
2020.03.02	1.27722	1.28500	1.27389	1.27518	849092	127363800000	17
2020.03.03	1.27518	1.28432	1.27402	1.28107	794231	119134650000	17
2020.03.04	1.28103	1.28717	1.27694	1.28703	649070	97360500000	17
2020.03.05	1.28703	1.29676	1.28600	1.29527	630350	94552500000	17
2020.03.06	1.29527	1.30518	1.29461	1.30475	816426	122463900000	14
2020.03.09	1.30779	1.31994	1.30337	1.30866	985898	147884700000	17
2020.03.10	1.30866	1.31155	1.28643	1.28826	965282	144792300000	17
2020.03.11	1.28826	1.29759	1.28039	1.28184	825064	123759600000	17
2020.03.12	1.28184	1.28482	1.24902	1.25747	940999	141149850000	17
2020.03.13	1.25747	1.26236	1.22600	1.22767	1033042	154956300000	14
2020.03.16	1.24063	1.24219	1.22014	1.22680	1079006	161850900000	17
2020.03.17	1.22680	1.22726	1.20013	1.20563	1105603	165840450000	17
2020.03.18	1.20563	1.21289	1.14479	1.15794	1084108	162616200000	17
2020.03.19	1.15794	1.17921	1.14251	1.14647	1071271	160690650000	17
2020.03.20	1.14647	1.19329	1.14091	1.16516	1016195	152429250000	14
2020.03.23	1.16753	1.17138	1.14457	1.15348	1027942	154191300000	17
2020.03.24	1.15325	1.17991	1.14768	1.17471	1010525	151578750000	17
2020.03.25	1.17466	1.19725	1.16377	1.18824	917567	137635050000	17
2020.03.26	1.18815	1.22289	1.17746	1.21529	949584	142437600000	17
2020.03.27	1.21529	1.24845	1.21308	1.24552	978792	146818800000	14
2020.03.30	1.24128	1.24665	1.23162	1.24048	764372	114655800000	17
2020.03.31	1.24048	1.24721	1.22407	1.24066	814132	122119800000	17
2020.04.01	1.24043	1.24421	1.23294	1.23710	712071	106810650000	17
2020.04.02	1.23723	1.24743	1.23474	1.23947	755533	113329950000	20
2020.04.03	1.23947	1.24034	1.22039	1.22693	765212	114781800000	14
2020.04.06	1.22146	1.23260	1.22090	1.22304	716688	107503200000	20
2020.04.07	1.22304	1.23836	1.21644	1.23311	772082	115812300000	20
2020.04.08	1.23311	1.24189	1.22874	1.23773	673023	100953450000	17
2020.04.09	1.23773	1.24828	1.23597	1.24529	762198	114329700000	20
2020.04.10	1.24529	1.24858	1.24310	1.24523	304725	45708750000	14
2020.04.13	1.24535	1.25359	1.24476	1.25053	401554	60233100000	20
2020.04.14	1.25050	1.26468	1.24959	1.26172	543524	81528600000	20
2020.04.15	1.26134	1.26299	1.24354	1.25114	576015	86402250000	20
2020.04.16	1.25114	1.25260	1.24072	1.24554	604911	90736650000	20
2020.04.17	1.24548	1.25216	1.24059	1.25030	583584	87537600000	14
2020.04.20	1.24865	1.24983	1.24156	1.24289	482463	72369450000	20
2020.04.21	1.24387	1.24433	1.22462	1.22707	618491	92773650000	20
2020.04.22	1.22705	1.23849	1.22705	1.23319	539194	80879100000	20
2020.04.23	1.23308	1.24139	1.23069	1.23432	571442	85716300000	20
2020.04.24	1.23432	1.23762	1.22974	1.23723	526959	79043850000	14
2020.04.27	1.23531	1.24539	1.23531	1.24282	494464	74169600000	20
2020.04.28	1.24259	1.25173	1.24028	1.24229	533070	79960500000	20
2020.04.29	1.24229	1.24845	1.23881	1.24691	566862	85029300000	20
2020.04.30	1.24691	1.26423	1.24286	1.25900	603678	90551700000	20
2020.05.01	1.25891	1.25998	1.24820	1.25033	526007	78901050000	14
2020.05.04	1.24840	1.24860	1.24043	1.24418	489198	73379700000	20
2020.05.05	1.24420	1.24828	1.24195	1.24331	523156	78473400000	20
2020.05.06	1.24331	1.24493	1.23344	1.23390	523645	78546750000	20
2020.05.07	1.23388	1.24172	1.22651	1.23522	571559	85733850000	20
2020.05.08	1.23522	1.24663	1.23467	1.24058	435140	65271000000	14
2020.05.11	1.23944	1.24366	1.22818	1.23318	539617	80942550000	20
2020.05.12	1.23318	1.23767	1.22545	1.22576	618935	92840250000	20
2020.05.13	1.22563	1.23390	1.22092	1.22231	668992	100348800000	20
2020.05.14	1.22231	1.22408	1.21649	1.22228	616705	92505750000	20
2020.05.15	1.22216	1.22379	1.20999	1.21077	606802	91020300000	14
2020.05.18	1.20810	1.22266	1.20752	1.21937	586171	87925650000	20
2020.05.19	1.21932	1.22954	1.21834	1.22502	603267	90490050000	20
2020.05.20	1.22498	1.22867	1.22204	1.22296	556970	83545500000	20
2020.05.21	1.22301	1.22489	1.21848	1.22161	536279	80441850000	20
2020.05.22	1.22161	1.22328	1.21605	1.21728	507823	76173450000	14
2020.05.25	1.21711	1.22028	1.21631	1.21799	385120	57768000000	20
2020.05.26	1.21795	1.23622	1.21745	1.23307	557646	83646900000	20
2020.05.27	1.23307	1.23533	1.22033	1.22578	655254	98288100000	20
2020.05.28	1.22596	1.23438	1.22329	1.23176	650207	97531050000	20
2020.05.29	1.23176	1.23932	1.22894	1.23428	691519	103727850000	14
2020.06.01	1.23149	1.25058	1.23149	1.24874	599651	89947650000	20
2020.06.02	1.24874	1.25749	1.24775	1.25492	661150	99172500000	20
2020.06.03	1.25492	1.26143	1.25437	1.25713	664307	99646050000	20
2020.06.04	1.25712	1.26322	1.24998	1.25932	652280	97842000000	20
2020.06.05	1.25947	1.27306	1.25822	1.26684	640961	96144150000	14
2020.06.08	1.26781	1.27348	1.26272	1.27214	531438	79715700000	20
2020.06.09	1.27214	1.27548	1.26172	1.27264	561005	84150750000	20
2020.06.10	1.27264	1.28122	1.27054	1.27461	650777	97616550000	20
