<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.29861	1.30076	1.29680	1.29773	405889	60883350000	16
2020.01.03	1.29773	1.30068	1.29604	1.30046	575685	86352750000	16
2020.01.06	1.29855	1.29896	1.29594	1.29635	495770	74365500000	16
2020.01.07	1.29635	1.30290	1.29563	1.30033	488215	73232250000	16
2020.01.08	1.30033	1.30425	1.29757	1.30385	662219	99332850000	16
2020.01.09	1.30385	1.31040	1.30256	1.30550	986099	147914850000	16
2020.01.10	1.30550	1.30748	1.30279	1.30503	1408194	211229100000	16
2020.01.13	1.30493	1.30670	1.30310	1.30555	426230	63934500000	16
2020.01.14	1.30555	1.30790	1.30462	1.30601	484200	72630000000	16
2020.01.15	1.30601	1.30774	1.30346	1.30407	469668	70450200000	16
2020.01.16	1.30407	1.30556	1.30317	1.30408	447577	67136550000	16
2020.01.17	1.30408	1.30745	1.30330	1.30649	433168	64975200000	16
2020.01.20	1.30568	1.30718	1.30429	1.30458	298416	44762400000	16
2020.01.21	1.30458	1.30792	1.30424	1.30701	474162	71124300000	16
2020.01.22	1.30701	1.31519	1.30352	1.31347	508166	76224900000	15
2020.01.23	1.31347	1.31709	1.31235	1.31269	514504	77175600000	16
2020.01.24	1.31269	1.31523	1.31172	1.31393	477280	71592000000	16
2020.01.27	1.31493	1.31991	1.31473	1.31934	531094	79664100000	16
2020.01.28	1.31934	1.32051	1.31539	1.31546	946637	141995550000	16
2020.01.29	1.31546	1.32090	1.31546	1.31979	1379146	206871900000	16
2020.01.30	1.31963	1.32259	1.31876	1.32081	2117401	317610150000	15
2020.01.31	1.32031	1.32526	1.31945	1.32361	2024138	303620700000	16
2020.02.03	1.32349	1.33029	1.32313	1.32853	563765	84564750000	16
2020.02.04	1.32853	1.33011	1.32629	1.32759	1087907	163186050000	16
2020.02.05	1.32764	1.33021	1.32622	1.32814	1710575	256586250000	15
2020.02.06	1.32814	1.33085	1.32697	1.32829	2064743	309711450000	16
2020.02.07	1.32832	1.33205	1.32777	1.33065	2770068	415510200000	15
2020.02.10	1.33015	1.33287	1.32877	1.33160	516270	77440500000	16
2020.02.11	1.33158	1.33196	1.32757	1.32852	480244	72036600000	16
2020.02.12	1.32854	1.32952	1.32347	1.32487	485204	72780600000	16
2020.02.13	1.32487	1.32704	1.32396	1.32664	529525	79428750000	15
2020.02.14	1.32661	1.32684	1.32351	1.32492	851442	127716300000	16
2020.02.17	1.32463	1.32509	1.32245	1.32338	280170	42025500000	16
2020.02.18	1.32338	1.32777	1.32291	1.32590	453996	68099400000	16
2020.02.19	1.32590	1.32591	1.32146	1.32196	442473	66370950000	16
2020.02.20	1.32192	1.32681	1.32111	1.32581	538352	80752800000	16
2020.02.21	1.32581	1.32674	1.32015	1.32243	534654	80198100000	16
2020.02.24	1.32510	1.33070	1.32426	1.32926	656710	98506500000	16
2020.02.25	1.32926	1.33050	1.32666	1.32780	682313	102346950000	16
2020.02.26	1.32775	1.33345	1.32709	1.33309	752464	112869600000	16
2020.02.27	1.33309	1.33942	1.33159	1.33872	808789	121318350000	16
2020.02.28	1.33872	1.34638	1.33774	1.34039	980447	147067050000	16
