<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	0.96870	0.97323	0.96808	0.97116	352704	52905600000	16
2020.01.03	0.97116	0.97430	0.96875	0.97241	476882	71532300000	16
2020.01.06	0.97011	0.97160	0.96756	0.96776	434266	65139900000	16
2020.01.07	0.96777	0.97292	0.96760	0.97003	440247	66037050000	16
2020.01.08	0.97003	0.97390	0.96644	0.97381	671293	100693950000	16
2020.01.09	0.97347	0.97472	0.97107	0.97309	865303	129795450000	16
2020.01.10	0.97309	0.97615	0.97193	0.97280	1131119	169667850000	16
2020.01.13	0.97221	0.97361	0.96933	0.97061	362385	54357750000	16
2020.01.14	0.97061	0.97126	0.96648	0.96704	439951	65992650000	16
2020.01.15	0.96699	0.96795	0.96298	0.96403	442547	66382050000	16
2020.01.16	0.96403	0.96517	0.96124	0.96452	413095	61964250000	16
2020.01.17	0.96452	0.96948	0.96403	0.96799	402599	60389850000	16
2020.01.20	0.96731	0.96987	0.96697	0.96811	272808	40921200000	16
2020.01.21	0.96811	0.96894	0.96604	0.96862	438143	65721450000	16
2020.01.22	0.96862	0.97284	0.96771	0.96772	425433	63814950000	16
2020.01.23	0.96772	0.97029	0.96679	0.96902	437016	65552400000	16
2020.01.24	0.96891	0.97174	0.96854	0.97106	397727	59659050000	16
2020.01.27	0.97041	0.97186	0.96812	0.96934	446313	66946950000	16
2020.01.28	0.96934	0.97406	0.96778	0.97297	760766	114114900000	16
2020.01.29	0.97297	0.97657	0.97252	0.97299	1127025	169053750000	19
2020.01.30	0.97299	0.97359	0.96789	0.96934	1906757	286013550000	19
2020.01.31	0.96938	0.97122	0.96283	0.96334	1846762	277014300000	16
2020.02.03	0.96294	0.96709	0.96286	0.96566	489332	73399800000	18
2020.02.04	0.96566	0.97032	0.96533	0.96908	907914	136187100000	18
2020.02.05	0.96905	0.97468	0.96772	0.97338	1366619	204992850000	19
2020.02.06	0.97338	0.97556	0.97300	0.97455	1643253	246487950000	19
2020.02.07	0.97465	0.97802	0.97387	0.97766	2236936	335540400000	15
