<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	108.696	108.859	108.206	108.561	483315	72497250000	13
2020.01.03	108.561	108.624	107.832	108.100	766488	114973200000	13
2020.01.06	107.830	108.500	107.764	108.362	769014	115352100000	13
2020.01.07	108.362	108.623	108.255	108.432	716398	107459700000	13
2020.01.08	108.433	109.239	107.641	109.105	984864	147729600000	13
2020.01.09	109.105	109.576	109.007	109.515	1480458	222068700000	13
2020.01.10	109.515	109.684	109.426	109.464	1943005	291450750000	13
2020.01.13	109.525	109.940	109.498	109.937	552551	82882650000	13
2020.01.14	109.937	110.207	109.847	109.981	682500	102375000000	13
2020.01.15	109.981	110.005	109.783	109.890	667649	100147350000	13
2020.01.16	109.890	110.172	109.848	110.154	620794	93119100000	13
2020.01.17	110.154	110.284	110.041	110.140	602021	90303150000	13
2020.01.20	110.074	110.211	110.074	110.174	443891	66583650000	13
2020.01.21	110.176	110.216	109.755	109.855	747083	112062450000	13
2020.01.22	109.855	110.092	109.825	109.831	737586	110637900000	13
2020.01.23	109.831	109.857	109.260	109.486	774983	116247450000	13
2020.01.24	109.483	109.647	109.166	109.272	725695	108854250000	13
2020.01.27	108.910	109.131	108.725	108.885	886722	133008300000	13
2020.01.28	108.885	109.196	108.750	109.140	1528057	229208550000	13
2020.01.29	109.140	109.259	108.970	109.006	2297623	344643450000	13
2020.01.30	109.006	109.059	108.577	108.946	3781228	567184200000	13
2020.01.31	108.955	109.130	108.302	108.355	3458250	518737500000	13
2020.02.03	108.394	108.792	108.311	108.666	903080	135462000000	13
2020.02.04	108.666	109.539	108.543	109.514	1669755	250463250000	13
2020.02.05	109.515	109.840	109.298	109.810	2498053	374707950000	13
2020.02.06	109.810	109.998	109.744	109.981	3144628	471694200000	13
2020.02.07	109.978	110.017	109.526	109.741	4102300	615345000000	13
2020.02.10	109.683	109.872	109.555	109.767	819050	122857500000	13
2020.02.11	109.766	109.959	109.720	109.782	769682	115452300000	13
2020.02.12	109.781	110.129	109.760	110.082	775624	116343600000	13
2020.02.13	110.082	110.089	109.612	109.809	886449	132967350000	13
2020.02.14	109.809	109.906	109.693	109.768	1509439	226415850000	13
2020.02.17	109.834	109.955	109.713	109.869	526595	78989250000	13
2020.02.18	109.869	109.941	109.651	109.865	836737	125510550000	13
2020.02.19	109.866	111.587	109.847	111.352	779947	116992050000	13
2020.02.20	111.353	112.219	111.106	112.086	920237	138035550000	13
2020.02.21	112.086	112.180	111.466	111.548	958221	143733150000	13
2020.02.24	111.245	111.677	110.326	110.708	1050370	157555500000	13
2020.02.25	110.708	111.035	109.885	110.196	1201159	180173850000	13
2020.02.26	110.196	110.696	110.123	110.411	1244341	186651150000	13
2020.02.27	110.411	110.449	109.561	109.587	1281503	192225450000	13
2020.02.28	109.586	109.675	107.503	108.028	1401025	210153750000	13
2020.03.02	107.404	108.573	107.364	108.304	1310805	196620750000	13
2020.03.03	108.304	108.530	106.926	107.127	1194424	179163600000	13
2020.03.04	107.129	107.686	106.843	107.515	1177643	176646450000	13
2020.03.05	107.515	107.735	105.962	106.148	1128129	169219350000	13
2020.03.06	106.147	106.337	104.987	105.367	1288199	193229850000	13
2020.03.09	104.496	104.503	101.175	102.282	1315049	197257350000	13
2020.03.10	102.282	105.913	102.006	105.265	1375076	206261400000	13
2020.03.11	105.263	105.374	104.090	104.434	1297355	194603250000	13
2020.03.12	104.434	106.096	103.075	104.840	1307484	196122600000	13
2020.03.13	104.839	108.499	104.501	107.868	1296672	194500800000	13
2020.03.16	106.984	107.570	105.139	105.881	1263631	189544650000	13
2020.03.17	105.881	107.857	105.877	107.650	1419741	212961150000	13
2020.03.18	107.650	108.647	106.749	108.055	1385642	207846300000	13
2020.03.19	108.053	110.949	107.984	110.867	1435441	215316150000	13
2020.03.20	110.867	111.499	109.324	110.918	1309028	196354200000	13
2020.03.23	110.763	111.590	109.663	111.212	1343985	201597750000	13
2020.03.24	111.212	111.708	110.078	111.293	1328902	199335300000	13
2020.03.25	111.316	111.674	110.747	111.143	1350705	202605750000	13
2020.03.26	111.143	111.238	109.201	109.413	1287115	193067250000	13
2020.03.27	109.413	109.466	107.751	108.023	1234343	185151450000	13
2020.03.30	107.673	108.290	107.117	107.735	1123741	168561150000	13
2020.03.31	107.735	108.721	107.456	107.521	1129773	169465950000	13
2020.04.01	107.521	107.936	106.914	107.155	1051511	157726650000	13
2020.04.02	107.151	108.089	107.009	107.870	1032882	154932300000	14
2020.04.03	107.870	108.669	107.795	108.530	978431	146764650000	13
2020.04.06	108.338	109.376	108.338	109.204	1051870	157780500000	14
2020.04.07	109.205	109.268	108.665	108.750	1068549	160282350000	14
2020.04.08	108.753	109.096	108.499	108.816	1007839	151175850000	14
2020.04.09	108.816	109.057	108.202	108.427	965778	144866700000	14
2020.04.10	108.427	108.586	108.314	108.452	422516	63377400000	13
2020.04.13	108.331	108.518	107.495	107.759	611175	91676250000	14
2020.04.14	107.748	107.753	106.975	107.202	747537	112130550000	14
2020.04.15	107.199	107.862	106.921	107.408	815906	122385900000	14
2020.04.16	107.408	108.077	107.157	107.907	891217	133682550000	14
2020.04.17	107.907	108.079	107.294	107.539	929315	139397250000	13
2020.04.20	107.413	107.943	107.400	107.604	775936	116390400000	14
2020.04.21	107.600	107.887	107.275	107.757	894871	134230650000	14
2020.04.22	107.757	107.931	107.507	107.735	789639	118445850000	14
2020.04.23	107.735	108.037	107.341	107.546	834607	125191050000	14
2020.04.24	107.541	107.754	107.363	107.520	765039	114755850000	13
2020.04.27	107.518	107.617	106.987	107.206	729175	109376250000	14
2020.04.28	107.176	107.334	106.555	106.859	802410	120361500000	14
2020.04.29	106.857	106.891	106.353	106.607	723893	108583950000	14
2020.04.30	106.600	107.493	106.399	107.130	786151	117922650000	14
2020.05.01	107.118	107.399	106.600	106.893	602373	90355950000	13
2020.05.04	106.703	107.063	106.627	106.674	699712	104956800000	14
2020.05.05	106.674	106.888	106.410	106.471	662181	99327150000	14
2020.05.06	106.468	106.604	105.980	106.068	724721	108708150000	14
2020.05.07	106.068	106.649	105.983	106.248	730794	109619100000	14
2020.05.08	106.240	106.742	106.217	106.648	659860	98979000000	13
2020.05.11	106.500	107.762	106.479	107.601	687864	103179600000	14
2020.05.12	107.594	107.689	107.114	107.115	698452	104767800000	14
2020.05.13	107.115	107.270	106.732	107.014	740610	111091500000	14
2020.05.14	107.014	107.358	106.764	107.234	750380	112557000000	14
2020.05.15	107.234	107.428	106.849	107.065	678128	101719200000	13
2020.05.18	107.074	107.499	107.061	107.290	614890	92233500000	14
2020.05.19	107.288	108.081	107.247	107.695	668730	100309500000	14
2020.05.20	107.688	107.978	107.330	107.484	594250	89137500000	14
2020.05.21	107.382	107.843	107.382	107.598	577420	86613000000	14
2020.05.22	107.598	107.755	107.316	107.618	580916	87137400000	13
2020.05.25	107.544	107.773	107.544	107.655	370288	55543200000	14
2020.05.26	107.649	107.917	107.395	107.504	601965	90294750000	14
2020.05.27	107.504	107.941	107.359	107.730	737845	110676750000	14
2020.05.28	107.730	107.895	107.564	107.614	730980	109647000000	14
2020.05.29	107.614	107.890	107.070	107.828	760690	114103500000	13
2020.06.01	107.624	107.851	107.370	107.580	665726	99858900000	14
2020.06.02	107.578	108.766	107.506	108.659	689365	103404750000	14
2020.06.03	108.659	108.975	108.416	108.892	760744	114111600000	14
2020.06.04	108.892	109.191	108.610	109.134	761353	114202950000	14
2020.06.05	109.135	109.844	109.039	109.586	773933	116089950000	13
2020.06.08	109.547	109.682	108.228	108.419	731822	109773300000	14
2020.06.09	108.419	108.535	107.615	107.743	802306	120345900000	14
2020.06.10	107.744	107.867	106.983	107.110	786122	117918300000	14
2020.06.11	107.110	107.227	106.565	106.857	941829	141274350000	14
2020.06.12	106.859	107.547	106.578	107.381	949235	142385250000	13
2020.06.15	107.293	107.563	106.994	107.328	863216	129482400000	14
2020.06.16	107.328	107.633	107.206	107.310	875367	131305050000	12
2020.06.17	107.310	107.437	106.947	106.997	744470	111670500000	12
2020.06.18	106.997	107.123	106.662	106.970	821767	123265050000	12
2020.06.19	106.967	107.052	106.762	106.861	718152	107722800000	12
2020.06.22	106.754	107.005	106.740	106.898	731528	109729200000	12
2020.06.23	106.900	107.215	106.064	106.512	793887	119071650000	12
2020.06.24	106.512	107.066	106.379	107.035	855939	128390850000	12
2020.06.25	107.035	107.447	106.804	107.187	800195	120029250000	12
2020.06.26	107.185	107.351	106.792	107.210	736496	110474400000	12
2020.06.29	107.065	107.878	107.035	107.570	680333	102049950000	12
2020.06.30	107.567	107.978	107.516	107.918	682904	102435600000	12
2020.07.01	107.919	108.158	107.351	107.461	651761	97764150000	12
2020.07.02	107.461	107.718	107.326	107.493	586877	88031550000	12
