<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.29	5033.13	5082.50	4928.05	4928.26	58487	0	0
2015.09.30	4924.08	5021.62	4923.56	5009.12	37687	0	0
2015.10.01	5026.75	5116.35	5026.75	5110.75	29891	0	0
2015.10.02	5102.42	5118.45	5042.14	5054.45	41510	0	0
2015.10.05	5070.75	5153.35	5068.75	5148.75	25976	0	0
2015.10.06	5212.30	5219.38	5164.75	5166.20	25349	0	0
2015.10.07	5190.64	5194.80	5135.68	5186.81	26716	0	0
2015.10.08	5248.30	5255.41	5205.71	5211.60	20357	0	0
2015.10.09	5270.20	5283.50	5245.65	5273.70	19909	0	0
2015.10.12	5266.95	5269.58	5224.68	5226.98	21258	0	0
2015.10.13	5205.51	5226.68	5172.68	5202.71	28041	0	0
2015.10.14	5175.68	5199.58	5163.45	5193.61	18908	0	0
2015.10.15	5202.77	5238.27	5202.35	5228.80	22927	0	0
2015.10.16	5258.01	5293.68	5255.28	5267.80	21722	0	0
2015.10.19	5282.60	5293.25	5254.40	5265.08	25240	0	0
2015.10.20	5235.64	5262.21	5228.08	5237.80	20076	0	0
2015.10.21	5211.38	5259.50	5194.90	5245.88	22931	0	0
2015.10.22	5230.98	5264.21	5216.98	5262.91	22982	0	0
2015.10.23	5354.48	5374.00	5344.88	5348.50	22074	0	0
2015.10.26	5369.81	5377.78	5345.75	5347.50	15056	0	0
2015.10.27	5347.28	5355.30	5339.18	5345.45	13076	0	0
2015.10.28	5327.75	5354.31	5326.35	5334.58	15381	0	0
2015.10.29	5326.48	5328.21	5256.35	5266.41	17151	0	0
2015.10.30	5219.90	5262.95	5212.55	5238.64	22617	0	0
2015.11.02	5206.77	5210.71	5161.95	5165.18	20069	0	0
2015.11.03	5243.51	5245.70	5214.35	5238.58	22996	0	0
2015.11.04	5288.70	5293.35	5234.85	5241.68	20769	0	0
2015.11.05	5184.08	5198.77	5166.88	5192.38	20118	0	0
2015.11.06	5171.27	5216.10	5152.30	5214.25	19865	0	0
2015.11.10	5070.48	5098.70	5046.50	5098.70	22755	0	0
2015.11.11	5121.08	5130.30	5102.10	5121.85	18338	0	0
2015.11.12	5101.27	5149.35	5088.05	5125.21	19887	0	0
2015.11.13	5024.25	5067.64	5018.25	5050.80	21083	0	0
2015.11.16	5016.00	5021.00	5006.00	5011.00	631	0	400
2015.11.17	5115.00	5130.00	5089.00	5097.00	3048	0	400
2015.11.18	5125.00	5183.00	5116.00	5181.00	2704	0	400
2015.11.19	5244.00	5279.00	5241.00	5251.00	2268	0	400
2015.11.20	5260.00	5289.00	5250.00	5254.00	2465	0	400
2015.11.23	5274.00	5292.00	5250.00	5255.00	3158	0	400
2015.11.24	5243.00	5258.00	5198.00	5245.00	4349	0	400
2015.11.25	5198.00	5220.00	5179.00	5188.00	2862	0	400
2015.11.26	5249.00	5252.00	5202.00	5236.00	2897	0	400
2015.11.27	5226.00	5239.00	5171.00	5195.00	3564	0	400
2015.11.30	5165.00	5200.00	5158.00	5181.50	3757	0	10
2015.12.01	5249.20	5279.50	5199.00	5259.75	4332	0	1
2015.12.02	5246.51	5277.50	5208.25	5218.75	3364	0	1
2015.12.03	5223.50	5261.51	5146.25	5160.51	5452	0	1
2015.12.04	5127.51	5191.51	5115.25	5185.50	4949	0	1
2015.12.07	5186.50	5189.51	5120.25	5132.75	5128	0	1
2015.12.08	5121.25	5140.25	5057.75	5081.50	5207	0	1
2015.12.09	5110.50	5112.51	5029.75	5056.51	6087	0	1
2015.12.10	5029.00	5050.51	4991.25	5028.50	5467	0	1
2015.12.11	5051.51	5053.50	4934.25	4947.50	6489	0	1
2015.12.14	4958.50	4978.50	4865.25	4923.75	7898	0	100
2015.12.15	4947.75	4967.51	4894.25	4956.50	4731	0	1
2015.12.16	4988.75	5078.51	4985.25	5074.25	5341	0	1
2015.12.17	5103.51	5142.51	5050.25	5052.75	5982	0	1
2015.12.18	5061.50	5134.75	5058.25	5074.25	6886	0	1
2015.12.21	5110.50	5157.50	5107.25	5132.25	7789	0	0
2015.12.22	5124.75	5140.50	5087.25	5132.75	4390	0	1
2015.12.23	5159.25	5219.51	5135.25	5216.50	3714	0	1
2015.12.24	5201.75	5218.51	5188.25	5200.50	984	0	100
2015.12.28	5204.51	5207.50	5170.25	5195.25	2954	0	100
2015.12.29	5234.75	5325.50	5229.25	5311.51	3090	0	100
2015.12.30	5313.25	5354.50	5301.50	5306.50	2857	0	1
2015.12.31	5318.25	5325.25	5303.25	5308.25	607	0	100
2016.01.04	5275.51	5275.51	5221.25	5259.75	5276	0	1
2016.01.05	5209.25	5230.50	5151.25	5196.25	6161	0	1
2016.01.06	5140.25	5144.51	5082.25	5108.50	6656	0	1
2016.01.07	5075.50	5082.50	4921.50	4935.50	8386	0	500
2016.01.08	4964.50	5028.50	4883.50	4894.50	9123	0	500
2016.01.11	4882.50	4944.50	4869.50	4922.50	8043	0	500
2016.01.12	4970.50	4971.50	4894.50	4952.50	9680	0	500
2016.01.13	4952.50	4985.50	4862.50	4883.50	8853	0	500
2016.01.14	4901.50	4999.50	4876.50	4967.50	9800	0	500
2016.01.15	4925.50	4934.50	4755.50	4793.50	11719	0	500
2016.01.18	4841.50	4867.50	4813.50	4834.50	7797	0	500
2016.01.19	4861.50	4948.50	4838.50	4872.50	10460	0	500
2016.01.20	4908.50	4910.50	4764.50	4863.50	13185	0	500
2016.01.21	4900.50	4928.50	4831.50	4896.50	13674	0	500
2016.01.22	4912.50	4991.50	4893.50	4981.50	9598	0	500
2016.01.25	4962.50	5003.50	4937.50	4943.50	7976	0	500
2016.01.27	4979.50	5001.50	4910.50	4929.50	8819	0	500
2016.01.28	4937.00	5021.50	4932.50	4982.50	10305	0	500
2016.01.29	4952.50	5055.50	4939.50	5052.50	9341	0	500
2016.02.01	5040.50	5067.50	5000.50	5045.50	7268	0	500
2016.02.02	5009.50	5018.50	4902.50	4919.50	7264	0	500
2016.02.03	4911.50	4916.50	4821.50	4905.50	10442	0	500
2016.02.04	4919.50	4997.50	4917.50	4966.50	9772	0	500
2016.02.05	4937.50	4979.50	4900.50	4913.50	8926	0	500
2016.02.08	4953.50	4983.50	4868.50	4909.50	8745	0	500
2016.02.09	4788.50	4852.50	4783.50	4827.50	9642	0	0
