<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.06	3545.90	3570.00	3530.10	3558.95	29822	2601000	120
2017.12.07	3568.95	3580.75	3557.55	3579.75	29000	4268550	120
2017.12.08	3591.90	3612.55	3588.95	3596.25	23106	3382200	120
2017.12.11	3601.80	3604.25	3578.15	3591.25	19634	2878950	120
2017.12.12	3587.70	3599.55	3567.75	3594.15	21277	3109200	100
2017.12.13	3589.55	3602.35	3567.15	3569.15	19257	2803800	120
2017.12.14	3570.85	3581.15	3544.15	3547.85	16347	2397150	90
2017.12.15	3551.40	3571.70	3541.10	3567.65	20806	3058950	120
2017.12.18	3585.05	3613.65	3579.55	3604.75	17616	2590650	80
2017.12.19	3604.95	3613.05	3577.85	3581.55	13607	1980150	120
2017.12.20	3587.05	3588.05	3543.75	3548.55	21509	3150600	120
2017.12.21	3546.55	3574.05	3532.65	3556.35	15198	2212200	120
2017.12.22	3555.90	3564.45	3546.65	3559.25	13485	1971150	120
2017.12.27	3550.55	3568.55	3540.15	3545.90	16827	2472300	120
2017.12.28	3547.30	3549.00	3517.40	3526.05	11058	1612950	120
2017.12.29	3527.95	3528.95	3493.95	3495.95	12805	1868250	120
2018.01.02	3512.70	3515.70	3469.00	3491.15	18108	2650200	120
2018.01.03	3491.85	3520.00	3486.65	3520.00	14916	2172750	120
2018.01.04	3519.90	3581.50	3519.90	3567.85	13831	1995450	120
2018.01.05	3567.00	3612.60	3567.00	3608.60	15455	2214750	110
2018.01.08	3612.60	3623.40	3608.00	3616.95	15949	2297250	110
2018.01.09	3613.30	3629.40	3611.80	3626.40	14794	2106150	110
2018.01.10	3616.75	3624.85	3597.45	3605.20	18519	2667900	110
2018.01.11	3611.60	3616.65	3585.45	3603.75	15943	2273700	110
2018.01.12	3604.60	3615.30	3596.60	3609.55	16629	2366250	110
2018.01.15	3611.40	3621.60	3602.10	3607.75	11212	1572300	120
2018.01.16	3615.50	3638.05	3591.65	3596.45	22743	3240300	120
2018.01.17	3605.15	3630.85	3602.70	3624.45	17694	2504850	120
2018.01.18	3622.00	3629.15	3605.15	3622.05	21754	3114300	120
2018.01.19	3618.10	3657.85	3614.45	3657.85	18820	2679600	120
2018.01.22	3652.40	3677.50	3643.35	3673.45	15400	2190600	120
2018.01.23	3684.40	3688.30	3661.80	3671.95	16766	2376900	120
2018.01.24	3670.60	3673.05	3631.65	3646.35	24646	3517050	110
2018.01.25	3642.35	3659.20	3612.10	3634.15	29052	4182750	110
2018.01.26	3637.15	3664.05	3629.85	3663.95	17564	2488350	110
2018.01.29	3656.95	3657.05	3635.15	3641.65	19153	2771400	120
2018.01.30	3626.05	3633.35	3600.65	3605.95	27415	3976050	120
2018.01.31	3613.35	3621.55	3601.25	3608.35	18253	2623050	120
2018.02.01	3621.75	3635.75	3566.75	3574.25	26895	3888150	120
2018.02.02	3579.25	3579.30	3493.25	3499.95	35987	5207250	110
2018.02.05	3488.70	3507.65	3354.50	3374.15	47012	6796200	100
