<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	6024.00	6102.12	5901.77	5917.37	29408	0	0
2000.01.04	5925.07	5925.07	5657.20	5672.02	28270	0	0
2000.01.05	5521.83	5589.50	5461.59	5479.70	21370	0	0
2000.01.06	5486.44	5530.26	5388.85	5450.11	24650	0	0
2000.01.07	5425.41	5561.69	5423.88	5539.61	16143	0	0
2000.01.10	5624.17	5717.44	5616.98	5646.12	17898	0	0
2000.01.11	5690.84	5726.51	5571.99	5613.90	23211	0	0
2000.01.12	5542.87	5628.73	5536.50	5582.50	14484	0	0
2000.01.13	5588.93	5682.27	5579.49	5633.24	16126	0	0
2000.01.14	5670.40	5804.16	5664.71	5787.44	16187	0	0
2000.01.17	5843.80	5857.36	5740.19	5842.78	23333	0	0
2000.01.18	5857.77	5859.44	5670.27	5672.95	19353	0	0
2000.01.19	5663.84	5668.06	5590.19	5649.46	14137	0	0
2000.01.20	5709.24	5727.82	5660.25	5709.74	13465	0	0
2000.01.21	5662.26	5738.16	5630.63	5681.32	19601	0	0
2000.01.24	5690.60	5777.68	5680.60	5690.86	19391	0	0
2000.01.25	5597.95	5654.52	5590.17	5597.50	12826	0	0
2000.01.26	5640.61	5687.43	5618.96	5646.32	13124	0	0
2000.01.27	5691.32	5727.53	5625.23	5688.35	20164	0	0
2000.01.28	5741.94	5813.28	5696.09	5731.05	22350	0	0
2000.01.31	5675.98	5707.88	5625.72	5659.81	14816	0	0
2000.02.01	5705.32	5798.47	5700.87	5773.42	12711	0	0
2000.02.02	5814.06	5956.14	5811.36	5946.86	15677	0	0
2000.02.03	6020.30	6149.67	5979.06	6149.67	21186	0	0
2000.02.04	6195.12	6312.42	6192.86	6275.72	15853	0	0
2000.02.07	6289.96	6336.68	6203.58	6203.58	17983	0	0
2000.02.08	6253.12	6396.39	6232.95	6297.66	28235	0	0
2000.02.09	6390.89	6396.97	6240.07	6271.60	19452	0	0
2000.02.10	6212.42	6250.72	6168.66	6207.52	15923	0	0
2000.02.11	6258.58	6324.06	6148.47	6287.01	32276	0	0
2000.02.14	6241.91	6270.60	6191.76	6268.32	13128	0	0
2000.02.15	6288.80	6330.01	6076.86	6092.63	31014	0	0
2000.02.16	6163.64	6178.07	5997.77	6046.27	24324	0	0
2000.02.17	6040.00	6222.87	6027.22	6154.96	27635	0	0
2000.02.18	6161.57	6184.00	6044.22	6062.72	18072	0	0
2000.02.21	5978.63	5994.04	5928.04	5967.28	12066	0	0
2000.02.22	5979.66	6066.11	5920.61	5963.31	27466	0	0
2000.02.23	6039.56	6064.21	5992.02	6031.25	13608	0	0
2000.02.24	6106.49	6177.59	6069.51	6078.78	18846	0	0
2000.02.25	6170.53	6202.53	6122.71	6188.64	14154	0	0
2000.02.28	6177.15	6229.60	6031.69	6102.73	32141	0	0
2000.02.29	6169.57	6264.25	6146.85	6190.96	21342	0	0
2000.03.01	6261.01	6283.60	6184.51	6256.32	19350	0	0
2000.03.02	6323.82	6479.43	6276.34	6477.55	25246	0	0
2000.03.03	6453.51	6555.87	6432.74	6514.11	18567	0	0
2000.03.06	6554.95	6590.35	6529.37	6545.98	11300	0	0
2000.03.07	6509.11	6589.18	6437.04	6441.85	23703	0	0
2000.03.08	6365.67	6439.06	6333.46	6344.97	19051	0	0
2000.03.09	6410.71	6447.73	6359.41	6423.43	16393	0	0
2000.03.10	6541.44	6561.34	6465.05	6510.28	16143	0	0
2000.03.13	6483.81	6483.81	6254.38	6336.93	31199	0	0
2000.03.14	6333.65	6376.81	6271.59	6350.35	19375	0	0
2000.03.15	6234.67	6249.66	6144.07	6188.94	16546	0	0
2000.03.16	6216.97	6335.90	6216.97	6258.53	19631	0	0
2000.03.17	6440.38	6447.17	6281.77	6304.28	19471	0	0
2000.03.20	6328.97	6417.63	6319.48	6352.51	17277	0	0
2000.03.21	6324.68	6334.62	6253.72	6320.87	15800	0	0
2000.03.22	6403.85	6460.81	6270.44	6279.29	25619	0	0
2000.03.23	6313.59	6337.32	6176.62	6268.31	27613	0	0
2000.03.24	6344.13	6367.57	6283.39	6364.26	14824	0	0
2000.03.27	6423.55	6459.63	6369.01	6450.85	15395	0	0
2000.03.28	6427.68	6584.37	6424.46	6524.30	22321	0	0
2000.03.29	6496.54	6567.95	6486.55	6505.48	15387	0	0
2000.03.30	6454.90	6454.90	6289.98	6313.82	18877	0	0
2000.03.31	6235.82	6359.51	6166.82	6286.05	33516	0	0
2000.04.03	6370.83	6374.22	6083.08	6130.27	34173	0	0
2000.04.04	6139.74	6250.09	6138.00	6221.94	14199	0	0
2000.04.05	6157.02	6216.13	5913.71	6036.94	48477	0	0
2000.04.06	6148.74	6243.42	6093.30	6224.02	22497	0	0
2000.04.07	6307.96	6347.75	6207.76	6308.04	27991	0	0
2000.04.10	6390.86	6429.51	6350.78	6364.90	13151	0	0
2000.04.11	6258.83	6316.80	6201.51	6261.42	22800	0	0
2000.04.12	6303.85	6325.77	6190.96	6238.70	20448	0	0
2000.04.13	6109.16	6286.97	6072.89	6264.34	27299	0	0
2000.04.14	6225.59	6254.45	6050.19	6065.71	24865	0	0
2000.04.17	5752.44	6083.23	5752.44	6060.54	35349	0	0
2000.04.18	6164.04	6175.66	5986.14	6147.44	36245	0	0
2000.04.19	6213.37	6237.97	6120.08	6166.46	18888	0	0
2000.04.20	6163.42	6258.77	6163.42	6234.51	11962	0	0
2000.04.25	6219.41	6325.04	6162.09	6320.29	22503	0	0
2000.04.26	6393.77	6461.52	6380.82	6390.87	15851	0	0
2000.04.27	6397.18	6403.19	6184.71	6247.86	28765	0	0
2000.04.28	6373.42	6456.62	6306.13	6419.72	25469	0	0
2000.05.02	6490.00	6565.56	6478.47	6562.41	10178	0	0
2000.05.03	6496.43	6543.72	6419.56	6435.65	18755	0	0
2000.05.04	6452.20	6520.30	6399.99	6491.74	20109	0	0
2000.05.05	6510.61	6575.17	6429.98	6545.76	25524	0	0
2000.05.08	6563.69	6591.44	6475.92	6514.42	18178	0	0
2000.05.09	6475.91	6507.25	6352.92	6369.61	20237	0	0
2000.05.10	6366.37	6434.08	6255.52	6263.34	25410	0	0
2000.05.11	6203.38	6389.00	6162.25	6380.13	27676	0	0
2000.05.12	6420.51	6482.03	6375.27	6449.27	18477	0	0
2000.05.15	6430.09	6465.78	6392.27	6392.27	10921	0	0
2000.05.16	6467.85	6571.65	6454.26	6557.39	14525	0	0
2000.05.17	6535.15	6539.40	6432.94	6453.05	13083	0	0
2000.05.18	6424.83	6496.00	6418.22	6451.97	12843	0	0
2000.05.19	6425.40	6428.22	6186.76	6196.05	25358	0	0
2000.05.22	6189.25	6249.18	6029.81	6094.17	34367	0	0
2000.05.23	6162.40	6206.44	6084.20	6148.56	23065	0	0
2000.05.24	6005.37	6082.63	6003.90	6027.10	13574	0	0
2000.05.25	6136.65	6179.53	6109.11	6129.66	13386	0	0
2000.05.26	6052.45	6166.45	6017.79	6129.15	22063	0	0
2000.05.29	6183.11	6237.02	6181.83	6205.13	8837	0	0
2000.05.30	6245.26	6335.69	6200.74	6325.49	18968	0	0
2000.05.31	6381.61	6443.68	6337.31	6426.26	16810	0	0
2000.06.01	6427.35	6603.24	6427.35	6599.71	17943	0	0
2000.06.02	6570.11	6780.66	6556.15	6673.52	34562	0	0
2000.06.05	6680.36	6684.08	6595.08	6656.26	15391	0	0
2000.06.06	6648.86	6697.31	6571.58	6589.77	19238	0	0
2000.06.07	6553.06	6561.61	6456.56	6498.50	15555	0	0
2000.06.08	6525.68	6602.95	6462.40	6523.66	27909	0	0
2000.06.09	6519.57	6589.85	6505.58	6549.05	13907	0	0
2000.06.13	6502.96	6596.67	6466.04	6532.84	23139	0	0
2000.06.14	6571.25	6629.89	6499.51	6608.10	22392	0	0
2000.06.15	6598.29	6622.23	6506.11	6512.98	14694	0	0
2000.06.16	6578.84	6644.17	6456.26	6456.26	25325	0	0
2000.06.19	6441.51	6522.01	6436.20	6505.16	10798	0	0
2000.06.20	6569.02	6589.75	6535.68	6554.92	9405	0	0
2000.06.21	6539.17	6573.49	6460.86	6490.76	17686	0	0
2000.06.22	6514.25	6549.20	6457.93	6474.88	14318	0	0
2000.06.23	6433.17	6549.12	6417.89	6545.35	15029	0	0
2000.06.26	6550.54	6611.33	6524.98	6586.26	13699	0	0
2000.06.27	6631.16	6634.61	6515.73	6568.09	17470	0	0
2000.06.28	6552.67	6613.04	6510.18	6607.96	15044	0	0
2000.06.29	6614.22	6631.02	6400.82	6400.82	24701	0	0
2000.06.30	6434.90	6496.50	6391.64	6446.54	19809	0	0
2000.07.03	6462.03	6508.47	6413.63	6508.47	14325	0	0
2000.07.04	6501.42	6504.15	6459.29	6494.77	8308	0	0
2000.07.05	6502.98	6572.66	6430.59	6462.70	24387	0	0
2000.07.06	6434.21	6465.77	6393.12	6453.97	12555	0	0
2000.07.07	6471.98	6568.15	6445.71	6565.97	15090	0	0
2000.07.11	6518.22	6518.22	6422.72	6490.35	16314	0	0
2000.07.12	6506.12	6556.41	6489.81	6536.51	10282	0	0
2000.07.13	6547.22	6588.11	6491.54	6570.36	17001	0	0
2000.07.17	6605.32	6631.48	6582.68	6619.25	8368	0	0
2000.07.18	6625.02	6625.36	6514.54	6514.54	11117	0	0
2000.07.19	6542.80	6558.08	6485.78	6495.11	9692	0	0
2000.07.20	6498.77	6567.03	6484.29	6563.77	10049	0	0
2000.07.21	6544.71	6577.78	6450.80	6464.12	17338	0	0
2000.07.24	6474.32	6539.98	6444.30	6502.57	16312	0	0
2000.07.25	6576.61	6576.61	6458.73	6463.91	12307	0	0
2000.07.26	6539.74	6539.74	6466.55	6493.00	9965	0	0
2000.07.27	6512.53	6582.48	6464.94	6511.53	23409	0	0
2000.07.28	6507.65	6535.69	6396.13	6415.72	18720	0	0
2000.07.31	6412.52	6542.49	6374.52	6542.49	20598	0	0
2000.08.01	6524.67	6569.22	6508.13	6532.29	11457	0	0
2000.08.02	6539.40	6573.22	6473.76	6529.91	18944	0	0
2000.08.03	6465.01	6486.60	6354.93	6354.93	15327	0	0
2000.08.04	6424.10	6479.03	6391.46	6461.35	13790	0	0
2000.08.07	6462.22	6536.95	6447.95	6519.04	12119	0	0
2000.08.08	6519.04	6573.28	6492.01	6532.44	14915	0	0
2000.08.09	6555.03	6619.24	6553.73	6570.18	11588	0	0
2000.08.10	6565.32	6611.14	6539.97	6562.54	13957	0	0
2000.08.11	6570.42	6580.76	6513.77	6553.00	11657	0	0
2000.08.14	6613.37	6625.69	6554.79	6609.36	13780	0	0
2000.08.15	6645.67	6676.66	6604.68	6636.61	13491	0	0
2000.08.16	6666.90	6710.59	6646.41	6684.08	11119	0	0
2000.08.17	6712.29	6712.30	6601.13	6635.34	14540	0	0
2000.08.18	6640.46	6649.67	6587.90	6594.35	7744	0	0
2000.08.21	6559.52	6615.34	6529.58	6571.63	15942	0	0
2000.08.22	6599.09	6605.39	6513.71	6513.71	9799	0	0
2000.08.23	6539.51	6552.56	6449.65	6501.70	16802	0	0
2000.08.24	6513.38	6523.15	6454.53	6461.93	8580	0	0
2000.08.25	6485.05	6602.29	6485.05	6595.11	12443	0	0
2000.08.28	6598.82	6639.46	6570.66	6615.02	12141	0	0
2000.08.29	6608.88	6642.87	6561.70	6633.99	13724	0	0
