<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.06	22493.00	22513.00	22050.00	22223.50	75448	3908280	700
2017.12.07	22465.00	22658.50	22400.50	22628.00	44410	5201400	700
2017.12.08	22677.00	22907.10	22676.00	22869.50	38496	4504680	780
2017.12.11	22828.50	22947.50	22791.00	22944.50	28435	3323400	700
2017.12.12	22950.00	22971.00	22822.60	22898.50	26702	3111240	700
2017.12.13	22833.00	22856.00	22674.00	22681.50	39853	4680480	700
2017.12.14	22741.50	22756.50	22539.00	22574.00	35074	4125840	700
2017.12.15	22526.50	22746.50	22471.50	22692.50	35799	4193760	700
2017.12.18	22798.00	23005.00	22749.00	22987.75	29812	3482280	780
2017.12.19	22891.50	22917.50	22789.00	22800.50	33769	3982320	700
2017.12.20	22901.50	22933.10	22812.10	22869.00	27088	3166440	780
2017.12.21	22757.00	22943.10	22745.00	22841.50	22379	2597040	700
2017.12.22	22866.50	22913.10	22846.50	22904.50	15633	1808880	780
2017.12.26	22886.25	22912.50	22881.00	22907.50	1489	153360	700
2017.12.27	22903.50	22951.00	22863.50	22906.00	17942	2092560	780
2017.12.28	22908.50	22947.00	22718.50	22786.00	13929	1618080	700
2017.12.29	22818.50	22873.50	22721.00	22731.00	16302	1894200	700
2018.01.02	22881.25	22881.25	22617.75	22814.00	23280	2685960	700
2018.01.03	22851.50	23214.00	22811.50	23201.50	21155	2449560	780
2018.01.04	23217.50	23672.60	23201.50	23644.00	25185	2945880	780
2018.01.05	23571.50	23822.60	23509.00	23791.50	24429	2846520	700
2018.01.08	23861.50	23964.00	23817.60	23943.50	22763	2628600	780
2018.01.09	23913.00	23935.60	23765.50	23842.00	25919	2990880	700
2018.01.10	23777.50	23829.00	23553.10	23601.50	38568	4499400	780
2018.01.11	23694.00	23784.50	23606.50	23784.50	32543	3778440	780
2018.01.12	23686.50	23828.25	23572.50	23809.50	30128	3462120	780
2018.01.15	23746.50	23751.00	23666.50	23694.50	16821	1928400	700
2018.01.16	23735.00	23995.10	23643.50	23699.00	42058	4897440	700
2018.01.17	23750.00	24127.00	23750.00	24057.75	37078	4287360	700
2018.01.18	24020.00	24067.00	23690.00	23859.00	46038	5302440	700
2018.01.19	23805.00	23901.10	23719.50	23874.00	39077	4498680	700
2018.01.22	23715.00	23949.00	23699.50	23944.00	25388	2912280	700
2018.01.23	23936.00	24181.50	23931.00	24019.00	41112	4770360	780
2018.01.24	24020.00	24053.50	23598.50	23734.50	51000	5935920	780
2018.01.25	23786.00	23816.00	23451.00	23609.00	63486	7383000	780
2018.01.26	23681.00	23756.10	23541.00	23742.00	52758	6134400	700
2018.01.29	23751.50	23760.00	23480.10	23532.00	47637	5566320	700
2018.01.30	23518.00	23523.00	23100.10	23197.00	70397	8242200	700
2018.01.31	23240.25	23364.50	23073.75	23249.00	62069	7212840	700
2018.02.01	23269.00	23490.10	23234.10	23322.50	68544	8019000	700
2018.02.02	23257.50	23345.00	22956.50	22964.10	151377	17941080	780
2018.02.05	22754.50	22779.00	21515.10	21535.50	158877	18695280	780
2018.02.06	21627.50	22237.00	21058.50	22199.50	312372	37000080	780
2018.02.07	22284.50	22321.00	21455.10	21890.75	211029	24925080	780
2018.02.08	21814.50	22000.10	21075.75	21075.75	235287	27825600	780
2018.02.09	21269.50	21566.10	20533.25	21225.10	201757	23701320	780
2018.02.12	21347.00	21707.00	21300.10	21647.00	146512	17311560	780
2018.02.13	21486.00	21659.50	20908.75	21192.00	192142	22810440	780
2018.02.14	21237.50	21512.00	20918.00	21502.00	197520	23333400	780
2018.02.15	21374.50	21610.10	21312.00	21464.50	174473	20703600	780
2018.02.16	21722.00	21912.00	21629.50	21882.00	146657	17311440	780
2018.02.19	21987.00	22144.50	21912.00	21982.00	62670	7395720	780
2018.02.20	21974.50	22022.00	21800.10	21854.00	141987	16823040	780
2018.02.21	22014.50	22169.50	21814.50	21839.50	114563	13463760	700
2018.02.22	21687.00	21881.00	21588.25	21661.00	144627	17128680	700
2018.02.23	21776.50	22029.50	21734.00	22029.50	109094	12912600	780
2018.02.26	22105.00	22390.01	22025.50	22388.01	20454	0	700
2018.02.27	22365.00	22496.00	22168.01	22168.51	30961	0	700
2018.02.28	22327.50	22345.50	21868.51	21873.01	32430	0	700
2018.03.01	21790.50	21816.00	21017.75	21060.51	51074	0	700
2018.03.02	21165.50	21256.00	20676.10	21152.75	52065	0	700
2018.03.05	21010.50	21452.50	20831.50	21417.50	106728	12807360	780
2018.03.06	21501.00	21800.10	21375.00	21645.00	126183	15141960	700
2018.03.07	21229.00	21464.00	21166.00	21424.00	131182	15741840	780
2018.03.08	21388.00	21617.00	21263.00	21607.00	102005	12240600	700
2018.03.09	21781.50	21866.50	21325.00	21859.00	91830	11019600	780
2018.03.12	21857.10	21959.50	21656.50	21744.00	87809	10537080	501
2018.03.13	21725.10	22080.75	21675.75	21729.00	101864	12223680	700
2018.03.14	21706.50	21892.10	21574.00	21702.10	112053	13446360	700
2018.03.15	21706.10	21856.10	21519.50	21806.10	99998	11999760	780
2018.03.16	21791.10	21830.50	21485.50	21559.25	67313	8077560	780
2018.03.19	21541.10	21628.00	21063.00	21293.00	139788	16774560	751
2018.03.20	21261.10	21471.75	21185.50	21453.00	125938	15112560	700
2018.03.21	21446.10	21521.75	21282.60	21308.00	96278	11553360	780
2018.03.22	21309.10	21550.50	20878.00	20912.10	174639	20956680	780
2018.03.23	20939.10	20960.50	20284.75	20301.10	236449	28373880	751
2018.03.26	20296.10	20858.00	20288.00	20838.00	171170	20540400	780
2018.03.27	20855.50	21338.10	20768.00	20828.00	172523	20702760	780
2018.03.28	20679.10	21316.00	20648.00	21231.00	244961	29395320	780
2018.03.29	21278.50	21621.00	20973.00	21481.00	164710	19765200	700
2018.04.02	21439.10	21583.00	20915.50	21020.50	155621	18674520	700
2018.04.03	21047.10	21516.00	21026.00	21510.50	174149	20897880	780
2018.04.04	21479.10	21556.00	21024.10	21550.50	187814	22537680	780
2018.04.05	21512.10	21909.10	21443.50	21891.00	138426	16611120	780
2018.04.06	21852.10	21872.10	21301.00	21401.00	190978	22917360	700
2018.04.09	21454.10	21791.00	21444.10	21539.75	141894	17027280	780
2018.04.10	21614.10	21953.50	21521.00	21846.00	184179	22101480	780
2018.04.11	21849.10	21858.50	21560.10	21635.50	155831	18699720	780
2018.04.12	21644.10	21840.10	21576.50	21785.50	133557	16026840	780
2018.04.13	21800.10	21914.10	21685.25	21766.50	129688	15562560	780
2018.04.16	21859.00	21918.00	21748.00	21795.50	104393	12287400	0
2018.04.17	21799.10	21944.10	21758.00	21890.50	91705	11004600	780
2018.04.18	21875.10	22190.10	21875.10	22141.50	88364	10603680	780
2018.04.19	22139.10	22348.50	22041.50	22110.50	114143	13697160	700
2018.04.20	22119.10	22253.00	22040.50	22071.50	118451	14214120	700
2018.04.23	22162.10	22205.10	22024.10	22180.50	76892	9227040	780
2018.04.24	22194.10	22344.10	21956.00	22036.00	140677	16881240	780
2018.04.25	22079.10	22281.00	22064.10	22246.00	154375	18525000	780
2018.04.26	22304.10	22436.00	22254.75	22401.00	109267	13112040	700
2018.04.27	22437.10	22554.10	22349.00	22451.00	100110	12013200	700
