<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.06	7299.45	7368.25	7286.50	7336.45	69589	5263200	90
2017.12.07	7353.00	7370.05	7300.55	7307.25	59553	8674200	90
2017.12.08	7324.15	7411.82	7310.75	7405.55	54343	7881750	90
2017.12.11	7420.55	7460.82	7409.05	7457.32	47942	6969900	90
2017.12.12	7463.25	7502.82	7445.25	7486.05	54484	7929000	90
2017.12.13	7498.55	7510.70	7477.55	7479.25	51660	7507650	90
2017.12.14	7482.55	7493.05	7445.12	7447.85	42720	6175950	90
2017.12.15	7450.55	7503.77	7433.85	7493.55	53176	7679550	90
2017.12.18	7508.55	7546.85	7504.55	7541.35	50262	7302600	90
2017.12.19	7543.15	7563.85	7527.05	7527.85	48903	7096650	90
2017.12.20	7538.75	7550.85	7510.60	7531.05	48126	6978900	90
2017.12.21	7523.25	7609.80	7515.75	7582.75	38081	5487150	90
2017.12.22	7582.05	7614.30	7579.50	7585.45	17664	2558700	90
2017.12.27	7597.50	7632.30	7591.80	7620.75	37737	5446050	90
2017.12.28	7622.60	7635.00	7609.07	7625.97	30057	4292700	100
2017.12.29	7628.00	7703.80	7617.00	7702.80	15687	2262600	90
2018.01.02	7687.25	7691.00	7624.30	7652.25	48364	7014450	90
2018.01.03	7648.90	7692.07	7640.50	7692.07	46010	6677850	90
2018.01.04	7688.75	7697.55	7666.40	7691.57	41643	6016800	90
2018.01.05	7686.65	7724.22	7684.85	7714.95	42010	6065400	90
2018.01.08	7724.95	7727.90	7687.67	7710.85	38126	5453850	90
2018.01.09	7707.75	7732.25	7707.50	7730.95	42323	6082350	90
2018.01.10	7722.35	7755.10	7713.35	7734.55	51502	7400850	90
2018.01.11	7749.25	7771.07	7732.05	7769.75	49174	6993750	90
2018.01.12	7768.15	7791.40	7749.40	7775.65	47786	6719550	90
2018.01.15	7777.05	7782.55	7761.30	7770.40	34587	4820400	90
2018.01.16	7780.50	7791.40	7713.17	7722.77	60822	8557350	90
2018.01.17	7729.45	7748.20	7709.77	7728.00	53658	7498950	90
2018.01.18	7721.90	7738.10	7681.40	7710.17	51934	7300650	90
2018.01.19	7699.10	7737.27	7692.70	7737.27	50847	7159350	90
2018.01.22	7723.25	7737.50	7700.67	7730.57	43364	6140250	90
2018.01.23	7738.85	7744.85	7709.10	7735.82	51244	7270350	90
2018.01.24	7725.85	7730.70	7619.77	7649.77	68545	9729150	90
2018.01.25	7634.60	7660.85	7606.35	7634.05	78048	11116050	90
2018.01.26	7629.90	7694.65	7620.90	7694.15	58215	8210250	90
2018.01.29	7678.00	7688.55	7648.32	7655.32	57571	8154000	90
2018.01.30	7629.90	7659.40	7573.47	7577.15	75225	10731600	90
2018.01.31	7582.85	7601.60	7517.07	7526.60	63612	9025650	90
2018.02.01	7558.85	7561.10	7469.17	7488.35	74704	10634100	90
2018.02.02	7490.20	7490.80	7394.62	7396.77	94297	13496700	90
2018.02.05	7378.55	7392.00	7111.15	7122.40	111952	15942000	90
2018.02.06	7094.35	7305.42	7070.85	7275.55	215297	31763550	90
2018.02.07	7186.95	7309.52	7162.55	7238.75	145093	21451650	90
2018.02.08	7228.45	7258.65	7093.25	7093.95	180504	26765550	86
2018.02.09	7120.95	7168.45	6977.95	7127.45	203916	30278550	90
2018.02.12	7160.05	7213.82	7136.75	7209.25	152850	22692300	90
2018.02.13	7177.20	7206.47	7161.97	7199.45	127307	18814050	90
2018.02.14	7205.90	7256.72	7141.25	7254.40	146373	21672450	90
2018.02.15	7246.65	7265.95	7203.22	7250.22	125894	18625950	90
2018.02.16	7254.65	7304.22	7251.15	7285.90	127643	18889950	90
2018.02.19	7303.20	7309.20	7238.02	7250.77	57952	8476650	50
2018.02.20	7257.15	7258.40	7201.65	7223.15	118930	17616000	90
2018.02.21	7239.10	7299.85	7220.95	7237.35	108551	16067100	90
2018.02.22	7208.60	7265.47	7187.10	7225.35	123696	18350400	90
2018.02.23	7256.80	7279.62	7221.25	7275.55	90181	13368900	90
2018.03.05	7088.00	7152.82	7060.75	7151.25	138830	20824500	90
2018.03.06	7159.15	7198.15	7142.12	7165.42	135251	20287650	90
2018.03.07	7097.95	7182.05	7096.45	7159.55	146292	21943800	90
2018.03.08	7160.60	7217.02	7146.45	7208.95	101488	15223200	90
2018.03.09	7207.55	7242.17	7190.05	7235.35	100681	15102150	90
2018.03.12	7246.85	7255.35	7189.42	7199.60	97707	14656050	90
2018.03.13	7210.20	7226.95	7107.02	7118.40	132086	19812900	90
2018.03.14	7126.05	7180.05	7118.62	7131.87	135805	20370750	90
2018.03.15	7141.95	7167.45	7126.22	7143.85	115735	17360250	90
2018.03.16	7138.00	7191.45	7132.20	7158.15	95084	14262600	90
