<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.06	24128.35	24229.75	24081.50	24143.85	127239	12922200	110
2017.12.07	24177.85	24257.35	24069.25	24207.35	99281	14602800	110
2017.12.08	24244.10	24319.30	24217.15	24319.30	85180	12508050	120
2017.12.11	24340.40	24384.40	24312.55	24378.55	86853	12780600	120
2017.12.12	24410.55	24547.40	24389.55	24505.55	100523	14799300	120
2017.12.13	24504.20	24659.40	24498.15	24586.40	80801	11846700	120
2017.12.14	24638.85	24669.90	24505.10	24507.25	91205	13421700	120
2017.12.15	24577.05	24681.25	24561.15	24636.60	81608	11958300	120
2017.12.18	24760.35	24871.15	24749.65	24791.25	74634	10937550	120
2017.12.19	24818.80	24868.15	24707.15	24747.60	49893	6976800	100
2017.12.20	24802.90	24858.15	24683.75	24720.25	52227	7360800	190
2017.12.21	24722.85	24843.15	24699.15	24780.35	38768	5348100	130
2017.12.22	24791.90	24804.15	24718.25	24762.15	32350	4417050	180
2017.12.26	24738.25	24784.35	24695.25	24768.95	22168	2971950	190
2017.12.27	24754.55	24796.10	24740.35	24771.35	31773	4330950	190
2017.12.28	24788.25	24823.30	24770.35	24816.45	22571	3012300	190
2017.12.29	24837.45	24889.35	24734.45	24746.45	32947	4513200	100
2018.01.02	24783.45	24868.35	24726.45	24816.45	45443	6356700	190
2018.01.03	24823.55	24935.30	24821.35	24910.30	36349	5034450	190
2018.01.04	24954.15	25100.15	24942.75	25064.65	41048	5728800	100
2018.01.05	25098.15	25288.05	25097.65	25286.00	41892	5818200	161
2018.01.08	25360.80	25375.05	25239.05	25281.15	40094	5527950	161
2018.01.09	25293.15	25440.10	25288.85	25392.10	41523	5751300	161
2018.01.10	25395.15	25407.20	25249.20	25372.35	61023	8587650	161
2018.01.11	25401.75	25575.45	25382.25	25570.45	41282	5554950	140
2018.01.12	25603.15	25809.40	25600.95	25802.90	49232	6672450	120
2018.01.15	25908.30	26002.75	25895.45	25962.65	18427	2360250	145
2018.01.16	26020.60	26088.85	25710.80	25810.80	89317	12387300	190
2018.01.17	25896.65	26144.90	25878.45	26127.70	72732	10008900	100
2018.01.18	26130.00	26155.35	25948.30	26029.35	71722	9909900	100
2018.01.19	25941.40	26077.05	25933.05	26076.25	65631	9108000	190
2018.01.22	26028.65	26223.40	25980.45	26218.40	47628	6554700	100
2018.01.23	26293.50	26330.35	26151.25	26226.75	60279	8363850	190
2018.01.24	26248.95	26401.85	26104.85	26278.70	85485	11952600	161
2018.01.25	26288.80	26454.80	26244.55	26388.80	86468	12082200	140
2018.01.26	26416.55	26610.00	26413.75	26610.00	59119	8137950	160
2018.01.29	26656.55	26664.25	26440.65	26441.95	78788	11002800	100
2018.01.30	26327.85	26332.85	26029.60	26079.85	118522	16724100	120
2018.01.31	26118.55	26334.95	26051.80	26161.25	101152	14202900	190
2018.02.01	26222.75	26303.75	25946.25	26185.75	120692	16996800	190
2018.02.02	26161.85	26167.85	25479.70	25497.15	150610	21303600	161
2018.02.05	25349.25	25527.25	23774.85	24324.50	190335	26732250	160
2018.02.06	23589.85	24950.75	23558.00	24918.30	301652	43625400	120
2018.02.07	24643.65	25279.35	24544.35	24890.35	243592	34793400	120
2018.02.08	24831.40	24958.35	23833.35	23842.35	202790	28392450	120
2018.02.09	24064.55	24385.85	23358.85	24194.85	223781	32090850	190
2018.02.12	24372.85	24774.85	24271.00	24607.00	202189	29937900	120
2018.02.13	24505.85	24716.85	24414.80	24650.85	202875	30106950	120
2018.02.14	24728.85	24936.85	24314.85	24909.85	217468	32300250	110
2018.02.15	24985.85	25210.50	24811.85	25210.50	207791	30968550	120
2018.02.16	25272.85	25442.85	25131.85	25226.00	192191	28542600	120
2018.02.19	25342.75	25350.85	25080.50	25200.00	57898	8584500	120
2018.02.20	25216.85	25219.85	24891.85	24970.85	192888	28662300	120
2018.02.21	24991.75	25286.00	24805.00	24808.00	182603	27063600	110
2018.02.22	24692.75	25169.85	24654.25	24977.00	186635	27744150	110
2018.02.23	25200.85	25329.85	25039.85	25327.85	184638	27538650	130
2018.03.05	24433.75	24981.85	24339.75	24902.85	226155	33923250	120
2018.03.06	24969.80	25075.80	24724.85	24904.00	215624	32343600	130
2018.03.07	24502.85	24872.85	24498.85	24826.85	224759	33713850	110
2018.03.08	24839.85	24976.00	24724.85	24918.85	181203	27180450	120
2018.03.09	24912.85	25360.85	24859.85	25358.85	138473	20770950	130
2018.03.12	25475.75	25532.75	25175.85	25208.85	144963	21744450	110
2018.03.13	25271.75	25404.85	24965.85	25022.85	190904	28635600	120
2018.03.14	25017.75	25168.85	24682.85	24777.85	204788	30718200	110
2018.03.15	24852.85	25069.85	24766.85	24889.85	174881	26232150	120
2018.03.16	24913.25	25048.85	24861.75	24946.85	153371	23005650	120
2018.03.19	24907.75	24925.85	24464.85	24621.85	213695	32054250	120
2018.03.20	24717.25	24823.85	24618.85	24756.85	178078	26711700	120
2018.03.21	24790.75	25004.85	24676.85	24708.55	170699	25604850	130
2018.03.22	24777.75	24780.75	23950.85	23974.85	246643	36996450	120
2018.03.23	23799.00	24122.85	23517.85	23541.85	264205	39630750	120
2018.03.26	23801.75	24246.85	23752.85	24212.85	221113	33166950	120
2018.03.27	24348.55	24461.50	23714.80	23860.80	237452	35617800	120
2018.03.28	23892.75	24101.65	23733.65	23874.50	279313	41896950	120
2018.03.29	23906.65	24316.80	23886.65	24190.80	224589	33688350	120
2018.04.02	24099.75	24134.80	23344.00	23631.00	191552	28732800	111
2018.04.03	23583.75	24046.80	23583.75	24018.80	249310	37396500	120
2018.04.04	23931.75	24315.80	23400.50	24300.80	264640	39696000	120
2018.04.05	24340.75	24630.80	24304.80	24524.80	215642	32346300	120
2018.04.06	24217.20	24445.80	23740.80	23945.80	247933	37189950	120
2018.04.09	24105.20	24385.50	23965.20	23979.20	214393	32158950	120
