<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.06.14	1287.20	1292.10	1285.80	1288.10	1512	0	0
2011.06.15	1284.80	1285.60	1261.20	1265.90	4963	0	0
2011.06.16	1265.80	1273.90	1257.80	1267.60	6819	0	0
2011.06.30	1305.80	1316.90	1304.30	1313.60	2101	0	0
2011.07.01	1314.10	1336.10	1312.20	1334.60	3437	0	0
2011.07.03	1333.30	1333.60	1333.30	1333.60	16	0	0
2011.07.04	1333.30	1335.10	1328.30	1334.80	1799	0	0
2011.07.05	1334.70	1337.30	1329.20	1335.10	2796	0	0
2011.07.06	1334.80	1340.30	1326.30	1338.30	4062	0	0
2011.07.07	1338.40	1352.30	1337.10	1350.80	3412	0	0
2011.07.08	1350.90	1354.10	1329.10	1341.80	4059	0	0
2011.07.10	1333.70	1335.60	1332.60	1334.60	114	0	0
2011.07.11	1334.70	1336.10	1311.60	1316.80	3947	0	0
2011.07.12	1316.90	1322.80	1295.10	1309.80	7032	0	0
2011.07.13	1310.10	1327.30	1302.30	1307.80	5348	0	0
2011.07.14	1308.10	1322.70	1300.60	1303.90	6515	0	0
2011.07.15	1304.10	1315.10	1302.30	1314.10	5153	0	0
2011.07.17	1312.70	1312.80	1310.80	1311.30	54	0	0
2011.07.18	1311.10	1311.10	1291.20	1302.30	4977	0	0
2011.07.19	1302.40	1324.30	1301.60	1323.60	4715	0	0
2011.07.20	1323.70	1329.30	1316.80	1317.10	3888	0	0
2011.07.21	1329.10	1344.10	1326.30	1344.10	2606	0	0
2011.07.22	1343.80	1347.30	1332.60	1340.60	3774	0	0
2011.07.24	1328.70	1330.60	1328.60	1330.10	78	0	0
2011.07.25	1329.80	1339.80	1325.10	1331.60	4156	0	0
2011.07.26	1331.40	1339.60	1324.80	1326.10	4410	0	0
2011.07.27	1325.80	1328.10	1297.80	1300.10	4965	0	0
2011.07.28	1303.70	1316.20	1292.20	1295.60	7019	0	0
2011.07.29	1295.40	1300.30	1278.70	1291.70	6574	0	0
2011.07.31	1305.30	1307.10	1304.10	1304.60	177	0	0
2011.08.01	1304.40	1309.30	1270.20	1278.80	6159	0	0
2011.08.02	1273.90	1279.60	1244.10	1245.70	5734	0	0
2011.08.03	1245.80	1258.80	1229.90	1258.60	8511	0	0
2011.08.04	1258.30	1263.80	1193.10	1195.10	11414	0	0
2011.08.05	1190.80	1218.40	1163.30	1196.90	11296	0	0
2011.08.07	1168.30	1176.90	1168.10	1170.80	364	0	0
2011.08.08	1170.90	1188.60	1099.80	1104.60	17892	0	0
2011.08.09	1104.30	1178.30	1077.10	1175.60	22019	0	0
2011.08.10	1175.30	1177.10	1113.60	1123.10	18014	0	0
2011.08.11	1123.60	1183.60	1122.30	1166.10	7787	0	0
2011.08.12	1166.20	1186.30	1146.60	1176.70	9219	0	0
2011.08.14	1177.80	1184.30	1177.80	1183.60	101	0	0
2011.08.15	1183.80	1201.30	1178.30	1195.60	3770	0	0
2011.08.16	1195.80	1201.10	1177.30	1187.60	7885	0	0
2011.08.17	1187.30	1206.10	1181.60	1187.80	6997	0	0
2011.08.18	1187.90	1187.90	1128.10	1136.40	10020	0	0
2011.08.19	1136.60	1152.80	1117.30	1123.80	10877	0	0
2011.08.21	1115.60	1118.60	1114.30	1118.10	258	0	0
2011.08.22	1117.80	1146.10	1115.30	1121.60	8965	0	0
2011.08.23	1121.70	1161.10	1118.30	1155.60	8547	0	0
2011.08.24	1155.90	1176.30	1142.60	1167.80	8506	0	0
2011.08.25	1168.10	1188.10	1152.80	1160.80	8480	0	0
