<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	6698.87	6759.00	6681.87	6758.00	30610	1523527	180
2020.01.03	6765.65	6788.77	6686.90	6712.80	92809	4635476	100
2020.01.06	6701.65	6773.00	6661.00	6757.70	69435	3466267	120
2020.01.07	6780.25	6869.00	6776.65	6813.50	63682	3177102	100
2020.01.08	6832.05	6896.60	6749.30	6875.40	89187	4452758	100
2020.01.09	6877.75	6897.10	6857.00	6893.50	86313	4298995	110
2020.01.10	6907.65	6940.17	6867.00	6872.50	117519	5851395	100
2020.01.13	6884.45	6940.90	6876.45	6936.90	45402	2262784	100
2020.01.14	6932.05	6990.50	6931.55	6986.00	68099	3397390	100
2020.01.15	6971.05	7035.60	6971.05	7016.10	57779	2881748	100
2020.01.16	7038.65	7090.30	7028.15	7089.30	49821	2483002	100
2020.01.17	7087.55	7108.90	7065.90	7103.40	44558	2221846	100
2020.01.20	7085.55	7101.00	7077.87	7095.60	34911	1742561	100
2020.01.21	7078.60	7104.50	7045.82	7074.50	65570	3274325	100
2020.01.22	7080.05	7153.67	7072.60	7113.90	70532	3522390	100
2020.01.23	7134.75	7135.10	7056.80	7113.30	78925	3942654	100
2020.01.24	7105.55	7128.40	7052.00	7058.70	82201	4107522	100
2020.01.27	7026.95	7043.10	6969.00	6979.50	50609	2526096	130
2020.01.28	6966.15	7059.90	6965.35	7054.90	163263	8152608	100
2020.01.29	7042.35	7052.90	7008.20	7018.20	183570	9170145	100
2020.01.30	7045.45	7063.20	6985.80	7056.20	477677	23865208	100
2020.01.31	7033.35	7051.40	6891.35	6908.90	446795	22615849	100
2020.02.03	6908.70	6949.80	6897.80	6919.20	97639	4872234	140
2020.02.04	6915.30	7014.40	6911.90	7007.40	136613	6809162	100
2020.02.05	7008.90	7045.40	6961.40	7040.40	271592	13538857	100
2020.02.06	7037.10	7071.60	7016.10	7071.60	303304	15165813	100
2020.02.07	7055.25	7067.20	7004.10	7024.60	445308	22205843	100
2020.02.10	7030.95	7060.70	6984.20	7056.70	82389	4107842	150
2020.02.11	7048.55	7077.37	7040.30	7067.80	62289	3104291	180
2020.02.12	7088.20	7135.80	7073.30	7133.80	53178	2646769	180
2020.02.13	7133.70	7148.05	7052.00	7101.50	84121	4194201	100
2020.02.14	7099.55	7139.90	7096.80	7118.30	121454	6053100	100
2020.02.17	7120.65	7139.20	7101.10	7122.10	31900	1583799	100
2020.02.18	7115.85	7124.15	7092.10	7115.60	84784	4230596	100
2020.02.19	7109.45	7166.50	7102.40	7156.90	61580	3066981	100
2020.02.20	7173.15	7200.90	7126.85	7154.40	113135	5649938	100
2020.02.21	7152.80	7161.40	7073.40	7091.90	127714	6384665	100
2020.02.24	7029.45	7045.40	6790.80	6803.30	275372	13764365	100
2020.02.25	6805.45	6903.70	6685.65	6728.20	242244	12108076	100
2020.02.26	6714.55	6762.20	6614.20	6636.70	273559	13675625	100
2020.02.27	6675.75	6725.80	6434.50	6443.50	270951	13545244	100
2020.02.28	6469.80	6512.90	6245.80	6431.30	309694	15483090	100
2020.03.02	6303.95	6458.70	6225.20	6430.70	282943	14145643	100
2020.03.03	6464.75	6522.40	6247.40	6288.90	246990	12347198	100
2020.03.04	6351.55	6465.25	6306.20	6443.70	194911	9741819	100
2020.03.05	6424.90	6444.00	6251.70	6272.40	189382	9465209	100
2020.03.06	6307.75	6311.20	6041.20	6120.70	228836	11438479	120
2020.03.09	6014.20	6016.20	5349.80	5438.20	200236	10004476	100
2020.03.10	5418.60	6038.20	5369.60	6003.60	266148	13304400	100
2020.03.11	5990.20	5990.20	5495.80	5529.20	210991	10544851	100
2020.03.12	5525.10	5644.65	4810.60	4863.10	258924	12940113	100
2020.03.13	4961.85	5678.70	4867.20	5583.70	252268	12606004	100
2020.03.16	5383.90	5388.90	4778.15	4857.90	176002	8788327	100
2020.03.17	4847.00	5335.50	4802.00	5231.00	205981	10289537	240
2020.03.18	5192.90	5233.90	4735.90	4889.90	176513	8817315	240
2020.03.19	4869.40	5103.95	4730.90	4885.20	205609	10273658	240
2020.03.20	4845.20	5023.10	4657.30	4690.30	198185	9902670	270
2020.03.23	4506.00	4803.10	4409.00	4560.30	226384	11314320	260
2020.03.24	4664.80	5024.50	4600.50	5007.80	195845	9784620	250
2020.03.25	5011.00	5265.70	4800.70	5152.00	204192	10203723	250
2020.03.26	5141.10	5344.80	5021.80	5321.10	164246	8205696	250
2020.03.27	5322.30	5328.30	4801.00	4826.75	183601	9170830	250
2020.03.30	4778.35	5285.05	4751.09	5263.35	196980	9845837	160
2020.03.31	5265.95	5392.65	5011.65	5170.95	209513	10472057	160
2020.04.01	5156.15	5303.82	5054.15	5080.15	202504	10121547	170
2020.04.02	5099.35	5297.35	5074.35	5269.65	192359	9614507	220
2020.04.03	5279.65	5283.65	5030.35	5091.15	150008	7494231	170
2020.04.06	5167.15	5462.85	5116.85	5415.85	162443	8111422	185
2020.04.07	5414.15	5450.85	5194.85	5207.85	206829	10333938	160
2020.04.08	5213.35	5345.05	5129.05	5268.05	180206	9001641	185
2020.04.09	5241.45	5467.15	5234.45	5463.15	125747	6281466	160
2020.04.14	5430.55	5537.15	5350.25	5514.05	149653	7473865	185
2020.04.15	5517.55	5551.35	5327.25	5359.25	164189	8202330	180
2020.04.16	5357.05	5466.05	5305.75	5450.85	146565	7318433	200
2020.04.17	5483.15	5584.95	5411.85	5481.95	134506	6713690	180
2020.04.20	5473.25	5508.05	5268.95	5331.05	146452	7308272	200
2020.04.21	5327.35	5359.15	5089.05	5109.15	192765	9630395	180
2020.04.22	5128.85	5333.65	5103.55	5304.65	149650	7470273	200
2020.04.23	5301.85	5301.85	5184.55	5224.55	122320	6105969	160
2020.04.24	5216.85	5331.65	5185.85	5309.65	102313	5102115	210
2020.04.27	5318.95	5352.75	5206.65	5328.75	116529	5813123	160
2020.04.28	5323.95	5396.65	5278.65	5336.65	123692	6169250	160
2020.04.29	5342.05	5486.75	5318.75	5483.75	115735	5770979	300
2020.04.30	5477.75	5563.55	5409.45	5429.55	162200	8099161	160
2020.05.01	5417.55	5441.55	5196.25	5238.25	144253	7200573	160
2020.05.04	5220.65	5368.35	5152.65	5343.35	178176	8896457	160
2020.05.05	5336.05	5438.75	5328.75	5409.75	124682	6220064	200
2020.05.06	5405.35	5429.05	5339.05	5353.15	131380	6553620	200
2020.05.07	5353.35	5412.15	5333.35	5375.05	127392	6353010	160
2020.05.08	5373.25	5432.95	5369.95	5404.05	96698	4817331	160
2020.05.11	5387.35	5492.15	5382.35	5458.15	122616	6112571	170
2020.05.12	5457.25	5480.25	5313.95	5315.05	154236	7701930	200
2020.05.13	5323.45	5445.25	5298.15	5366.25	184339	9205588	185
2020.05.14	5362.65	5388.45	5253.35	5355.45	198846	9935030	160
2020.05.15	5353.55	5448.35	5346.25	5439.25	172928	8635939	150
2020.05.18	5418.45	5606.25	5412.45	5588.25	136227	6794861	185
2020.05.19	5587.35	5617.05	5484.05	5491.25	183407	9157824	170
2020.05.20	5483.05	5612.95	5472.05	5600.35	148827	7426293	180
2020.05.21	5602.85	5637.15	5523.65	5532.25	163961	8184161	160
2020.05.22	5537.35	5580.65	5476.35	5570.25	149596	7461591	190
2020.05.25	5554.35	5680.45	5553.35	5669.55	84949	4224011	180
2020.05.26	5662.65	5813.65	5640.95	5738.55	155955	7786661	180
2020.05.27	5733.05	5836.35	5709.35	5820.35	218568	10919985	150
2020.05.28	5815.85	5926.25	5804.85	5827.75	224200	11203987	150
2020.05.29	5830.85	5834.85	5643.65	5720.75	213774	10682150	160
2020.06.01	5709.85	5852.85	5640.85	5833.75	199227	9950868	150
2020.06.02	5832.75	5874.25	5796.75	5860.65	164048	8190136	150
2020.06.03	5858.75	6006.05	5854.75	5995.75	174245	8700782	160
2020.06.04	5989.65	6043.05	5940.95	5981.65	204947	10238924	150
2020.06.05	5975.55	6146.95	5951.55	6095.95	176955	8836451	150
2020.06.08	6092.75	6145.85	6085.75	6138.85	99019	4943052	150
2020.06.09	6139.05	6199.45	6072.85	6093.95	198278	9903996	180
2020.06.10	6097.05	6183.35	6043.85	6059.95	209700	10477049	150
2020.06.11	6051.05	6090.35	5760.75	5778.75	276763	13832870	180
2020.06.12	5768.85	5890.55	5755.85	5834.75	278184	13902617	170
2020.06.15	5765.75	5884.35	5711.75	5880.35	213913	10685327	185
2020.06.16	5930.45	6025.45	5869.45	5995.35	123995	6178088	185
2020.06.17	5973.65	6036.45	5941.35	5981.55	170455	8511510	160
2020.06.18	5981.95	6017.75	5899.65	5977.85	235226	11753597	190
2020.06.19	5977.95	6023.65	5904.85	5912.85	183893	9181489	150
2020.06.22	5868.75	6001.95	5852.75	5992.95	176106	8795134	160
2020.06.23	5994.15	6034.85	5889.85	5988.05	204783	10216500	0
2020.06.24	5983.55	6009.35	5869.45	5891.45	214023	10692512	160
2020.06.25	5885.75	5933.55	5779.45	5890.65	226573	11322002	160
2020.06.26	5881.85	5930.55	5809.75	5809.75	188448	9412667	150
2020.06.29	5769.95	5939.25	5769.95	5928.25	230242	11503267	150
2020.06.30	5928.15	5977.95	5902.85	5941.15	207785	10380064	160
2020.07.01	5940.05	6017.05	5912.75	5993.05	188538	9415496	160
2020.07.02	5989.95	6136.95	5964.65	6100.95	186062	9291154	150
2020.07.03	6094.95	6126.75	6022.85	6053.95	98329	4897265	160
2020.07.06	6062.75	6103.85	6025.95	6069.05	140227	6999573	160
2020.07.07	6067.35	6102.15	6004.25	6006.35	164003	8187880	160
2020.07.08	6007.55	6044.35	5931.25	5992.45	157861	7884382	160
2020.07.09	5992.45	6020.25	5910.35	5944.35	167722	8372315	160
2020.07.10	5948.15	6025.15	5910.15	6024.05	162880	8130224	160
2020.07.13	6042.75	6044.75	5926.65	5939.75	181662	9069720	160
2020.07.14	5940.75	6012.75	5938.65	5994.65	207548	10368617	160
2020.07.15	6026.75	6128.75	6004.75	6105.65	192441	9626007	160
2020.07.16	6109.65	6116.35	6010.35	6043.65	166269	8303490	160
2020.07.17	6043.75	6071.55	6021.45	6057.65	98331	4898989	150
2020.07.20	6055.85	6075.85	5991.95	6063.85	133836	6678812	160
2020.07.21	6064.95	6197.75	6058.65	6125.95	146334	7304115	160
2020.07.22	6123.75	6150.45	6047.45	6101.75	147341	7354232	160
2020.07.23	6100.55	6136.35	6044.45	6058.55	185033	9240199	160
2020.07.24	6060.75	6072.55	6011.65	6021.75	148246	7398903	150
2020.07.27	6030.75	6095.75	5997.55	6087.75	131901	6580724	160
2020.07.28	6086.65	6135.45	6009.55	6013.65	145658	7270668	160
2020.07.29	6011.45	6086.45	6011.45	6080.45	115381	5755505	200
2020.07.30	6080.85	6085.65	5961.75	6040.85	150655	7522233	200
2020.07.31	6041.95	6053.95	5870.85	5930.95	159385	7958016	170
2020.08.03	5929.95	6039.95	5862.65	6024.95	133650	6669559	180
2020.08.04	6025.05	6075.85	6004.75	6037.05	127660	6371058	160
2020.08.05	6037.95	6050.75	5975.65	6039.85	125544	6263055	180
2020.08.06	6034.95	6076.65	6017.65	6037.85	156129	7793316	160
2020.08.07	6033.95	6060.95	5986.65	6057.95	152776	7624340	170
2020.08.10	6047.95	6135.75	6029.15	6110.95	137633	6866558	160
2020.08.11	6107.45	6197.25	6100.45	6141.35	173933	8686923	185
2020.08.12	6144.45	6199.45	6105.25	6175.35	148677	7422776	190
2020.08.13	6176.35	6177.05	6064.05	6087.75	159684	7971695	160
2020.08.14	6082.45	6140.25	6056.25	6069.45	132049	6588035	160
2020.08.17	6070.65	6104.65	6048.35	6089.65	97265	4846780	190
