<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	3761.80	3808.90	3760.50	3808.85	8838	264812	100
2020.01.03	3808.90	3808.90	3745.55	3762.90	24963	749163	110
2020.01.06	3744.50	3758.10	3709.00	3757.00	16788	503374	130
2020.01.07	3763.00	3782.65	3746.65	3750.00	14901	447497	100
2020.01.08	3700.00	3792.10	3698.00	3779.00	26972	811009	110
2020.01.09	3790.60	3805.25	3782.60	3797.60	21206	635526	110
2020.01.10	3801.60	3804.70	3774.34	3777.10	27919	842831	110
2020.01.13	3787.90	3797.55	3766.55	3780.90	10285	308567	110
2020.01.14	3785.60	3787.60	3743.25	3774.60	17110	513857	100
2020.01.15	3770.20	3778.50	3753.80	3758.20	12605	378846	110
2020.01.16	3762.50	3784.20	3756.75	3781.10	10865	327865	110
2020.01.17	3782.10	3812.80	3780.10	3810.10	7705	231710	130
2020.01.20	3809.20	3811.20	3790.50	3802.20	3930	118803	130
2020.01.21	3789.20	3790.85	3759.34	3776.20	14581	437410	120
2020.01.22	3789.20	3805.20	3759.20	3759.20	11870	357123	100
2020.01.23	3759.10	3769.95	3732.95	3757.30	14597	437611	110
2020.01.24	3760.30	3794.40	3752.40	3761.30	16634	499608	110
2020.01.27	3734.10	3735.10	3671.10	3671.10	22582	677188	100
2020.01.28	3680.10	3721.85	3670.50	3714.10	33560	1006328	110
2020.01.29	3714.00	3743.20	3713.80	3726.00	42610	1281187	130
2020.01.30	3720.00	3721.00	3675.15	3712.50	114940	3444527	140
2020.01.31	3721.50	3722.50	3613.60	3623.25	100411	3060858	110
2020.02.03	3642.05	3672.95	3640.95	3652.30	28677	859654	110
2020.02.04	3661.30	3732.95	3660.30	3724.30	32232	968542	110
2020.02.05	3714.30	3788.40	3711.30	3782.30	78461	2351421	110
2020.02.06	3780.75	3807.65	3776.75	3803.00	79185	2386459	120
2020.02.07	3795.00	3807.10	3780.65	3785.00	110057	3291217	110
