<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	6025.25	6068.45	6010.15	6068.45	140605	4225505	60
2020.01.03	6013.35	6047.75	5995.00	6023.75	201236	6043198	70
2020.01.06	5987.45	6025.80	5952.95	6024.35	170984	5135736	70
2020.01.07	6039.60	6064.55	5998.05	6005.05	181267	5445998	70
2020.01.08	5979.60	6063.10	5970.05	6043.85	201694	6054270	70
2020.01.09	6062.40	6076.32	6032.85	6050.85	314064	9437856	65
2020.01.10	6058.85	6059.30	6010.00	6016.55	413714	12431240	70
2020.01.13	6032.20	6057.55	6017.00	6037.35	143495	4311260	70
2020.01.14	6043.00	6045.05	5978.35	6040.85	187089	5614248	70
2020.01.15	6033.00	6053.55	6009.35	6020.15	154179	4629591	70
2020.01.16	6037.70	6059.05	6019.85	6049.85	143021	4299318	70
2020.01.17	6058.40	6110.45	6053.30	6106.65	136020	4093300	70
2020.01.20	6101.65	6102.60	6069.95	6082.30	70791	2128638	70
2020.01.21	6035.00	6051.95	5990.95	6028.95	157141	4715968	70
2020.01.22	6070.55	6071.55	5998.20	6000.20	155766	4677290	70
2020.01.23	5984.70	6023.85	5960.85	6006.10	183415	5507140	70
2020.01.24	6008.80	6065.25	5984.25	5997.50	196053	5884248	70
2020.01.27	5942.50	5942.50	5849.95	5856.45	259382	7781886	70
2020.01.28	5891.10	5933.45	5856.25	5914.45	435333	13095208	70
2020.01.29	5923.25	5969.65	5914.15	5943.65	591920	17784114	70
2020.01.30	5901.55	5910.70	5843.95	5909.75	1121169	33660838	70
2020.01.31	5896.85	5908.50	5762.15	5780.90	937740	30841656	70
2020.02.03	5817.50	5857.55	5803.15	5823.75	240434	7218536	70
2020.02.04	5867.50	5935.95	5854.60	5920.45	356152	10696208	70
2020.02.05	5918.00	6004.05	5911.05	5994.60	752511	22619264	70
2020.02.06	6027.10	6050.45	6007.75	6040.75	759196	22790043	70
2020.02.07	6046.60	6046.70	5998.65	6009.25	1008424	30280815	70
2020.02.10	6017.10	6032.25	5992.75	6029.75	166890	5013268	70
2020.02.11	6061.30	6062.20	6031.15	6050.65	177321	5321210	70
2020.02.12	6072.90	6117.05	6060.40	6114.05	155707	4679914	70
2020.02.13	6089.10	6098.45	6027.65	6084.75	221720	6653408	70
2020.02.14	6092.40	6098.50	6055.10	6072.85	327908	9848676	70
2020.02.17	6084.90	6088.05	6064.05	6081.05	84423	2542999	70
2020.02.18	6049.00	6079.35	6035.50	6070.85	194570	5839202	70
2020.02.19	6085.37	6111.20	6071.20	6101.75	162813	4886704	50
2020.02.20	6098.55	6109.95	6055.35	6085.05	242359	7271256	70
2020.02.21	6058.40	6067.35	5993.75	6021.45	297290	8918726	70
2020.02.24	5919.02	5920.52	5752.95	5754.00	443172	13295160	60
2020.02.25	5825.95	5830.32	5595.45	5602.55	488508	14655240	70
2020.02.26	5634.05	5708.25	5522.40	5600.45	525021	15750630	50
2020.02.27	5564.60	5612.05	5386.30	5390.05	480197	14405910	70
2020.02.28	5277.55	5375.45	5225.45	5335.15	614817	18444510	50
2020.03.02	5371.85	5438.80	5192.15	5407.95	612871	18386130	70
2020.03.03	5378.55	5508.70	5285.75	5321.25	577483	17324490	70
2020.03.04	5390.50	5538.15	5354.35	5529.70	486309	14589270	70
2020.03.05	5495.17	5509.67	5260.45	5281.50	526449	15793594	70
2020.03.06	5251.90	5285.25	5075.50	5135.70	574131	17223930	70
2020.03.09	4768.55	4865.05	4567.02	4573.95	460242	13807158	70
2020.03.10	4824.30	4923.67	4609.75	4821.75	472391	14172695	50
2020.03.11	4654.55	4766.20	4505.95	4545.65	461228	13837661	60
2020.03.12	4338.05	4389.10	3934.55	3956.55	482174	14465388	70
2020.03.13	4037.55	4430.55	4027.35	4300.75	464427	13932788	50
2020.03.16	3920.60	3959.12	3624.25	3786.32	404953	12148656	70
2020.03.17	3991.77	4075.82	3753.20	3955.75	446605	13398132	70
