<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	13219.50	13442.60	13212.70	13441.00	10986859	128320	0
2020.01.03	13434.00	13439.70	13118.05	13175.65	17115748	155185	0
2020.01.06	13105.05	13163.65	12947.25	13157.15	13955073	158500	0
2020.01.07	13175.65	13286.35	13149.85	13195.85	13600046	162120	0
2020.01.08	12992.05	13408.75	12984.95	13367.25	15440840	172810	0
2020.01.09	13427.35	13530.35	13392.55	13517.35	22209280	163640	0
2020.01.10	13538.45	13554.55	13436.05	13463.45	29923357	166770	0
2020.01.13	13509.40	13535.45	13406.85	13478.20	9335670	164130	0
2020.01.14	13491.25	13502.40	13365.85	13459.25	12763247	162830	0
2020.01.15	13439.70	13466.05	13391.25	13409.55	10472094	163680	0
2020.01.16	13426.30	13497.85	13384.25	13467.55	10625889	162230	0
2020.01.17	13481.15	13561.15	13472.60	13539.95	9051758	162380	0
2020.01.20	13540.50	13582.25	13489.75	13580.45	5196024	164660	0
2020.01.21	13534.35	13573.80	13439.30	13526.75	11369077	164130	0
2020.01.22	13574.25	13641.90	13482.35	13489.35	11500210	161260	0
2020.01.23	13487.15	13500.75	13382.25	13486.45	12537963	162890	0
2020.01.24	13504.40	13607.50	13478.40	13522.95	14729003	159220	0
2020.01.27	13424.45	13425.25	13194.45	13201.25	17137979	154420	0
2020.01.28	13226.15	13338.25	13165.45	13322.25	29714717	157950	0
2020.01.29	13325.25	13377.65	13295.25	13316.65	34431299	162400	0
2020.01.30	13297.45	13306.40	13119.75	13242.25	76772242	160910	0
2020.01.31	13264.70	13270.35	12883.95	12933.80	60366267	158150	0
2020.02.03	12987.15	13079.55	12983.70	13028.55	16046004	162110	0
2020.02.04	13053.45	13295.30	13051.60	13281.25	26240730	164750	0
2020.02.05	13247.45	13517.80	13222.50	13501.95	51166146	162480	0
2020.02.06	13521.95	13606.45	13509.95	13569.85	54079613	164610	0
2020.02.07	13546.25	13578.35	13460.90	13474.55	65963860	173270	0
2020.02.10	13451.45	13527.00	13444.45	13526.95	10611397	158560	0
2020.02.11	13582.65	13671.55	13554.75	13627.85	11526338	165380	0
2020.02.12	13626.25	13788.85	13622.15	13777.85	10254001	165890	0
2020.02.13	13757.25	13770.25	13583.15	13740.85	15409610	160000	0
2020.02.14	13748.35	13799.85	13717.35	13760.55	21846163	176080	0
2020.02.17	13785.65	13816.65	13760.25	13793.05	5424488	187010	0
2020.02.18	13746.95	13752.10	13664.70	13705.35	13300520	180170	0
2020.02.19	13720.55	13796.05	13717.55	13779.95	11685840	174510	0
2020.02.20	13826.35	13826.85	13654.35	13732.45	16924006	165990	0
2020.02.21	13701.45	13709.95	13500.35	13560.65	19258671	164890	0
2020.02.24	13365.45	13369.35	12967.65	12974.05	27692184	155700	0
2020.02.25	13130.35	13163.00	12610.35	12625.25	28850244	153020	0
2020.02.26	12669.30	12851.85	12368.45	12598.55	33235616	176730	0
2020.02.27	12518.20	12592.15	12139.55	12144.95	33059180	189470	0
2020.02.28	12088.15	12159.15	11722.85	11925.45	28605730	195100	0
2020.03.02	11894.15	12214.25	11621.45	12053.25	22539657	223560	0
2020.03.03	12072.05	12270.05	11734.55	11819.30	25756694	197880	0
2020.03.04	11936.50	12277.45	11875.00	12270.85	21754267	198880	0
2020.03.05	12174.15	12222.15	11749.65	11782.65	24030999	179390	0
2020.03.06	11770.75	11786.75	11418.65	11545.90	26085992	206490	0
2020.03.09	11029.35	11040.25	10351.50	10352.45	23481022	248650	0
2020.03.10	10885.45	11032.45	10417.00	10874.15	23203973	254160	0
2020.03.11	10625.10	10756.95	10206.55	10300.05	22167374	256330	0
2020.03.12	9950.80	9983.85	8967.20	8993.05	22874393	300410	0
2020.03.13	8967.80	9988.45	8817.15	9609.30	23627600	305080	0
2020.03.16	8854.40	8991.70	8227.30	8530.90	19789446	340770	0
2020.03.17	8976.35	9163.20	8415.90	8859.80	22046361	337920	0
2020.03.18	8668.05	8879.80	8184.45	8458.80	19383659	561730	0
2020.03.19	8579.20	8805.70	7966.45	8540.30	17279239	846320	0
2020.03.20	8613.40	9178.40	8512.40	8579.30	19455750	822420	0
2020.03.23	8298.50	9085.00	8240.00	8776.50	24054720	736150	0
2020.03.24	8921.70	9720.60	8876.20	9676.20	20446277	769130	0
2020.03.25	9621.70	10121.20	9416.70	9781.20	23666794	789410	0
2020.03.26	9634.00	10055.10	9495.00	10055.00	19089281	872270	0
2020.03.27	9879.10	9992.10	9508.85	9527.45	18553742	742370	0
2020.03.30	9492.15	9860.55	9426.65	9850.55	18978897	575130	0
2020.03.31	9939.75	10074.85	9679.25	9802.75	19345156	595400	0
2020.04.01	9724.05	9742.55	9306.05	9336.05	19132336	534780	0
2020.04.02	9384.05	9633.55	9316.85	9594.25	21710269	559150	0
2020.04.03	9554.65	9608.55	9420.65	9502.55	19755795	560930	0
2020.04.06	9771.65	10249.15	9706.65	10194.15	20047100	535600	0
2020.04.07	10233.55	10575.65	10085.05	10199.05	26782927	543620	0
2020.04.08	10174.65	10412.55	10150.25	10386.55	20908017	591040	0
2020.04.09	10409.15	10704.05	10298.55	10659.65	24656498	564700	0
2020.04.14	10600.25	10817.65	10599.25	10715.15	15011079	711370	0
2020.04.15	10693.05	10736.45	10229.95	10256.15	20791853	475980	0
2020.04.16	10187.45	10436.35	10165.25	10305.55	20172670	458740	0
2020.04.17	10570.25	10751.45	10532.05	10692.35	17928576	458300	0
2020.04.20	10716.85	10769.55	10433.05	10541.75	18295558	436610	0
2020.04.21	10575.55	10617.05	10223.75	10273.15	20647695	488880	0
2020.04.22	10241.25	10465.65	10238.75	10435.95	16855628	494960	0
2020.04.23	10394.15	10604.35	10313.85	10384.85	17885324	473910	0
2020.04.24	10312.05	10481.95	10253.05	10463.05	15841262	456010	0
2020.04.27	10434.15	10717.35	10421.65	10686.65	16339446	468180	0
2020.04.28	10684.75	10895.15	10630.25	10718.35	19677582	428320	0
2020.04.29	10779.55	11155.45	10768.95	11121.45	21793319	420180	0
2020.04.30	11159.05	11335.45	10754.95	10824.05	23864395	359920	0
2020.05.04	10425.25	10606.75	10369.25	10588.95	19307023	459530	0
2020.05.05	10594.15	10747.05	10514.55	10633.25	17904572	416220	0
2020.05.06	10613.45	10768.95	10536.95	10540.15	15407573	507010	0
2020.05.07	10558.95	10796.95	10558.95	10716.15	14732697	481040	0
2020.05.08	10816.65	10920.05	10809.85	10915.15	11120397	445330	0
2020.05.11	10977.55	11024.05	10730.05	10868.75	14246481	451080	0
2020.05.12	10768.35	10879.75	10664.55	10664.55	14503698	410290	0
2020.05.13	10599.25	10699.25	10427.75	10509.05	20329435	397680	0
2020.05.14	10469.65	10504.15	10156.05	10451.65	24154420	415330	0
2020.05.15	10439.35	10540.75	10369.25	10522.65	21064944	408280	0
2020.05.18	10587.15	11140.35	10579.65	11082.15	17323982	375150	0
2020.05.19	11080.05	11224.05	10927.05	10955.05	21147137	382190	0
2020.05.20	11007.95	11241.85	10969.35	11205.05	16146721	401570	0
2020.05.21	11176.05	11197.15	11025.75	11069.05	16338860	394770	0
2020.05.22	11102.35	11131.55	10855.35	11118.85	16806008	385740	0
2020.05.25	11152.15	11394.65	11106.05	11389.05	10122207	412850	0
2020.05.26	11356.15	11538.05	11348.55	11448.25	16868313	348340	0
2020.05.27	11515.30	11739.15	11477.95	11712.15	20985517	282520	0
2020.05.28	11750.65	11827.05	11646.45	11665.55	21553620	359380	0
2020.05.29	11665.65	11723.65	11507.05	11662.55	21345700	377360	0
2020.06.01	11713.75	11933.75	11642.65	11925.25	15498396	400320	0
2020.06.02	11911.95	12077.45	11845.85	12074.75	13582772	319340	0
2020.06.03	12126.25	12552.25	12101.75	12510.25	18634470	419860	0
2020.06.04	12504.25	12553.25	12318.25	12409.45	21118861	438730	0
2020.06.05	12410.25	12859.35	12394.35	12768.95	23326250	363440	0
2020.06.08	12835.75	12922.95	12667.85	12922.95	19992840	368600	0
2020.06.09	12886.05	12908.55	12493.35	12617.95	22246714	317250	0
2020.06.10	12653.75	12759.05	12454.55	12488.55	23732244	349680	0
2020.06.11	12459.85	12483.35	11745.15	11785.15	30933904	351190	0
2020.06.12	11870.65	12164.05	11781.15	12006.05	31863775	389840	0
2020.06.15	11846.25	12087.75	11577.05	12067.95	25240680	408070	0
2020.06.16	12185.45	12424.25	12119.25	12287.55	29228682	369770	0
2020.06.17	12284.15	12422.65	12203.15	12329.15	23957960	407350	0
2020.06.18	12239.25	12475.15	12147.65	12262.25	21483725	405870	0
2020.06.19	12245.35	12424.85	12162.85	12186.85	24807023	392810	0
2020.06.22	12118.25	12381.95	12087.25	12316.05	22501010	388590	0
2020.06.23	12362.35	12596.95	12139.35	12429.75	22169508	416250	0
2020.06.24	12458.35	12498.85	12011.35	12122.35	26051243	385150	0
2020.06.25	12173.45	12316.55	11932.85	12309.65	25008819	364920	0
2020.06.26	12265.95	12346.95	12021.45	12046.45	22829626	377320	0
2020.06.29	12011.55	12291.95	11942.95	12278.15	23138363	355540	0
2020.06.30	12291.75	12399.35	12179.45	12351.55	16756727	462720	0
2020.07.01	12340.25	12392.35	12073.75	12298.35	16422187	444590	0
2020.07.02	12240.15	12649.85	12223.15	12557.45	18968451	361820	0
2020.07.03	12567.05	12654.15	12463.35	12572.35	9691764	389640	0
2020.07.06	12634.85	12835.35	12622.85	12736.95	15802690	348340	0
2020.07.07	12782.65	12802.15	12509.05	12523.65	15685507	350980	0
2020.07.08	12568.50	12663.25	12449.25	12583.45	15946450	382330	0
2020.07.09	12599.35	12699.15	12434.75	12556.65	17633900	323920	0
2020.07.10	12590.65	12709.75	12389.15	12698.65	16456638	370580	0
2020.07.13	12715.85	12868.35	12525.35	12548.85	17595245	385720	0
2020.07.14	12605.25	12786.05	12519.75	12761.05	21584655	372560	0
2020.07.15	12841.75	12992.25	12762.15	12906.15	17438780	330340	0
2020.07.16	12871.65	12913.65	12794.75	12895.15	16077879	350700	0
2020.07.17	12910.55	12965.05	12859.25	12954.45	12140489	361660	0
2020.07.20	12938.85	13091.75	12797.35	13074.25	14688450	345680	0
2020.07.21	13095.35	13307.35	13067.35	13088.35	16202245	322380	0
2020.07.22	13134.25	13193.65	13056.75	13129.15	14371154	371050	0
2020.07.23	13093.25	13211.05	12945.25	12989.45	19210710	362580	0
2020.07.24	13009.25	13025.75	12768.25	12823.65	18761520	350020	0
2020.07.27	12861.05	12904.15	12801.05	12879.05	14809920	356820	0
2020.07.28	12901.05	12972.55	12736.95	12774.45	14212019	360420	0
2020.07.29	12811.55	12874.65	12742.05	12859.55	11631909	365520	0
2020.07.30	12844.35	12866.45	12241.85	12448.35	17247865	341780	0
2020.07.31	12432.55	12517.65	12201.05	12309.55	17712132	398460	0
2020.08.03	12325.55	12693.55	12315.95	12645.95	12906808	366840	0
2020.08.04	12687.85	12763.75	12518.75	12616.75	12881189	373830	0
2020.08.05	12595.65	12754.65	12571.05	12614.55	11728399	354680	0
2020.08.06	12667.55	12795.95	12510.85	12651.45	13892608	352780	0
2020.08.07	12651.25	12701.35	12509.25	12700.25	13546820	360730	0
2020.08.10	12696.85	12770.25	12593.75	12741.75	12659022	356400	0
2020.08.11	12741.25	13044.25	12736.75	12820.75	14439231	342810	0
2020.08.12	12894.65	13097.15	12820.25	13073.65	12886702	387440	0
2020.08.13	13078.15	13078.15	12915.65	12958.15	12733215	362520	0
2020.08.14	12978.05	13010.55	12785.45	12863.45	12156843	378220	0
