<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	23647.00	23782.00	23542.00	23702.00	48573	490824	700
2020.01.03	23691.00	23787.00	23157.00	23289.00	144857	1458476	700
2020.01.06	23166.00	23357.00	23042.00	23317.00	146178	1468961	700
2020.01.07	23296.00	23562.00	23262.00	23342.00	127623	1283951	700
2020.01.08	23331.00	23597.00	22927.00	23507.00	260324	2609735	700
2020.01.09	23501.00	23791.00	23483.00	23771.00	217721	2203159	700
2020.01.10	23745.00	23891.00	23651.00	23686.00	266092	2688412	700
2020.01.13	23705.00	23964.00	23698.00	23951.00	54311	554019	700
2020.01.14	23945.00	24041.00	23851.00	23996.00	116020	1167802	700
2020.01.15	23985.00	23996.00	23861.00	23946.00	102620	1035143	700
2020.01.16	23955.00	24089.00	23891.00	24081.00	80747	817382	700
2020.01.17	24070.00	24131.00	24000.00	24045.00	66986	674935	700
2020.01.20	24069.00	24095.00	24014.00	24055.00	31822	323864	700
2020.01.21	24039.00	24060.00	23765.00	23780.00	109475	1102598	700
2020.01.22	23789.00	24036.00	23770.00	23815.00	99125	1000460	700
2020.01.23	23819.00	23900.00	23619.00	23804.00	139330	1397502	700
2020.01.24	23781.00	23904.00	23559.00	23614.00	144601	1451895	700
2020.01.27	23392.00	23448.00	23038.00	23043.00	209374	2095978	700
2020.01.28	23042.00	23388.00	23003.00	23363.00	294492	2958585	700
2020.01.29	23352.00	23403.00	23193.00	23238.00	406285	4100901	700
2020.01.30	23238.00	23292.00	22826.00	23201.00	1003075	10051174	700
2020.01.31	23170.00	23406.00	22621.00	22696.00	932931	11016571	700
2020.02.03	22635.00	23021.00	22625.00	22871.00	253703	2543190	700
2020.02.04	22855.00	23406.00	22811.00	23386.00	366191	3683895	700
2020.02.05	23370.00	23711.00	23221.00	23691.00	630768	6356881	700
2020.02.06	23705.00	23987.00	23641.00	23986.00	660199	6654753	700
2020.02.07	23980.00	24026.00	23661.75	23671.00	888092	8939781	700
2020.02.10	23670.00	23807.00	23536.00	23696.00	164165	1647587	700
2020.02.11	23691.00	24021.00	23680.00	23897.00	96972	983420	700
2020.02.12	23899.00	23983.00	23718.00	23973.00	116357	1172330	700
2020.02.13	23960.00	23978.00	23568.00	23728.00	174754	1752422	700
2020.02.14	23711.00	23773.00	23478.00	23538.00	245651	2469742	700
2020.02.17	23513.00	23618.00	23328.00	23503.00	65274	665475	700
2020.02.18	23402.00	23443.00	23093.00	23203.00	140929	1423979	700
2020.02.19	23207.00	23672.00	23207.00	23593.00	124631	1259047	700
2020.02.20	23596.00	23798.00	23324.00	23493.00	233051	2338916	700
2020.02.21	23476.00	23579.00	23103.00	23203.00	230135	2308828	700
2020.02.24	22996.00	22996.00	22078.00	22198.00	274647	2749316	700
2020.02.25	22171.00	22738.00	21897.00	22132.00	405503	4056875	700
2020.02.26	22126.00	22507.00	21997.00	22192.00	514248	5143452	700
2020.02.27	22181.00	22317.00	21156.00	21186.00	525046	5251398	700
2020.02.28	21195.00	21442.00	20456.00	21121.00	700432	7004814	700
2020.03.02	20525.00	21582.00	20496.00	21476.00	626364	6264190	700
2020.03.03	21495.00	21721.00	20671.00	20831.00	585126	5852233	700
2020.03.04	20855.00	21426.00	20776.00	21426.00	452398	4525302	700
2020.03.05	21385.00	21447.00	20736.00	20801.00	409237	4095236	700
2020.03.06	20810.00	21056.00	20201.00	20411.00	542627	5427736	700
2020.03.09	19956.00	19957.00	18496.00	18851.00	489299	4894976	700
2020.03.10	18835.00	20186.00	18586.00	20021.00	583567	5837018	700
2020.03.11	19981.00	19981.00	18921.00	19091.00	573132	5732264	700
2020.03.12	19043.00	19316.00	16768.00	16783.00	607124	6071923	700
2020.03.13	16817.00	18413.00	16655.00	17987.00	661677	6617684	700
2020.03.16	17920.75	17931.00	16040.00	16407.50	565258	5652945	700
2020.03.17	16481.50	17524.50	16324.50	17284.50	759038	7590456	1200
2020.03.18	17269.50	17493.50	16173.50	16638.50	610665	6106921	1200
2020.03.19	16563.50	17508.50	16232.50	16988.50	679462	6794920	1200
2020.03.20	17058.50	18007.50	16938.50	17110.50	323477	3237368	1200
2020.03.23	16675.50	17841.50	15412.50	17481.50	747922	7479253	1200
2020.03.24	17554.50	19211.50	17505.50	19155.50	603486	6035279	1200
2020.03.25	19125.50	19626.50	18540.50	19115.50	702487	7025429	1200
2020.03.26	19135.50	19316.50	18390.50	19300.50	668896	6689880	1200
2020.03.27	19283.50	19375.50	18671.00	18737.00	570926	5709706	900
2020.03.30	18296.00	19106.00	18286.00	19096.00	493093	4931478	900
2020.03.31	19085.00	19301.00	18526.00	18636.00	505617	5056902	900
2020.04.01	18639.00	18746.00	17555.00	17590.00	468352	4684208	900
2020.04.02	17605.00	18120.00	17510.00	18039.00	494687	4948050	900
2020.04.03	18049.00	18123.00	17558.00	17663.00	356230	3563578	900
2020.04.06	17813.00	18963.00	17648.00	18884.00	376456	3766737	900
2020.04.07	18897.00	19849.00	18508.00	18963.00	528512	5286979	900
2020.04.08	18962.00	19429.00	18688.00	19138.00	468571	4687251	900
2020.04.09	19137.00	19613.00	19083.00	19458.00	455990	4562090	900
2020.04.13	19555.00	19555.00	18933.00	19108.00	268702	2695488	900
2020.04.14	19092.00	19688.00	19068.00	19543.00	319584	3201215	900
2020.04.15	19522.00	19628.00	19163.00	19268.00	325996	3263960	900
2020.04.16	19282.00	19383.00	18978.00	19383.00	319524	3198250	900
2020.04.17	19635.00	19898.00	19354.00	19559.00	338111	3383466	900
2020.04.20	19537.00	19758.00	19283.00	19309.00	270642	2709686	900
2020.04.21	19308.00	19508.00	18958.00	19008.00	366943	3672520	900
2020.04.22	19047.00	19323.00	18823.00	19213.00	289858	2902258	900
2020.04.23	19267.00	19648.00	19178.00	19354.00	274209	2746149	900
2020.04.24	19303.00	19458.00	19138.00	19419.00	239882	2411776	900
2020.04.27	19492.00	19823.00	19328.00	19763.00	176700	1776153	900
2020.04.28	19767.00	20133.00	19608.00	19939.00	208527	2093118	900
2020.04.29	19962.00	20499.00	19893.00	20428.00	176447	1770421	900
2020.04.30	20408.00	20438.00	19804.00	19913.00	276300	2765056	900
2020.05.01	19853.00	19954.00	19434.00	19480.00	181139	1818753	900
2020.05.04	19373.00	19414.00	19054.00	19389.00	200830	2018109	900
2020.05.05	19383.00	19734.00	19364.00	19559.00	160538	1620418	900
2020.05.06	19538.00	19739.00	19349.00	19354.00	176561	1777108	900
2020.05.07	19353.00	19834.00	19269.00	19759.00	193457	1939228	900
2020.05.08	19767.00	20230.00	19754.75	20225.00	156746	1584675	900
2020.05.11	20163.00	20604.00	20134.00	20474.00	169482	1705149	900
