<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	7584.25	7633.25	7563.87	7633.25	89875	2699959	70
2020.01.03	7632.15	7636.50	7549.75	7595.75	111230	3338354	70
2020.01.06	7578.35	7599.85	7528.25	7589.65	102719	3084058	70
2020.01.07	7596.05	7623.20	7563.55	7571.80	120132	3607966	70
2020.01.08	7510.95	7611.60	7491.30	7587.60	163881	4920503	70
2020.01.09	7597.55	7631.05	7583.55	7621.05	210315	6319649	70
2020.01.10	7631.65	7636.65	7565.85	7572.90	263136	7907847	70
2020.01.13	7590.05	7639.55	7582.95	7621.95	94283	2835944	70
2020.01.14	7645.00	7654.75	7589.65	7630.65	95380	2864112	70
2020.01.15	7623.55	7647.95	7611.05	7628.95	100061	3006896	70
2020.01.16	7635.55	7657.15	7596.55	7624.55	93761	2818910	70
2020.01.17	7633.45	7692.55	7622.05	7687.95	74464	2236480	70
2020.01.20	7690.85	7695.35	7639.40	7656.40	49023	1473592	70
2020.01.21	7658.00	7659.00	7551.50	7596.00	97303	2922546	70
2020.01.22	7602.70	7641.10	7563.30	7569.25	106479	3199279	70
2020.01.23	7565.70	7575.70	7503.90	7552.40	111890	3361697	70
2020.01.24	7549.30	7645.70	7540.35	7556.20	114503	3438991	70
2020.01.27	7509.50	7519.55	7394.00	7406.50	187050	5614529	70
2020.01.28	7408.00	7494.60	7406.80	7479.00	287316	8629227	70
2020.01.29	7478.35	7518.50	7464.90	7477.90	378009	11356763	70
2020.01.30	7470.70	7472.70	7359.90	7435.85	827756	24839480	70
2020.01.31	7437.75	7446.50	7233.70	7262.15	578533	17982698	70
2020.02.03	7283.65	7367.60	7277.95	7329.90	176466	5296526	70
2020.02.04	7327.00	7445.80	7327.00	7424.90	243515	7316323	70
2020.02.05	7419.25	7515.70	7401.20	7497.70	483563	14526393	70
2020.02.06	7505.00	7542.05	7487.50	7517.00	548564	16490655	70
2020.02.07	7507.80	7516.30	7443.80	7455.30	687930	20684881	70
2020.02.10	7440.30	7471.80	7431.00	7468.70	112038	3367909	70
2020.02.11	7483.15	7534.70	7482.90	7503.60	115148	3461901	70
2020.02.12	7497.25	7560.35	7497.25	7558.85	99836	3002137	70
2020.02.13	7526.10	7530.65	7406.60	7445.10	137089	4120890	70
2020.02.14	7447.05	7475.50	7389.70	7411.70	210898	6341631	70
2020.02.17	7413.10	7451.80	7406.60	7429.25	56767	1716006	70
2020.02.18	7401.30	7424.60	7352.50	7401.00	136284	4096646	70
2020.02.19	7403.90	7473.80	7402.90	7465.10	130139	3914780	70
2020.02.20	7473.90	7481.90	7425.40	7454.60	214297	6428181	70
2020.02.21	7442.65	7451.10	7369.10	7403.90	245498	7364298	70
2020.02.24	7313.60	7337.10	7112.30	7119.80	341505	10244668	70
2020.02.25	7157.20	7201.20	6909.45	6928.15	385691	11570392	70
2020.02.26	6933.90	7048.40	6868.40	6956.85	450701	13520655	70
2020.02.27	6893.10	6946.40	6674.95	6678.90	468629	14058610	70
2020.02.28	6677.25	6683.50	6445.70	6630.05	551220	16536212	70
2020.03.02	6571.05	6768.50	6490.00	6746.70	527639	15828632	70
2020.03.03	6762.20	6844.10	6604.60	6640.25	490629	14717834	70
2020.03.04	6685.20	6889.20	6671.70	6879.75	396348	11888437	70
2020.03.05	6831.40	6846.40	6597.55	6624.20	421199	12634614	70
2020.03.06	6643.65	6645.65	6402.80	6467.60	483056	14490140	70
2020.03.09	6230.50	6239.00	5808.00	5810.50	403684	12108874	70
2020.03.10	6067.80	6229.30	5923.80	6151.30	478724	14359404	70
2020.03.11	6051.10	6106.30	5772.50	5825.35	452744	13580689	70
2020.03.12	5798.40	5817.40	5200.10	5284.10	444137	13322441	70
2020.03.13	5323.70	5697.35	5206.70	5676.25	392227	11764798	80
2020.03.16	5303.80	5332.55	4837.95	5059.35	350286	10505709	80
2020.03.17	5154.40	5377.25	4984.50	5260.10	360376	10808691	170
2020.03.18	5151.70	5238.40	4959.05	5106.55	325232	9753977	170
2020.03.19	5140.35	5302.15	4829.85	5175.65	216787	6500228	170
2020.03.20	5161.25	5425.25	5003.45	5030.05	330541	9913592	170
2020.03.23	4851.05	5205.15	4790.55	5021.05	369780	11090512	170
2020.03.24	5075.65	5471.15	5068.65	5459.15	332283	9966035	270
2020.03.25	5404.45	5762.55	5368.45	5623.45	417076	12510548	270
2020.03.26	5619.45	5835.45	5479.95	5813.45	388919	11665298	290
2020.03.27	5753.45	5768.95	5421.15	5455.15	344381	10329168	160
2020.03.30	5414.75	5613.25	5372.75	5600.75	339879	10194340	150
2020.03.31	5623.15	5731.35	5539.65	5614.35	357259	10714920	160
2020.04.01	5557.85	5586.35	5372.35	5373.35	292350	8768346	160
2020.04.02	5402.35	5578.85	5392.35	5510.85	346607	10396044	160
