<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	8771.86	8882.39	8764.31	8882.16	356787	14303956	170
2020.01.03	8878.50	8888.21	8716.64	8792.30	592469	23714087	170
2020.01.06	8742.70	8855.86	8706.56	8835.96	538983	21560817	170
2020.01.07	8837.50	8878.19	8809.66	8828.70	533354	21338784	170
2020.01.08	8825.10	8956.91	8663.29	8931.54	670493	26828868	170
2020.01.09	8933.55	9006.59	8917.21	8993.39	1001282	40088742	170
2020.01.10	8994.10	9040.06	8951.51	8962.51	1411789	56505019	170
2020.01.13	8969.45	9081.54	8969.10	9075.99	385606	15433998	170
2020.01.14	9075.39	9101.21	9021.91	9050.14	516497	20671396	170
2020.01.15	9049.40	9083.06	9010.56	9049.24	484762	19391891	170
2020.01.16	9050.80	9128.09	9050.50	9125.40	405116	16208303	170
2020.01.17	9126.50	9177.46	9118.46	9159.89	408013	16325379	170
2020.01.20	9161.35	9176.54	9149.86	9165.46	154477	6203180	170
2020.01.21	9165.85	9189.44	9104.49	9164.71	485408	19426821	170
2020.01.22	9171.50	9244.39	9164.79	9178.61	473511	18949691	170
2020.01.23	9180.05	9244.69	9141.58	9242.36	548417	21944333	170
2020.01.24	9247.35	9278.59	9101.04	9128.01	538996	21565534	170
2020.01.27	9049.60	9060.71	8919.31	8953.49	657620	26307620	170
2020.01.28	8947.00	9130.56	8946.20	9118.74	1123850	44981036	170
2020.01.29	9114.65	9152.36	9066.04	9098.74	1638632	65575727	170
2020.01.30	9104.90	9233.04	8996.81	9230.49	2852738	114239956	170
2020.01.31	9216.90	9241.61	8960.04	9006.31	2243707	97115990	170
2020.02.03	8973.20	9151.21	8972.45	9100.89	687355	27495399	170
2020.02.04	9093.70	9363.70	9069.16	9355.64	1163548	46550592	170
2020.02.05	9353.70	9457.74	9313.14	9383.09	1986046	80058346	170
2020.02.06	9383.15	9456.99	9356.06	9456.61	2405948	96261092	170
2020.02.07	9458.30	9461.01	9377.36	9392.79	2813484	112579921	170
2020.02.10	9393.50	9523.74	9324.48	9518.69	548356	21939618	170
2020.02.11	9514.70	9602.04	9494.19	9524.64	528466	21170417	170
2020.02.12	9529.50	9621.41	9517.41	9616.91	485299	19423912	170
2020.02.13	9613.00	9637.21	9503.49	9617.76	605018	24201826	170
2020.02.14	9618.60	9652.31	9581.99	9623.36	1034058	41389527	170
2020.02.17	9628.70	9681.71	9628.70	9660.62	203873	8171761	170
2020.02.18	9608.90	9649.14	9528.56	9635.09	566557	22663625	170
2020.02.19	9634.65	9740.09	9632.75	9725.37	450607	18027420	170
2020.02.20	9735.05	9754.84	9508.25	9610.00	622693	24912180	170
2020.02.21	9608.15	9616.15	9404.12	9447.60	696411	27857058	170
2020.02.24	9348.10	9357.72	9033.75	9090.70	856560	34262499	170
2020.02.25	9080.15	9218.37	8805.02	8868.30	886142	35445801	170
2020.02.26	8862.10	9032.72	8704.80	8816.72	1001772	40070904	170
2020.02.27	8814.65	8872.92	8328.97	8344.72	1042350	41694024	170
2020.02.28	8352.60	8569.25	8125.10	8541.55	1149803	45992120	170
2020.03.02	8308.40	8879.95	8247.65	8816.65	1082537	43301480	170
2020.03.03	8835.90	8999.25	8510.40	8558.50	957026	38281116	170
2020.03.04	8552.45	8949.00	8507.90	8888.60	847855	33914370	170
2020.03.05	8883.25	8898.90	8610.35	8672.55	821394	32856522	170
2020.03.06	8671.95	8725.95	8311.70	8502.85	938290	37531632	170
2020.03.09	8302.65	8310.85	7822.45	7916.15	468951	18757993	170
2020.03.10	7890.40	8380.50	7817.45	8358.40	810152	32406080	170
2020.03.11	8311.15	8334.75	7894.40	8006.45	815181	32607258	170
2020.03.12	7991.85	8105.95	7132.35	7160.40	708909	28356384	150
2020.03.13	7099.20	7975.25	6942.85	7828.05	670255	26810248	150
2020.03.16	7899.05	7899.20	6921.65	7041.95	373659	14946256	150
2020.03.17	7041.70	7552.05	6948.10	7360.55	570561	22822216	170
2020.03.18	7330.75	7391.85	6824.50	7253.35	521989	20879544	170
2020.03.19	7238.50	7510.85	6888.05	7193.45	739024	29560896	170
2020.03.20	7181.35	7638.95	6899.35	6931.25	713110	28524148	170
2020.03.23	6758.95	7323.45	6624.95	6986.65	761073	30442908	250
2020.03.24	7031.35	7580.55	7028.25	7564.45	760483	30419320	170
2020.03.25	7556.05	7768.15	7379.15	7485.45	862434	34497296	250
2020.03.26	7498.45	7899.85	7317.35	7871.05	782221	31288784	250
2020.03.27	7888.45	7898.15	7559.55	7565.95	755099	30203944	160
2020.03.30	7377.65	7890.45	7377.45	7860.65	773354	30934160	150
2020.03.31	7854.35	8000.55	7753.35	7784.55	712864	28514648	150
2020.04.01	7775.15	7775.15	7410.15	7469.55	711013	28440528	150
2020.04.02	7471.15	7659.95	7379.65	7626.65	694362	27774456	150
2020.04.03	7623.15	7663.45	7427.25	7526.35	646706	25868272	150
2020.04.06	7547.25	8101.15	7547.25	8038.15	632731	25309264	150
2020.04.07	8026.25	8305.45	7950.65	8001.45	780121	31204824	150
2020.04.08	8010.75	8244.55	7955.95	8204.55	719536	28781616	160
2020.04.09	8186.95	8328.95	8104.95	8241.05	737279	29491144	150
2020.04.13	8305.95	8340.45	8076.75	8340.35	567903	22716478	150
2020.04.14	8344.25	8706.55	8321.55	8705.75	591618	23664759	150
2020.04.15	8701.35	8706.35	8489.25	8579.05	636007	25440390	150
2020.04.16	8578.65	8846.05	8504.05	8841.75	668209	26728504	150
2020.04.17	8934.55	8969.95	8693.25	8814.00	691585	27663444	150
2020.04.20	8796.15	8850.45	8692.75	8718.45	651112	26044512	150
2020.04.21	8704.05	8767.65	8347.55	8440.35	784430	31377208	150
2020.04.22	8448.15	8704.95	8406.45	8638.95	608106	24324272	150
2020.04.23	8637.55	8793.25	8587.35	8607.65	633648	25345843	150
2020.04.24	8583.05	8788.45	8506.75	8774.30	590474	23619264	150
2020.04.27	8783.85	8905.55	8738.95	8826.45	556779	22271312	150
2020.04.28	8824.65	8954.85	8663.65	8708.05	581426	23257303	150
2020.04.29	8774.75	9128.25	8743.55	9128.25	600142	24005783	150
2020.04.30	9106.85	9153.75	8866.65	8879.15	666959	26678623	150
2020.05.01	8845.35	8888.95	8682.35	8712.10	598089	23923663	150
2020.05.04	8617.35	8838.35	8567.15	8819.65	635315	25412612	150
2020.05.05	8814.15	9031.35	8810.35	8945.05	548858	21954888	150
2020.05.06	8933.85	9066.85	8888.35	8956.55	598569	23942864	150
2020.05.07	8953.35	9136.45	8940.65	9128.65	567775	22711032	150
2020.05.08	9115.35	9245.35	9110.25	9229.65	531413	21256732	150
2020.05.11	9209.25	9346.75	9126.75	9288.45	597187	23887736	160
2020.05.12	9285.95	9353.35	9049.25	9051.45	639765	25590552	150
2020.05.13	9053.65	9210.85	8886.95	9020.95	746663	29866576	150
2020.05.14	9017.95	9111.95	8854.95	9095.65	766695	30667824	150
2020.05.15	9086.65	9155.25	8932.45	9124.95	700729	28029160	150
2020.05.18	9141.95	9368.15	9117.15	9324.15	581072	23242920	150
2020.05.19	9321.65	9422.75	9290.35	9303.65	624649	24986128	150
2020.05.20	9284.25	9500.85	9276.15	9497.35	550830	22033446	150
2020.05.21	9496.25	9513.55	9355.55	9362.05	572739	22909624	150
2020.05.22	9357.65	9425.45	9245.05	9424.35	550604	22024056	150
2020.05.25	9392.25	9539.65	9392.25	9533.85	190879	7635316	150
2020.05.26	9528.05	9606.55	9376.25	9414.65	522805	20912421	150
2020.05.27	9407.05	9510.85	9176.65	9444.55	595752	23830166	150
2020.05.28	9430.55	9567.95	9322.85	9460.55	599820	23992835	150
2020.05.29	9449.25	9592.55	9374.65	9589.35	609949	24398016	150
2020.06.01	9502.05	9607.85	9452.55	9594.75	517062	20682577	150
2020.06.02	9586.65	9672.15	9507.55	9660.05	483633	19345344	150
2020.06.03	9654.55	9729.15	9637.05	9691.55	570053	22802131	150
2020.06.04	9683.05	9742.95	9573.15	9644.35	617954	24719320	150
2020.06.05	9637.35	9846.75	9603.05	9808.35	594325	23773144	150
2020.06.08	9815.55	9901.45	9748.05	9883.95	577903	23116088	150
2020.06.09	9880.65	10005.55	9812.45	9961.95	567559	22702361	150
2020.06.10	9964.75	10156.05	9959.15	10087.45	611693	24468008	150
2020.06.11	10081.05	10105.25	9584.55	9620.05	802579	32103152	150
2020.06.12	9609.85	9849.15	9494.45	9645.95	719202	28768032	150
2020.06.15	9516.65	9814.75	9379.45	9811.25	639177	25567072	150
2020.06.16	9805.85	10013.75	9799.35	9971.25	653379	26141928	150
2020.06.17	9955.85	10060.20	9927.45	9998.55	600610	24024504	120
2020.06.18	9990.85	10042.05	9879.35	9999.75	626285	25051592	120
2020.06.19	9992.25	10124.55	9928.65	9937.45	616137	24645600	120
2020.06.22	9874.45	10145.65	9855.55	10132.75	589652	23586088	120
2020.06.23	10130.39	10307.45	9983.35	10188.85	619562	24764603	0
2020.06.24	10190.25	10253.15	9939.25	10026.45	688674	27546928	120
2020.06.25	10012.05	10118.55	9897.65	10107.05	652850	26113952	120
2020.06.26	10102.65	10131.45	9836.05	9856.85	620719	24828864	120
2020.06.29	9792.15	10009.25	9741.95	9998.05	670919	26836776	120
2020.06.30	9986.45	10182.75	9951.75	10150.15	623892	24955603	120
2020.07.01	10143.55	10320.25	10087.65	10267.15	599109	23964537	120
2020.07.02	10262.85	10430.45	10256.95	10359.45	610797	24431920	120
2020.07.03	10351.75	10399.25	10319.35	10336.45	246121	9845248	120
2020.07.06	10351.65	10624.65	10351.65	10608.45	615427	24617117	120
2020.07.07	10609.05	10704.45	10516.05	10536.55	647137	25885600	120
2020.07.08	10531.35	10683.55	10515.25	10681.95	638158	25526368	120
2020.07.09	10687.35	10784.55	10570.95	10734.65	631450	25257991	120
2020.07.10	10732.15	10858.30	10636.85	10853.45	653559	26142704	120
2020.07.13	10855.15	11069.45	10574.35	10610.25	697716	27908816	120
2020.07.14	10608.45	10704.35	10371.15	10654.75	767030	30681336	120
2020.07.15	10724.95	10777.95	10562.55	10698.35	688738	27549688	120
2020.07.16	10696.15	10707.75	10486.05	10544.25	687120	27484800	120
2020.07.17	10542.05	10678.85	10533.45	10633.10	558072	22322800	120
2020.07.20	10625.55	10971.85	10556.85	10957.95	595030	23801680	120
2020.07.21	10955.25	11068.45	10794.75	10855.45	638185	25527392	120
2020.07.22	10857.15	10926.05	10772.35	10855.05	629827	25193192	120
2020.07.23	10852.65	10948.25	10524.95	10575.35	659085	26363808	120
2020.07.24	10573.05	10608.05	10312.35	10471.75	698460	27938464	120
2020.07.27	10487.15	10694.65	10411.45	10693.15	585983	23439536	120
2020.07.28	10687.65	10769.15	10526.05	10559.45	606353	24254210	120
2020.07.29	10565.25	10711.45	10524.75	10710.35	526588	21063757	120
2020.07.30	10704.95	10904.85	10514.25	10900.85	648670	25946920	120
2020.07.31	10913.85	10948.25	10701.55	10925.35	712208	28488342	120
2020.08.03	10940.75	11082.85	10885.35	11061.85	568556	22742392	120
2020.08.04	11057.25	11104.25	10992.55	11088.15	578712	23149569	120
2020.08.05	11085.45	11153.85	11065.75	11105.75	529496	21180696	120
2020.08.06	11096.55	11279.75	11059.85	11266.85	591039	23642168	120
2020.08.07	11267.55	11290.35	11041.95	11138.50	502729	20109656	155
2020.08.10	11147.45	11153.25	10935.35	11086.50	451239	18050148	155
2020.08.11	11074.55	11164.15	10852.50	10918.10	492082	19683666	155
2020.08.12	10946.40	11191.55	10886.45	11124.45	446236	17849734	155
2020.08.13	11121.00	11272.00	11101.90	11189.05	437628	17505636	155
2020.08.14	11188.00	11243.80	11101.60	11153.15	413453	16538500	155
2020.08.17	11154.60	11306.90	11154.35	11293.65	320437	12817857	155
2020.08.18	11290.05	11421.55	11274.85	11420.30	355258	14210671	155
2020.08.19	11416.00	11441.30	11302.80	11324.35	373058	14922802	155
2020.08.20	11318.52	11500.00	11225.15	11484.25	408039	16321702	155
2020.08.21	11485.35	11577.50	11411.15	11566.75	444907	17796338	155
2020.08.24	11590.25	11726.45	11533.00	11638.35	488196	19528073	155
2020.08.25	11640.55	11746.60	11580.10	11740.60	444442	17777978	155
2020.08.26	11740.30	12005.55	11731.10	11989.30	459935	18397702	155
2020.08.27	11984.40	12049.45	11837.95	11950.70	519975	20799205	155
2020.08.28	11954.30	12021.10	11923.85	12005.60	490378	19615360	155
2020.08.31	12010.30	12168.10	11992.10	12108.60	459591	18383942	155
2020.09.01	12111.85	12331.90	12096.40	12331.40	470439	18817744	155
2020.09.02	12324.15	12467.70	12174.95	12410.95	511180	20447273	155
2020.09.03	12410.85	12439.65	11659.80	11802.65	544501	21780248	155
2020.09.04	11728.20	11844.25	11143.60	11539.00	662315	26492648	155
2020.09.07	11545.00	11547.50	11309.25	11502.10	210629	8425192	170
2020.09.08	11507.60	11584.85	11042.90	11045.55	567375	22695016	155
2020.09.09	11041.85	11476.50	10936.80	11368.50	521121	20844935	120
2020.09.10	11378.30	11570.25	11092.75	11181.35	535987	21439822	155
2020.09.11	11195.20	11357.85	10938.45	11076.15	380332	15213869	170
2020.09.14	11116.40	11366.85	11084.35	11276.30	381661	15266848	170
2020.09.15	11287.15	11498.35	11249.55	11464.55	335865	13435606	170
2020.09.16	11469.90	11552.50	11238.70	11265.10	374760	14990985	145
2020.09.17	11272.65	11303.05	10919.85	11080.60	462746	18510190	170
2020.09.18	11069.40	11174.40	10757.55	10952.60	434803	17392198	170
2020.09.21	10935.30	11024.65	10671.95	10996.15	501373	20054866	170
2020.09.22	10978.30	11206.20	10913.20	11168.20	442349	13377722	170
2020.09.23	11172.55	11238.70	10804.60	10836.65	454496	11362672	170
2020.09.24	10815.85	11029.90	10679.50	10927.00	532333	13308708	170
2020.09.25	10937.40	11182.30	10827.90	11149.70	424057	10601887	170
2020.09.28	11167.60	11419.00	11156.00	11409.75	380200	9505725	170
2020.09.29	11398.50	11463.90	11306.15	11335.90	369211	9231001	170
2020.09.30	11329.10	11539.35	11181.75	11371.50	469734	11743883	170
2020.10.01	11394.45	11612.75	11392.95	11587.35	405304	10133217	170
2020.10.02	11582.40	11618.55	11219.30	11266.05	506240	12656314	170
2020.10.05	11328.50	11512.15	11282.40	11484.90	326671	8167116	170
2020.10.06	11484.30	11538.20	11211.20	11220.30	378802	9470753	170
2020.10.07	11235.90	11519.80	11222.15	11489.05	329096	8227896	170
2020.10.08	11484.50	11592.30	11483.50	11572.90	311587	7790921	170
2020.10.09	11575.50	11751.65	11566.00	11738.70	278406	6961137	170
2020.10.12	11710.35	12210.50	11706.50	12103.00	381111	9527972	170
2020.10.13	12115.40	12262.80	12033.45	12094.80	462674	11567266	170
2020.10.14	12091.95	12190.85	11915.85	11957.60	390745	9768976	170
