Local time,Open,High,Low,Close,Volume
04.01.2015 23:00:00.000 GMT+0100,17789.610,17813.995,17459.798,17536.735,13.550600000000001
05.01.2015 23:00:00.000 GMT+0100,17537.159,17574.405,17248.810,17365.792,11.9262
06.01.2015 23:00:00.000 GMT+0100,17360.794,17595.499,17359.796,17589.614,9.695900000000004
07.01.2015 23:00:00.000 GMT+0100,17589.814,17916.957,17586.169,17880.946,6.831900000000001
08.01.2015 23:00:00.000 GMT+0100,17881.956,17933.927,17683.862,17716.319,12.3639
09.01.2015 23:00:00.000 GMT+0100,17716.319,17716.319,17716.319,17716.319,0
10.01.2015 23:00:00.000 GMT+0100,17716.319,17716.319,17716.319,17716.319,0
11.01.2015 23:00:00.000 GMT+0100,17716.280,17822.423,17562.965,17652.162,1.4336000000000002
12.01.2015 23:00:00.000 GMT+0100,17652.294,17926.824,17487.650,17626.320,2.0779
13.01.2015 23:00:00.000 GMT+0100,17626.091,17638.675,17253.714,17460.707,18.9502
14.01.2015 23:00:00.000 GMT+0100,17461.753,17604.335,17265.924,17311.854,14.017999999999999
15.01.2015 23:00:00.000 GMT+0100,17313.468,17528.998,17197.726,17502.334,4.9892
16.01.2015 23:00:00.000 GMT+0100,17502.334,17502.334,17502.334,17502.334,0
17.01.2015 23:00:00.000 GMT+0100,17502.334,17502.334,17502.334,17502.334,0
18.01.2015 23:00:00.000 GMT+0100,17507.210,17594.974,17416.562,17460.409,0.46609999999999996
19.01.2015 23:00:00.000 GMT+0100,17466.223,17601.480,17342.926,17487.145,1.47
20.01.2015 23:00:00.000 GMT+0100,17486.657,17601.401,17392.411,17561.845,0.9448
21.01.2015 23:00:00.000 GMT+0100,17561.965,17841.999,17477.557,17812.929,2.5860000000000003
22.01.2015 23:00:00.000 GMT+0100,17811.771,17859.432,17642.436,17648.465,2.698
23.01.2015 23:00:00.000 GMT+0100,17648.465,17648.465,17648.465,17648.465,0
24.01.2015 23:00:00.000 GMT+0100,17648.465,17648.465,17648.465,17648.465,0
25.01.2015 23:00:00.000 GMT+0100,17575.459,17697.951,17498.771,17687.376,5.1591000000000005
26.01.2015 23:00:00.000 GMT+0100,17687.186,17694.416,17280.739,17466.811,5.279800000000001
27.01.2015 23:00:00.000 GMT+0100,17466.610,17553.952,17160.280,17194.336,4.0791
28.01.2015 23:00:00.000 GMT+0100,17189.352,17504.483,17133.610,17480.286,5.1348
29.01.2015 23:00:00.000 GMT+0100,17480.196,17488.458,17154.052,17175.390,2.3281
30.01.2015 23:00:00.000 GMT+0100,17175.390,17175.390,17175.390,17175.390,0
31.01.2015 23:00:00.000 GMT+0100,17175.390,17175.390,17175.390,17175.390,0
01.02.2015 23:00:00.000 GMT+0100,17191.653,17384.889,17033.439,17356.147,3.3881
02.02.2015 23:00:00.000 GMT+0100,17357.375,17669.824,17286.444,17658.729,2.4731
03.02.2015 23:00:00.000 GMT+0100,17655.635,17782.995,17577.499,17592.170,0.9418
04.02.2015 23:00:00.000 GMT+0100,17595.226,17889.992,17561.709,17857.755,5.2258
05.02.2015 23:00:00.000 GMT+0100,17856.852,17951.812,17762.992,17852.240,1.9194999999999998
06.02.2015 23:00:00.000 GMT+0100,17852.240,17852.240,17852.240,17852.240,0
07.02.2015 23:00:00.000 GMT+0100,17852.240,17852.240,17852.240,17852.240,0
